Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Total Current Assets,134.83M,114.88M,124.24M,153.64M,191.54M,128.96M,116.04M,137.83M,178.59M,149.00M,102.44M,118.81M,141.15M,102.16M,86.90M,100.38M,111.71M,87.69M,78.52M,113.29M,122.37M,88.33M,80.41M,119.93M,126.41M,97.98M,95.54M,93.92M,100.60M,86.49M,78.57M,103.35M,127.76M,111.32M,120.14M,121.82M,137.27M,97.32M,85.05M,95.82M,114.79M,57.77M,53.84M,69.39M,95.52M,114.52M,119.65M,95.22M,111.45M,87.95M,65.52M,69.95M,77.48M,70.29M,59.63M,63.53M,88.77M,60.53M,45.44M,56.73M,59.95M,48.93M,42.46M,49.51M,47.79M,40.59M,36.82M,43.14M,43.92M,30.42M,28.56M,33.11M,41.42M,42.56M,37.43M,45.92M,61.83M,43.73M,33.48M,30.67M,35.00M,30.20M,24.90M,25.70M,26.60M,21.00M,21.50M,19.30M,31.80M,18.70M,16.20M,20.00M,27.50M,16.10M,14.70M,20.40M,21.00M,14.90M,14.50M,14.60M,17.60M,14.30M,12.70M,15.40M
Other Properties,51.41M,42.60M,42.75M,42.80M,34.58M,34.98M,30.17M,27.89M,27.70M,26.06M,25.62M,21.49M,21.11M,20.84M,19.61M,19.43M,19.00M,19.19M,19.05M,19.46M,18.50M,21.97M,21.68M,21.13M,21.00M,21.05M,20.66M,20.45M,20.07M,19.03M,630.93M,,19.99M,19.36M,592.33M,18.33M,16.99M,555.24M,531.35M,542.29M,16.05M,1.434M,1.43M,1.454M,380.21M,98.79M,96.84M,94.29M,92.41M,91.78M,89.48M,87.43M,85.01M,83.61M,82.17M,80.23M,78.84M,77.53M,75.94M,74.10M,73.21M,71.66M,69.87M,68.39M,67.05M,67.09M,65.76M,64.28M,62.28M,72.31M,70.31M,68.93M,66.65M,66.68M,65.15M,63.41M,61.46M,59.65M,57.91M,56.24M,54.40M,53.10M,51.60M,50.10M,48.70M,47.70M,46.90M,45.70M,44.40M,42.80M,41.50M,40.20M,39.40M,36.80M,35.70M,34.60M,33.60M,33.80M,36.90M,35.80M,34.70M,33.90M,32.70M,31.80M
Construction in Progress,54.14M,102.64M,85.63M,90.45M,79.17M,60.24M,101.90M,131.64M,84.51M,69.05M,44.56M,62.36M,56.28M,49.08M,61.98M,87.19M,62.77M,56.44M,41.92M,24.14M,13.01M,38.61M,36.62M,27.23M,16.60M,50.26M,42.42M,29.88M,21.44M,36.74M,24.63M,16.41M,9.383M,10.61M,8.317M,4.941M,5.394M,11.03M,5.362M,3.72M,4.461M,8.889M,6.502M,2.602M,1.482M,12.39M,9.749M,4.682M,4.900M,6.720M,6.740M,4.232M,1.830M,17.71M,8.001M,2.846M,7.599M,10.31M,8.395M,3.981M,2.766M,4.886M,2.224M,1.878M,1.725M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,1.812B,1.803B,1.755B,1.721B,1.648B,1.559B,1.523B,1.456B,1.397B,1.353B,1.312B,1.269B,1.232B,1.173B,1.139B,1.104B,1.070B,1.030B,995.48M,907.38M,883.13M,871.96M,847.35M,823.02M,805.39M,780.98M,758.85M,712.93M,697.16M,674.05M,655.56M,620.47M,625.49M,612.51M,600.65M,590.31M,584.38M,566.27M,552.88M,546.01M,543.90M,396.35M,392.31M,385.03M,381.69M,374.58M,367.80M,357.05M,352.84M,346.52M,340.58M,333.60M,325.84M,309.56M,295.34M,286.43M,280.34M,266.56M,259.48M,252.55M,250.27M,245.29M,240.09M,236.80M,234.92M,234.54M,232.47M,230.96M,229.13M,224.10M,220.84M,219.52M,216.90M,207.83M,201.20M,197.13M,192.93M,183.82M,178.55M,175.02M,172.10M,166.10M,159.70M,155.90M,153.00M,150.20M,148.10M,145.80M,144.30M,141.00M,138.30M,136.10M,133.00M,123.40M,120.20M,117.70M,115.30M,113.30M,115.50M,112.20M,110.00M,106.60M,104.20M,102.10M
Accumulated D&A,-336.88M,-330.48M,-321.28M,-312.95M,-294.09M,-295.45M,-287.94M,-279.80M,-270.60M,-267.14M,-260.43M,-250.57M,-245.21M,-237.43M,-229.83M,-222.65M,-215.31M,-210.98M,-205.03M,-198.18M,-193.37M,-192.52M,-186.66M,-179.92M,-174.15M,-171.06M,-165.65M,-160.20M,-155.38M,-150.86M,-146.03M,-141.19M,-137.78M,-133.75M,-129.05M,-125.44M,-121.63M,-118.39M,-114.02M,-111.50M,-107.32M,-104.82M,-105.29M,-103.61M,-101.02M,-98.79M,-96.84M,-94.29M,-92.41M,-91.78M,-89.48M,-87.43M,-85.01M,-83.61M,-82.17M,-80.23M,-78.84M,-77.53M,-75.94M,-74.10M,-73.21M,-71.66M,-69.87M,-68.39M,-67.05M,-67.09M,-65.76M,-64.28M,-62.28M,-72.31M,-70.31M,-68.93M,-66.65M,-66.68M,-65.15M,-63.41M,-61.46M,-59.65M,-57.91M,-56.24M,-54.40M,-53.10M,-51.60M,-50.10M,-48.70M,-47.70M,-46.90M,-45.70M,-44.40M,-42.80M,-41.50M,-40.20M,-39.40M,-36.80M,-35.70M,-34.60M,-33.60M,-33.80M,-36.90M,-35.80M,-34.70M,-33.90M,-32.70M,-31.80M
Net PP&E,1.475B,1.473B,1.433B,1.408B,1.354B,1.263B,1.235B,1.177B,1.126B,1.086B,1.051B,1.018B,986.66M,936.05M,908.81M,881.23M,854.95M,819.19M,790.45M,709.20M,689.76M,679.45M,660.69M,643.10M,631.25M,609.92M,593.21M,552.73M,541.78M,523.19M,509.54M,479.28M,487.70M,478.76M,471.60M,464.87M,462.76M,447.88M,438.86M,434.51M,436.59M,291.53M,287.02M,281.42M,280.67M,275.79M,270.96M,262.76M,260.42M,254.74M,251.09M,246.17M,240.83M,225.95M,213.17M,206.20M,201.50M,189.04M,183.54M,178.44M,177.05M,173.63M,170.22M,168.41M,167.87M,167.46M,166.71M,166.68M,166.85M,151.79M,150.53M,150.60M,150.26M,141.15M,136.05M,133.72M,131.47M,124.18M,120.65M,118.78M,117.70M,113.00M,108.10M,105.80M,104.30M,102.50M,101.20M,100.10M,99.90M,98.20M,96.80M,95.90M,93.60M,86.60M,84.50M,83.10M,81.70M,79.50M,78.60M,76.40M,75.30M,72.70M,71.50M,70.30M
Goodwill,32.67M,21.52M,25.78M,25.78M,21.57M,19.60M,19.60M,22.10M,19.60M,21.94M,15.07M,15.07M,15.07M,15.07M,15.07M,15.07M,14.55M,16.05M,16.05M,4.952M,4.952M,4.625M,4.625M,4.625M,4.354M,4.716M,4.716M,4.543M,4.09M,4.09M,4.09M,4.09M,4.09M,35.61M,35.61M,35.61M,35.61M,35.61M,34.78M,34.78M,34.10M,0.674M,0.674M,0.674M,0.674M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,8.129M,3.272M,5.611M,5.909M,3.85M,4.073M,4.277M,4.482M,4.686M,4.608M,1.664M,1.752M,1.843M,1.938M,2.033M,2.128M,2.222M,2.317M,2.415M,2.316M,2.404M,2.675M,2.775M,2.875M,2.975M,3.075M,3.175M,3.017M,2.798M,2.879M,2.961M,3.044M,3.127M,3.21M,3.293M,3.376M,3.459M,3.547M,3.69M,3.809M,3.951M,0.154M,0.157M,0.161M,0.164M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,40.80M,24.79M,31.40M,31.69M,25.42M,23.68M,23.88M,26.59M,24.29M,26.55M,16.73M,16.82M,16.91M,17.01M,17.10M,17.20M,16.77M,18.36M,18.46M,7.268M,7.356M,7.30M,7.40M,7.50M,7.329M,7.791M,7.891M,7.56M,6.888M,6.969M,7.051M,7.134M,7.217M,38.82M,38.91M,38.99M,39.07M,39.16M,38.47M,38.59M,38.05M,0.828M,0.831M,0.835M,0.838M,0.8422M,0.8456M,0.8491M,0.8525M,0.8560M,0.8594M,0.8629M,0.8663M,0.8698M,0.8732M,0.8767M,0.8801M,0.8836M,2.469M,0.8906M,0.8944M,0.9227M,0.9720M,0.9759M,0.9797M,2.104M,2.311M,3.104M,2.797M,4.340M,4.400M,4.465M,7.724M,4.157M,,,,,,,,,,,,,,,,,,,,,,,,1.60M,1.70M,1.80M,,2.10M,2.20M,2.50M
Long Term Investments,9.229M,8.536M,8.821M,7.509M,6.711M,7.951M,7.486M,6.641M,6.756M,6.38M,5.952M,5.212M,4.902M,4.63M,4.325M,3.674M,3.644M,3.412M,3.665M,3.77M,3.678M,3.481M,3.542M,2.951M,3.098M,2.788M,4.917M,4.526M,4.168M,4.67M,4.692M,4.264M,3.918M,3.688M,4.109M,3.835M,3.992M,3.006M,2.03M,2.04M,1.959M,1.834M,1.647M,1.473M,1.601M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
