Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235M,0.181M,0.247M,,0.39M,0.435M,0.48M,0.533M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,49.58M,,,,36.40M,,,,3.699M,3.381M,4.352M,2.929M,2.786M,4.325M,3.353M,2.574M,2.831M,2.453M,1.884M,2.067M,3.164M,2.746M,2.74M,2.681M,2.856M,2.898M,2.769M,3.363M,2.904M,2.999M,3.088M,3.059M,3.211M,0.051M,0.026M,0.077M,0.155M,,,,0.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.235M,3.415M,3.853M,3.86M,3.844M,3.693M,3.799M,3.891M,3.798M,3.819M,3.854M,3.825M,4.007M,4.147M,3.929M,3.640M,2.976M,2.593M,1.905M,1.215M,0.9303M,0.9494M,0.9633M,1.003M,0.9029M,0.9181M,0.8891M,0.9023M,0.9769M,1.011M,0.9616M,0.7609M,3.951M,4.291M,4.715M,1.144M,4.788M,5.408M,5.244M,4.549M,11.98M,10.49M,8.266M,8.293M,7.955M,8.570M,8.548M,7.80M,3.20M,3.60M,3.80M,4.10M,4.10M,4.20M,3.90M,4.10M,3.90M,3.40M,3.30M,4.30M,3.40M,3.50M,3.50M,4.00M,2.30M,2.10M,2.10M,4.30M,1.50M,1.50M,1.40M
Other Long Term Assets,,16.05M,6.212M,5.197M,7.662M,5.293M,4.44M,4.316M,,,,,,,,,,,,,,,,,,,,,,,,18.09M,,,,,,,,,,,,,,2.391M,2.529M,2.495M,2.650M,3.463M,3.535M,2.861M,2.840M,2.725M,2.682M,2.703M,2.647M,2.657M,1.097M,1.518M,1.595M,1.669M,1.987M,2.158M,2.025M,0.8948M,2.150M,2.033M,4.457M,3.198M,3.150M,3.330M,3.707M,,5.628M,6.377M,6.202M,4.154M,4.003M,3.880M,4.20M,7.60M,7.50M,7.10M,7.50M,6.80M,5.90M,5.50M,5.00M,4.50M,10.60M,4.80M,3.90M,11.70M,11.70M,11.80M,5.00M,11.80M,11.00M,11.30M,4.50M,12.20M,7.40M,7.50M
Total Long Term Assets,1.648B,1.599B,1.557B,1.529B,1.502B,1.377B,1.347B,1.290B,1.236B,1.198B,1.155B,1.119B,1.088B,1.038B,1.010B,981.61M,955.71M,920.75M,892.12M,800.41M,782.10M,759.22M,740.67M,722.63M,711.11M,699.58M,684.12M,644.54M,633.15M,613.46M,601.13M,589.78M,581.31M,546.20M,540.35M,534.48M,533.72M,514.96M,504.28M,501.12M,501.02M,302.47M,296.45M,290.78M,290.27M,285.75M,281.26M,272.77M,270.11M,264.58M,259.84M,253.47M,247.51M,231.67M,218.83M,211.89M,207.21M,194.75M,189.31M,183.09M,181.99M,178.80M,175.91M,174.45M,174.27M,174.78M,175.85M,179.04M,179.80M,166.67M,166.14M,166.30M,168.91M,160.13M,155.03M,151.24M,148.87M,138.57M,135.52M,133.52M,132.00M,126.40M,121.90M,119.40M,118.60M,118.10M,116.10M,114.30M,113.90M,113.10M,110.80M,110.60M,108.50M,101.70M,99.70M,98.40M,97.80M,95.20M,93.40M,91.60M,90.70M,88.50M,82.60M,81.70M
Total Assets,1.783B,1.714B,1.681B,1.683B,1.694B,1.506B,1.463B,1.427B,1.415B,1.347B,1.257B,1.238B,1.229B,1.141B,1.097B,1.082B,1.067B,1.008B,970.64M,913.71M,904.47M,847.55M,821.08M,842.56M,837.52M,797.56M,779.66M,738.46M,733.75M,699.95M,679.70M,693.13M,709.07M,657.52M,660.49M,656.30M,670.99M,612.28M,589.34M,596.94M,615.81M,360.23M,350.29M,360.17M,385.80M,400.27M,400.91M,367.99M,381.56M,352.53M,325.36M,323.42M,324.99M,301.96M,278.46M,275.42M,295.98M,255.28M,234.74M,239.82M,241.94M,227.72M,218.37M,223.96M,222.06M,215.37M,212.67M,222.18M,223.72M,197.09M,194.71M,199.41M,210.34M,202.69M,192.46M,197.16M,210.70M,182.30M,169.00M,164.19M,167.00M,156.60M,146.80M,145.10M,145.20M,139.10M,137.60M,133.60M,145.70M,131.80M,127.00M,130.60M,136.00M,117.80M,114.40M,118.80M,118.80M,110.10M,107.90M,106.20M,108.30M,102.80M,95.30M,97.10M
Accounts Payable,54.07M,53.15M,50.64M,75.28M,98.68M,60.23M,60.77M,57.46M,74.69M,53.28M,52.10M,49.50M,56.94M,41.30M,35.50M,36.30M,39.30M,41.13M,38.17M,46.28M,44.61M,33.37M,30.18M,58.18M,53.48M,41.01M,45.79M,38.84M,41.99M,35.48M,37.02M,48.72M,55.58M,38.54M,64.43M,53.31M,65.54M,34.36M,36.15M,37.81M,51.46M,26.36M,25.32M,28.54M,40.20M,45.84M,58.83M,41.70M,54.89M,31.43M,26.65M,27.38M,33.87M,27.99M,23.79M,29.77M,45.65M,32.02M,20.10M,22.32M,33.50M,24.37M,15.30M,19.38M,22.00M,13.87M,12.43M,20.71M,21.14M,12.53M,10.65M,13.26M,14.55M,15.71M,12.79M,17.53M,33.65M,20.22M,15.65M,15.76M,16.80M,19.70M,12.90M,11.10M,11.10M,11.00M,9.30M,11.30M,16.40M,6.30M,7.40M,7.60M,14.40M,6.30M,7.00M,9.60M,11.20M,5.70M,6.20M,5.20M,7.40M,4.00M,5.00M,5.70M
Dividends Payable,6.644M,6.644M,6.644M,6.067M,6.06M,6.06M,6.06M,5.318M,5.312M,5.312M,5.312M,4.981M,4.973M,4.678M,4.673M,4.40M,4.39M,4.388M,4.382M,3.95M,3.939M,3.936M,3.933M,3.73M,3.71M,3.706M,3.706M,3.504M,3.502M,3.501M,3.501M,3.304M,3.30M,3.30M,3.299M,3.151M,3.143M,3.135M,3.127M,2.974M,2.959M,2.17M,2.164M,2.086M,2.082M,2.079M,2.079M,2.008M,1.999M,1.994M,1.989M,1.948M,1.939M,1.733M,1.728M,1.690M,1.676M,1.670M,1.663M,1.625M,1.617M,1.613M,1.604M,1.569M,1.557M,1.549M,1.542M,1.533M,1.522M,1.515M,1.507M,1.501M,1.492M,1.482M,1.475M,1.584M,1.430M,1.423M,1.416M,1.356M,1.30M,1.30M,1.30M,1.30M,1.30M,1.30M,,1.10M,1.10M,1.10M,1.10M,1.10M,0.90M,0.90M,0.90M,0.90M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M
Current Tax Payable,,,,,,,,,,,,,,,,,,,,2.946M,,,0.695M,8.955M,,,1.896M,4.196M,,,,,,,,,,,,5.901M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,60.71M,59.79M,57.29M,81.34M,104.74M,66.29M,66.83M,62.78M,80.00M,58.60M,57.41M,54.48M,61.91M,45.98M,40.17M,40.70M,43.69M,45.52M,42.56M,53.18M,48.55M,37.31M,34.81M,70.87M,57.19M,44.72M,51.39M,46.54M,45.49M,38.98M,40.52M,52.02M,58.88M,41.84M,67.73M,56.46M,68.68M,37.50M,39.28M,46.68M,54.42M,28.52M,27.48M,30.62M,42.28M,47.91M,60.91M,43.71M,56.89M,33.42M,28.63M,29.33M,35.81M,29.73M,25.51M,31.46M,47.32M,33.69M,21.77M,23.94M,35.12M,25.98M,16.90M,20.95M,23.55M,15.42M,13.97M,22.25M,22.66M,14.05M,12.16M,14.76M,16.04M,17.19M,14.26M,19.11M,35.08M,21.65M,17.07M,17.11M,18.10M,21.00M,14.20M,12.40M,12.40M,12.30M,9.30M,12.40M,17.50M,7.40M,8.50M,8.70M,15.30M,7.20M,7.90M,10.50M,12.00M,6.50M,7.00M,6.00M,8.20M,4.80M,5.80M,6.50M
Accrued Expenses,14.63M,18.41M,16.90M,17.58M,12.40M,18.79M,13.39M,11.95M,12.02M,17.33M,13.72M,12.15M,8.375M,13.38M,10.23M,10.96M,8.37M,12.68M,10.01M,10.91M,7.955M,14.30M,11.33M,11.47M,8.913M,12.83M,10.25M,11.26M,8.663M,13.22M,10.47M,11.31M,9.716M,15.14M,13.63M,15.16M,12.18M,20.88M,16.46M,15.87M,8.904M,8.396M,6.616M,6.973M,7.299M,33.42M,28.09M,24.14M,30.84M,35.02M,22.41M,23.74M,19.44M,19.77M,16.42M,14.92M,14.75M,14.17M,14.53M,17.05M,8.641M,10.47M,10.49M,11.95M,8.804M,8.348M,9.463M,11.12M,7.085M,7.485M,9.873M,10.87M,9.182M,8.785M,10.92M,11.14M,8.270M,6.431M,7.362M,9.163M,6.00M,6.10M,9.10M,9.10M,5.00M,5.50M,7.40M,5.90M,5.00M,5.00M,6.40M,6.80M,4.80M,4.80M,5.80M,6.00M,4.90M,5.40M,6.40M,5.90M,3.50M,4.40M,7.60M,6.40M
Payables and Accrued Expenses,75.34M,78.20M,74.18M,98.93M,117.14M,85.08M,80.22M,74.72M,92.02M,75.93M,71.13M,66.63M,70.28M,59.35M,50.40M,51.66M,52.06M,58.20M,52.57M,64.09M,56.50M,51.60M,46.14M,82.34M,66.10M,57.55M,61.64M,57.80M,54.16M,52.20M,50.99M,63.33M,68.60M,56.98M,81.36M,71.62M,80.87M,58.38M,55.74M,62.56M,63.32M,36.92M,34.10M,37.60M,49.58M,81.34M,88.99M,67.85M,87.74M,68.44M,51.05M,53.07M,55.25M,49.50M,41.93M,46.38M,62.08M,47.86M,36.30M,40.99M,43.76M,36.45M,27.39M,32.90M,32.36M,23.77M,23.44M,33.36M,29.75M,21.53M,22.03M,25.63M,25.23M,25.98M,25.18M,30.25M,43.35M,28.08M,24.43M,26.28M,24.10M,27.10M,23.30M,21.50M,17.40M,17.80M,16.70M,18.30M,22.50M,12.40M,14.90M,15.50M,20.10M,12.00M,13.70M,16.50M,16.90M,11.90M,13.40M,11.90M,11.70M,9.20M,13.40M,12.90M
Liability on Credit Line,247.37M,,,,294.46M,,,,250.97M,,,,209.87M,,,,173.40M,,,,88.23M,,,,105.67M,,,,61.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,45.60M,300.34M,376.83M,346.99M,11.94M,277.91M,245.26M,238.50M,9.421M,215.23M,157.72M,211.44M,12.10M,166.58M,192.12M,181.90M,9.151M,136.23M,103.84M,75.89M,9.109M,82.28M,58.99M,94.42M,11.35M,99.53M,83.49M,56.73M,8.196M,38.95M,21.75M,23.85M,42.90M,35.79M,,50.62M,73.17M,,,,65.32M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,292.97M,300.34M,376.83M,346.99M,306.39M,277.91M,245.26M,238.50M,260.39M,215.23M,157.72M,211.44M,221.97M,166.58M,192.12M,181.90M,182.55M,136.23M,103.84M,75.89M,97.34M,82.28M,58.99M,94.42M,117.02M,99.53M,83.49M,56.73M,69.40M,38.95M,21.75M,23.85M,42.90M,35.79M,13.44M,50.62M,73.17M,50.29M,37.22M,37.22M,65.32M,16.74M,8.656M,16.46M,39.66M,69.93M,63.71M,52.84M,53.32M,40.79M,31.23M,29.18M,35.21M,56.24M,37.93M,30.24M,40.41M,15.55M,4.909M,3.166M,7.609M,3.287M,3.287M,3.665M,7.180M,7.565M,5.172M,4.172M,14.84M,9.388M,33.71M,35.29M,44.79M,35.69M,24.89M,24.17M,28.07M,36.67M,24.07M,16.67M,25.70M,13.80M,6.10M,5.00M,12.10M,5.70M,2.60M,0.50M,8.70M,19.10M,10.60M,12.80M,15.80M,6.60M,0.80M,2.50M,5.70M,6.70M,4.70M,4.20M,9.30M,7.40M,1.20M,2.30M
Current Capital Lease Obligation,,1.694M,1.704M,2.551M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,292.97M,302.04M,378.53M,349.54M,306.39M,277.91M,245.26M,238.50M,260.39M,215.23M,157.72M,211.44M,221.97M,166.58M,192.12M,181.90M,182.55M,136.23M,103.84M,75.89M,97.34M,82.28M,58.99M,94.42M,117.02M,99.53M,83.49M,56.73M,69.40M,38.95M,21.75M,23.85M,42.90M,35.79M,13.44M,50.62M,73.17M,50.29M,37.22M,37.22M,65.32M,16.74M,8.656M,16.46M,39.66M,69.93M,63.71M,52.84M,53.32M,40.79M,31.23M,29.18M,35.21M,56.24M,37.93M,30.24M,40.41M,15.55M,4.909M,3.166M,7.609M,3.287M,3.287M,3.665M,7.180M,7.565M,5.172M,4.172M,14.84M,9.388M,33.71M,35.29M,44.79M,35.69M,24.89M,24.17M,28.07M,36.67M,24.07M,16.67M,25.70M,13.80M,6.10M,5.00M,12.10M,5.70M,2.60M,0.50M,8.70M,19.10M,10.60M,12.80M,15.80M,6.60M,0.80M,2.50M,5.70M,6.70M,4.70M,4.20M,9.30M,7.40M,1.20M,2.30M
Current Deferred Revenue,30.94M,29.63M,29.84M,29.71M,32.62M,34.89M,32.02M,34.80M,34.75M,32.49M,30.72M,29.64M,29.24M,26.86M,27.57M,27.04M,27.17M,24.02M,21.45M,22.31M,25.20M,24.97M,23.48M,24.40M,26.14M,26.94M,25.53M,26.79M,29.27M,29.83M,,30.51M,30.92M,27.77M,,24.22M,26.32M,,,,25.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,30.94M,29.63M,29.84M,29.71M,32.62M,34.89M,32.02M,34.80M,34.75M,32.49M,30.72M,29.64M,29.24M,26.86M,27.57M,27.04M,27.17M,24.02M,21.45M,22.89M,26.03M,24.97M,23.48M,24.40M,26.14M,26.94M,25.53M,26.79M,29.27M,29.83M,,30.51M,30.92M,27.77M,,24.22M,26.32M,,,,25.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,0.00,0.00,0.586M,0.832M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,7.835M,26.02M,21.16M,21.88M,58.16M,18.87M,23.08M,20.86M,12.73M,7.07M,5.797M,7.464M,2.064M,2.441M,7.064M,9.736M,7.798M,9.50M,15.25M,18.64M,4.286M,2.938M,5.907M,7.071M,4.284M,4.521M,5.403M,7.661M,1.908M,3.197M,34.24M,7.558M,8.149M,8.584M,37.31M,13.55M,10.50M,38.15M,37.02M,37.94M,10.81M,15.44M,15.00M,16.61M,15.81M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20M,0.10M,0.10M,,,,0.10M,-0.10M,,,-0.10M,,,,,,,0.10M,,,,0.10M,-0.10M
Total Current Liabilities,423.32M,446.25M,512.42M,508.57M,528.23M,427.14M,388.53M,374.32M,413.00M,339.27M,272.05M,320.73M,334.05M,263.05M,283.89M,274.45M,279.59M,236.86M,199.61M,186.35M,194.24M,169.06M,140.01M,213.18M,221.94M,195.01M,181.50M,153.68M,162.17M,130.60M,112.07M,129.86M,157.50M,134.78M,136.73M,164.83M,197.64M,146.81M,129.98M,137.72M,169.84M,69.10M,57.76M,70.66M,105.05M,151.27M,152.70M,120.69M,141.06M,109.24M,82.27M,82.25M,90.46M,105.75M,79.86M,76.62M,102.49M,63.42M,41.21M,44.15M,51.37M,39.74M,30.68M,36.57M,39.54M,31.33M,28.61M,37.54M,44.59M,30.92M,55.74M,60.92M,70.01M,61.66M,50.07M,54.42M,71.42M,64.74M,48.49M,42.94M,49.80M,41.10M,29.50M,26.60M,29.50M,23.50M,19.30M,18.90M,31.10M,31.50M,25.50M,28.20M,35.90M,18.60M,14.50M,19.00M,22.60M,18.60M,18.20M,16.10M,21.00M,16.60M,14.70M,15.10M
Long Term Provisions - Legal & Other,6.468M,6.713M,6.994M,7.37M,7.638M,7.941M,8.09M,8.215M,8.263M,8.382M,8.457M,8.535M,8.592M,8.682M,8.765M,8.843M,8.942M,9.003M,9.043M,9.147M,8.923M,9.022M,9.076M,9.129M,9.155M,8.838M,8.905M,9.094M,9.114M,,,,9.492M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,440.17M,375.81M,275.92M,286.00M,316.02M,241.60M,241.60M,222.01M,197.40M,201.25M,201.59M,136.54M,136.95M,143.52M,143.86M,148.60M,149.01M,155.91M,156.25M,158.08M,158.49M,165.04M,165.37M,117.20M,117.59M,107.34M,107.67M,100.95M,101.91M,108.72M,108.76M,110.24M,110.28M,117.07M,117.12M,89.56M,89.64M,97.49M,97.56M,98.99M,98.81M,86.28M,86.31M,86.36M,86.42M,63.14M,63.18M,63.22M,63.26M,69.91M,69.96M,69.98M,71.05M,56.79M,57.81M,57.88M,58.99M,62.08M,63.01M,65.13M,66.19M,68.15M,68.21M,68.27M,69.42M,71.78M,71.91M,72.35M,73.41M,75.99M,46.01M,46.39M,48.41M,49.75M,49.77M,49.90M,50.92M,31.35M,32.30M,32.73M,33.80M,35.10M,35.20M,36.60M,37.60M,37.90M,37.90M,38.20M,38.20M,28.60M,28.60M,28.90M,29.00M,29.30M,29.40M,29.70M,29.80M,26.10M,23.90M,24.30M,24.30M,25.20M,25.30M,25.60M
Long Term Cap Lease Obligation,9.896M,10.39M,10.71M,10.87M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,450.06M,386.20M,286.63M,296.87M,316.02M,241.60M,241.60M,222.01M,197.40M,201.25M,201.59M,136.54M,136.95M,143.52M,143.86M,148.60M,149.01M,155.91M,156.25M,158.08M,158.49M,165.04M,165.37M,117.20M,117.59M,107.34M,107.67M,100.95M,101.91M,108.72M,108.76M,110.24M,110.28M,117.07M,117.12M,89.56M,89.64M,97.49M,97.56M,98.99M,98.81M,86.28M,86.31M,86.36M,86.42M,63.14M,63.18M,63.22M,63.26M,69.91M,69.96M,69.98M,71.05M,56.79M,57.81M,57.88M,58.99M,62.08M,63.01M,65.13M,66.19M,68.15M,68.21M,68.27M,69.42M,71.78M,71.91M,72.35M,73.41M,75.99M,46.01M,46.39M,48.41M,49.75M,49.77M,49.90M,50.92M,31.35M,32.30M,32.73M,33.80M,35.10M,35.20M,36.60M,37.60M,37.90M,37.90M,38.20M,38.20M,28.60M,28.60M,28.90M,29.00M,29.30M,29.40M,29.70M,29.80M,26.10M,23.90M,24.30M,24.30M,25.20M,25.30M,25.60M
Long Term Deferred Tax Liabilities,183.45M,168.51M,167.08M,163.82M,159.79M,149.90M,146.24M,147.33M,139.30M,259.06M,238.86M,235.73M,227.64M,211.10M,205.18M,200.04M,195.20M,177.38M,177.64M,164.06M,164.06M,142.56M,142.82M,142.48M,145.15M,135.39M,131.29M,127.59M,125.32M,127.39M,123.75M,119.69M,115.80M,93.84M,92.90M,89.30M,80.27M,75.52M,70.43M,68.84M,66.34M,41.44M,42.18M,39.46M,37.96M,34.22M,30.98M,29.82M,29.07M,28.11M,27.46M,27.09M,26.85M,25.06M,24.43M,24.67M,24.62M,24.03M,23.48M,23.95M,23.79M,22.69M,21.08M,20.42M,20.08M,21.12M,19.79M,18.52M,17.81M,15.21M,15.38M,13.79M,16.34M,15.71M,15.22M,15.74M,15.74M,14.78M,14.78M,14.66M,14.60M,13.90M,14.00M,14.00M,14.10M,12.20M,12.10M,12.30M,12.30M,11.00M,11.10M,11.10M,10.70M,10.00M,9.80M,9.70M,10.00M,9.60M,9.60M,9.70M,9.70M,8.30M,8.10M,8.60M
Non-Current Deferred Liabilities,183.45M,168.51M,167.08M,163.82M,159.79M,149.90M,146.24M,147.33M,139.30M,259.06M,238.86M,235.73M,227.64M,211.10M,205.18M,200.04M,195.20M,177.38M,177.64M,164.06M,164.06M,142.56M,142.82M,142.48M,145.15M,135.39M,131.29M,127.59M,125.32M,127.39M,123.75M,119.69M,115.80M,93.84M,92.90M,89.30M,80.27M,75.52M,70.43M,68.84M,66.34M,41.44M,42.18M,39.46M,37.96M,0.2460M,0.2566M,0.2671M,0.2777M,0.2883M,0.3009M,0.3146M,0.3283M,0.3260M,0.3397M,0.3534M,0.3671M,0.3968M,0.4105M,0.4242M,0.4379M,0.4516M,0.4653M,0.4801M,0.4927M,0.5064M,0.5201M,0.5338M,0.5475M,0.5612M,0.5749M,0.5887M,0.6024M,0.6307M,0.6401M,0.6489M,0.6572M,0.6855M,0.6943M,0.7045M,0.70M,0.70M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.90M,0.90M,0.90M,0.90M,0.90M,0.90M,0.90M,0.90M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.90M,37.46M,37.01M,,36.28M,35.92M,35.59M,35.09M,34.68M,34.23M,,33.21M,21.32M,21.13M,20.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,30.57M,27.89M,29.68M,29.82M,28.51M,28.84M,29.00M,28.98M,29.70M,32.06M,31.92M,33.08M,32.83M,32.50M,32.70M,32.85M,33.48M,32.62M,33.61M,34.80M,35.03M,18.25M,20.12M,20.66M,21.00M,33.12M,33.49M,33.89M,33.54M,22.95M,25.83M,26.31M,33.80M,16.60M,17.82M,18.08M,18.20M,16.26M,16.54M,17.21M,15.09M,7.585M,7.502M,7.418M,7.335M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,3.775M,3.491M,2.484M,,2.102M,1.625M,1.58M,1.558M,18.43M,17.81M,18.10M,1.269M,17.82M,18.32M,18.24M,20.17M,15.94M,14.45M,15.10M,18.34M,4.67M,4.538M,4.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,798.30M,723.28M,624.24M,630.57M,647.00M,570.12M,566.42M,547.89M,515.64M,543.66M,523.26M,456.75M,449.08M,439.16M,433.60M,433.28M,429.69M,418.26M,419.85M,409.61M,409.91M,382.27M,384.85M,336.13M,336.81M,332.76M,328.86M,317.00M,314.98M,318.87M,317.22M,315.12M,310.79M,285.19M,285.76M,254.46M,247.11M,243.36M,236.67M,238.04M,236.19M,162.12M,162.50M,159.33M,131.71M,63.39M,63.44M,63.49M,63.53M,70.20M,70.27M,70.30M,71.38M,57.12M,58.15M,58.23M,59.36M,62.48M,63.42M,65.56M,66.63M,68.60M,68.67M,68.75M,69.91M,72.29M,72.43M,72.89M,73.96M,76.55M,46.59M,46.98M,49.01M,50.38M,50.41M,50.55M,51.58M,32.03M,32.99M,33.43M,34.50M,35.80M,36.00M,37.40M,38.40M,38.70M,38.70M,39.00M,39.00M,29.40M,29.50M,29.80M,29.90M,30.20M,30.30M,30.60M,30.70M,27.00M,24.90M,25.30M,25.30M,26.20M,26.30M,26.60M
Total Liabilities,1.222B,1.170B,1.137B,1.139B,1.175B,997.26M,954.96M,922.21M,928.64M,882.93M,795.31M,777.48M,783.13M,702.21M,717.49M,707.73M,709.28M,655.13M,619.46M,595.96M,604.15M,551.33M,524.86M,549.31M,558.75M,527.77M,510.35M,470.68M,477.15M,449.47M,429.29M,444.98M,468.29M,419.97M,422.49M,419.29M,444.75M,390.18M,366.65M,375.76M,406.03M,231.23M,220.26M,230.00M,262.72M,276.93M,275.44M,242.72M,261.98M,235.15M,206.48M,205.01M,213.84M,213.43M,187.74M,184.85M,211.22M,173.69M,151.44M,156.49M,163.98M,152.28M,140.73M,145.76M,149.12M,144.47M,139.88M,149.67M,156.37M,130.55M,126.21M,130.47M,143.49M,136.21M,124.30M,128.81M,146.73M,119.90M,104.56M,99.17M,106.80M,98.00M,86.50M,84.90M,88.80M,84.20M,79.30M,79.30M,92.00M,83.40M,77.10M,80.60M,88.50M,71.90M,67.60M,72.30M,76.50M,69.10M,67.40M,65.80M,71.20M,66.30M,58.00M,59.10M
Total Capital Stock,7.984M,7.984M,7.984M,7.98M,7.971M,7.971M,7.971M,7.964M,7.955M,7.955M,7.955M,7.949M,7.935M,7.932M,7.456M,7.449M,7.432M,7.429M,7.419M,7.119M,7.10M,7.095M,4.727M,4.715M,4.691M,4.685M,4.684M,4.679M,4.671M,4.669M,4.668M,4.661M,4.656M,4.655M,4.654M,4.648M,4.635M,4.623M,4.612M,4.594M,4.572M,3.352M,3.344M,3.329M,3.323M,3.318M,3.317M,3.313M,3.298M,3.291M,3.282M,3.270M,3.255M,2.910M,2.900M,2.887M,2.863M,2.851M,2.840M,2.824M,2.813M,2.803M,2.791M,2.778M,2.755M,2.743M,2.730M,2.714M,2.695M,2.682M,2.669M,2.656M,2.640M,2.623M,2.610M,2.590M,2.578M,2.565M,2.553M,2.539M,2.50M,2.50M,2.50M,2.50M,2.50M,2.50M,2.50M,2.20M,2.40M,2.20M,2.20M,2.20M,2.20M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M,1.80M
