Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,149.53M,92.63M,130.90M,227.62M,151.08M,93.40M,136.66M,239.36M,29.21M,126.94M,125.08M,185.16M,152.48M,108.35M,102.34M,146.30M,109.33M,91.91M,92.68M,170.08M,106.95M,91.62M,100.50M,186.34M,119.62M,83.94M,91.24M,136.56M,105.89M,75.46M,80.73M,117.18M,91.77M,80.61M,86.83M,146.60M,106.44M,76.47M,80.06M,153.26M,91.71M,31.76M,40.83M,104.48M,72.41M,49.70M,69.06M,100.27M,70.84M,41.42M,52.50M,93.53M,60.80M,35.14M,44.30M,90.95M,74.26M,35.16M,42.22M,77.85M,53.29M,26.61M,34.29M,63.76M,46.37M,23.45M,30.78M,62.96M,35.95M,22.01M,53.24M,48.64M,29.77M,24.79M,71.05M,134.04M,-73.70M,59.45M,66.17M,98.51M,71.90M,56.50M,46.84M,55.60M,43.60M,36.20M,43.60M,60.20M,59.60M,41.70M,44.90M,43.60M,166.20M,19.60M,25.20M,49.00M,38.30M,20.60M,22.10M,30.90M,23.90M,18.80M,19.90M,36.00M,24.70M,13.90M,17.30M,30.00M,23.70M,12.50M,15.30M,24.40M,16.90M,11.90M,15.00M,26.00M,24.20M,14.70M,16.70M,31.40M,22.70M,13.50M,18.80M,25.30M,16.80M,10.50M,11.90M,19.40M,14.40M,10.70M,12.90M,17.70M,11.80M,7.40M,11.40M,19.10M,12.40M,9.00M,8.20M,16.30M,19.30M,19.50M,15.00M,15.00M
Revenue,131.97M,92.63M,130.90M,227.62M,134.21M,93.40M,136.66M,239.36M,12.47M,126.94M,125.08M,185.16M,141.87M,108.35M,102.34M,146.30M,104.57M,91.91M,92.68M,170.08M,120.38M,91.62M,100.50M,186.34M,122.89M,86.54M,94.15M,140.73M,109.52M,78.18M,83.90M,120.91M,103.99M,80.61M,86.83M,146.60M,117.76M,76.47M,80.06M,153.26M,91.71M,31.76M,40.83M,104.48M,72.41M,49.70M,69.06M,100.27M,70.84M,41.42M,52.50M,93.53M,60.80M,35.14M,44.30M,90.95M,74.26M,35.16M,42.22M,77.85M,53.29M,26.61M,34.29M,63.76M,46.37M,23.45M,30.78M,62.96M,35.95M,22.01M,53.24M,48.64M,29.77M,24.79M,71.05M,134.04M,-73.70M,59.45M,66.17M,98.51M,71.90M,56.50M,46.84M,55.60M,43.60M,36.20M,43.60M,60.20M,59.60M,41.70M,44.90M,43.60M,166.20M,19.60M,25.20M,49.00M,38.30M,20.60M,22.10M,30.90M,23.90M,18.80M,19.90M,36.00M,24.70M,13.90M,17.30M,30.00M,23.70M,12.50M,15.30M,24.40M,16.90M,11.90M,15.00M,26.00M,24.20M,14.70M,16.70M,31.40M,22.70M,13.50M,18.80M,25.30M,16.80M,10.50M,11.90M,19.40M,14.40M,10.70M,12.90M,17.70M,11.80M,7.40M,11.40M,19.10M,12.40M,9.00M,8.20M,16.30M,19.30M,19.50M,15.00M,15.00M
Cost of Goods Sold,85.80M,61.87M,97.09M,167.04M,90.00M,65.67M,109.30M,184.35M,-26.84M,98.87M,98.09M,136.72M,105.50M,86.50M,75.56M,98.57M,76.97M,70.11M,70.31M,122.01M,91.52M,73.90M,80.19M,144.41M,95.25M,67.83M,75.53M,105.18M,83.44M,62.31M,65.22M,92.20M,146.46M,46.12M,49.30M,92.28M,157.16M,44.50M,45.01M,99.35M,55.11M,13.74M,21.56M,71.34M,,,,,,,,,,,,,,,,,,,,,,,,,,,38.71M,26.30M,,13.04M,57.29M,110.99M,-88.90M,49.03M,53.67M,77.04M,57.10M,47.30M,35.20M,37.10M,30.90M,28.10M,33.30M,43.90M,46.50M,33.60M,34.40M,28.90M,151.50M,11.50M,14.60M,30.10M,25.10M,10.60M,12.90M,17.00M,13.30M,11.50M,12.50M,21.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,46.17M,30.76M,33.81M,60.57M,44.21M,27.73M,27.36M,55.00M,39.31M,28.06M,27.00M,48.44M,36.38M,21.85M,26.78M,47.73M,27.60M,21.80M,22.37M,48.07M,28.86M,17.72M,20.31M,41.93M,27.63M,18.71M,18.62M,35.55M,26.08M,15.87M,18.67M,28.72M,-42.47M,34.49M,37.53M,54.32M,-39.40M,31.97M,35.05M,53.91M,36.60M,18.02M,19.28M,33.14M,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53M,22.34M,,11.76M,13.76M,23.05M,15.20M,10.42M,12.50M,21.47M,14.80M,9.20M,11.64M,18.50M,12.70M,8.10M,10.30M,16.30M,13.10M,8.10M,10.50M,14.70M,14.70M,8.10M,10.60M,18.90M,13.20M,10.00M,9.20M,13.90M,10.60M,7.30M,7.40M,14.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Write Off,,0.00,0.13M,,,0.00,0.13M,,,0.00,0.13M,,0.00,0.00,0.13M,,0.00,,1.50M,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,,0.00,0.13M,,,0.00,0.13M,,,0.00,0.13M,,0.00,0.00,0.13M,,0.00,,1.50M,,0.258M,0.00,0.00,,,,,,,,,,,0.649M,0.027M,0.022M,,0.102M,-0.011M,0.115M,0.146M,-0.026M,0.012M,0.033M,0.1135M,-0.0916M,0.0635M,0.0176M,0.0141M,-0.0135M,0.2342M,0.0534M,0.0589M,-0.0121M,0.0637M,0.0786M,0.0523M,0.0195M,0.2285M,0.0824M,,0.0384M,0.0742M,0.1025M,0.1752M,-0.0249M,0.0343M,0.0539M,0.1060M,0.0343M,0.0396M,0.2110M,0.3827M,0.0626M,0.1143M,0.1349M,0.0095M,0.1569M,0.0555M,0.0269M,0.80M,0.10M,0.10M,0.10M,-0.10M,,0.10M,0.10M,0.00,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,-0.10M,0.10M,0.10M,,-0.30M,0.10M,,0.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,4.719M,5.178M,4.899M,5.505M,4.857M,4.364M,4.404M,4.894M,4.249M,4.071M,3.971M,4.53M,4.005M,3.488M,3.39M,3.846M,3.607M,3.257M,3.156M,3.587M,3.397M,3.151M,3.118M,3.673M,3.428M,3.719M,3.487M,3.178M,2.435M,2.535M,2.334M,2.884M,2.238M,2.332M,2.523M,2.919M,3.188M,2.479M,2.431M,2.966M,2.206M,1.722M,1.717M,1.933M,1.587M,1.613M,1.477M,1.795M,1.484M,1.419M,1.332M,1.553M,1.153M,1.211M,1.120M,1.566M,1.269M,1.130M,1.151M,1.450M,,1.021M,1.035M,1.307M,1.204M,0.9395M,1.035M,1.209M,0.8960M,1.058M,1.038M,1.283M,0.6902M,1.023M,1.016M,1.158M,1.199M,0.7670M,0.8007M,1.028M,1.00M,1.00M,1.00M,1.20M,1.00M,0.90M,1.00M,1.20M,1.00M,0.90M,1.00M,1.10M,1.00M,0.80M,0.90M,1.10M,1.00M,0.70M,0.70M,0.90M,0.70M,0.60M,0.70M,0.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,5.641M,5.403M,5.655M,5.71M,4.382M,4.357M,3.881M,3.664M,3.397M,3.321M,3.073M,2.739M,2.643M,2.722M,2.624M,2.65M,2.581M,2.492M,2.485M,2.448M,2.528M,2.495M,2.303M,2.155M,2.12M,2.026M,2.016M,2.072M,2.09M,2.126M,2.241M,2.291M,2.346M,2.389M,2.114M,2.15M,2.222M,2.256M,2.305M,2.363M,2.331M,1.54M,1.573M,1.642M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-5.641M,-5.403M,-5.655M,-5.71M,-4.382M,-4.357M,-3.881M,-3.664M,-3.397M,-3.321M,-3.073M,-2.739M,-2.643M,-2.722M,-2.624M,-2.65M,-2.581M,-2.492M,-2.485M,-2.448M,-2.528M,-2.495M,-2.303M,-2.155M,-2.12M,-2.026M,-2.016M,-2.072M,-2.09M,-2.126M,-2.241M,-2.291M,-2.346M,-2.389M,-2.114M,-2.15M,-2.222M,-2.256M,-2.305M,-2.363M,-2.331M,-1.54M,-1.573M,-1.642M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65M,49.78M,70.98M,46.86M,25.83M,34.23M,63.94M,39.62M,21.76M,28.51M,65.92M,51.95M,21.96M,26.91M,52.55M,,14.80M,20.25M,40.31M,27.50M,12.43M,16.89M,38.37M,20.98M,10.57M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
