date,zmijewski_score
"Dec. 31, 2019",-1.951
"Sept. 30, 2019",-1.955
"June 30, 2019",-2.005
"March 31, 2019",-2.050
"Dec. 31, 2018",-2.180
"Sept. 30, 2018",-2.105
"June 30, 2018",-2.077
"March 31, 2018",-2.092
"Dec. 31, 2017",-2.081
"Sept. 30, 2017",-1.901
"June 30, 2017",-1.886
"March 31, 2017",-1.819
"Dec. 31, 2016",-1.747
"Sept. 30, 2016",-1.734
"June 30, 2016",-1.725
"March 31, 2016",-1.782
"Dec. 31, 2015",-1.848
"Sept. 30, 2015",-1.861
"June 30, 2015",-1.878
"March 31, 2015",-1.956
"Dec. 31, 2014",-2.013
"Sept. 30, 2014",-2.112
"June 30, 2014",-2.073
"March 31, 2014",-2.016
"Dec. 31, 2013",-2.039
"Sept. 30, 2013",-1.975
"June 30, 2013",-1.988
"March 31, 2013",-2.150
"Dec. 31, 2012",-2.178
"Sept. 30, 2012",-2.174
"June 30, 2012",-2.162
"March 31, 2012",-1.900
"Dec. 31, 2011",-1.989
"Sept. 30, 2011",-2.091
"June 30, 2011",-2.027
"March 31, 2011",-1.992
"Dec. 31, 2010",-2.021
"Sept. 30, 2010",-1.978
"June 30, 2010",-1.944
"March 31, 2010",-1.817
"Dec. 31, 2009",-1.844
"Sept. 30, 2009",-1.838
"June 30, 2009",-2.049
"March 31, 2009",-2.207
"Dec. 31, 2008",-2.393
"Sept. 30, 2008",-2.307
"June 30, 2008",-2.108
"March 31, 2008",-2.161
"Dec. 31, 2007",-2.405
"Sept. 30, 2007",-2.279
"June 30, 2007",-2.360
"March 31, 2007",-2.379
"Dec. 31, 2006",-2.422
"Sept. 30, 2006",-2.443
"June 30, 2006",-2.466
"March 31, 2006",-2.406
"Dec. 31, 2005",-2.484
"Sept. 30, 2005",-2.340
"June 30, 2005",-2.285
"March 31, 2005",-2.24
"Dec. 31, 2004",-2.348
"Sept. 30, 2004",-2.141
"June 30, 2004",-2.147
"March 31, 2004",-2.070
"Dec. 31, 2003",-2.283
"Sept. 30, 2003",-2.038
"June 30, 2003",-2.013
"March 31, 2003",-1.924
"Dec. 31, 2002",-1.882
"Sept. 30, 2002",-1.801
"June 30, 2002",-1.858
"March 31, 2002",-1.930
"Dec. 31, 2001",-2.024
"Sept. 30, 2001",-2.030
"June 30, 2001",-2.043
"March 31, 2001",-1.986
"Dec. 31, 2000",-2.019
"Sept. 30, 2000",-1.755
"June 30, 2000",-1.700
"March 31, 2000",-1.611
"Dec. 31, 1999",-1.611
"Sept. 30, 1999",-1.682
"June 30, 1999",-1.677
"March 31, 1999",-1.685
"Dec. 31, 1998",-1.684
"Sept. 30, 1998",-1.765
"June 30, 1998",-1.817
"March 31, 1998",-1.805
"Dec. 31, 1997",-1.926
"Sept. 30, 1997",-1.588
"June 30, 1997",-1.666
"March 31, 1997",-1.620
"Dec. 31, 1996",-1.720
"Sept. 30, 1996",-1.520
"June 30, 1996",-1.523
"March 31, 1996",-1.50
"Dec. 31, 1995",-1.626
"Sept. 30, 1995",-1.496
"June 30, 1995",-1.468
"March 31, 1995",-1.38
"Dec. 31, 1994",-1.479
"Sept. 30, 1994",-1.264
"June 30, 1994",-1.280
"March 31, 1994",-1.299
"Dec. 31, 1993",-1.445
"Sept. 30, 1993",-1.239
"June 30, 1993",-1.218
"March 31, 1993",-1.182
"Dec. 31, 1992",-1.357
"Sept. 30, 1992",-1.185
"June 30, 1992",-1.191
"March 31, 1992",-1.207
"Dec. 31, 1991",-1.409
"Sept. 30, 1991",-1.25
"June 30, 1991",-1.253
"March 31, 1991",-1.215
"Dec. 31, 1990",-1.253
"Sept. 30, 1990",-1.022
"June 30, 1990",-1.047
"March 31, 1990",-0.9565
"Dec. 31, 1989",-1.114
