date,long_term_debt
"Dec. 31, 2019",24.67B
"Sept. 30, 2019",25.95B
"June 30, 2019",19.00B
"March 31, 2019",19.03B
"Dec. 31, 2018",19.24B
"Sept. 30, 2018",20.62B
"June 30, 2018",20.72B
"March 31, 2018",20.78B
"Dec. 31, 2017",23.08B
"Sept. 30, 2017",24.87B
"June 30, 2017",24.75B
"March 31, 2017",25.12B
"Dec. 31, 2016",27.71B
"Sept. 30, 2016",28.92B
"June 30, 2016",29.50B
"March 31, 2016",29.57B
"Dec. 31, 2015",18.69B
"Sept. 30, 2015",19.84B
"June 30, 2015",19.43B
"March 31, 2015",19.49B
"Dec. 31, 2014",11.28B
"Sept. 30, 2014",11.59B
"June 30, 2014",11.82B
"March 31, 2014",12.14B
"Dec. 31, 2013",6.516B
"Sept. 30, 2013",7.404B
"June 30, 2013",7.496B
"March 31, 2013",7.475B
"Dec. 31, 2012",7.497B
"Sept. 30, 2012",8.928B
"June 30, 2012",8.877B
"March 31, 2012",9.231B
"Dec. 31, 2011",9.062B
"Sept. 30, 2011",9.331B
"June 30, 2011",12.12B
"March 31, 2011",12.32B
"Dec. 31, 2010",12.23B
"Sept. 30, 2010",15.25B
"June 30, 2010",17.49B
"March 31, 2010",7.054B
"Dec. 31, 2009",7.129B
"Sept. 30, 2009",7.185B
"June 30, 2009",7.117B
"March 31, 2009",7.041B
"Dec. 31, 2008",7.025B
"Sept. 30, 2008",7.383B
"June 30, 2008",7.327B
"March 31, 2008",7.235B
"Dec. 31, 2007",7.183B
"Sept. 30, 2007",6.896B
"June 30, 2007",6.757B
"March 31, 2007",6.758B
"Dec. 31, 2006",6.425B
"Sept. 30, 2006",6.464B
"June 30, 2006",6.393B
"March 31, 2006",6.255B
"Dec. 31, 2005",6.22B
"Sept. 30, 2005",6.126B
"June 30, 2005",6.071B
"March 31, 2005",5.015B
"Dec. 31, 2004",5.013B
"Sept. 30, 2004",5.196B
"June 30, 2004",5.084B
"March 31, 2004",5.135B
"Dec. 31, 2003",4.756B
"Sept. 30, 2003",5.615B
"June 30, 2003",5.811B
"March 31, 2003",6.489B
"Dec. 31, 2002",6.655B
"Sept. 30, 2002",7.11B
"June 30, 2002",7.607B
"March 31, 2002",7.118B
"Dec. 31, 2001",7.099B
"Sept. 30, 2001",7.24B
"June 30, 2001",7.289B
"March 31, 2001",7.27B
"Dec. 31, 2000",7.28B
"Sept. 30, 2000",7.528B
"June 30, 2000",8.009B
"March 31, 2000",8.009B
"Dec. 31, 1999",8.402B
"Sept. 30, 1999",4.425B
"June 30, 1999",4.497B
"March 31, 1999",4.563B
"Dec. 31, 1998",8.532B
"Sept. 30, 1998",6.912B
"June 30, 1998",6.927B
"March 31, 1998",7.077B
"Dec. 31, 1997",7.05B
"Sept. 30, 1997",7.281B
"June 30, 1997",7.041B
"March 31, 1997",7.223B
"Dec. 31, 1996",7.236B
"Sept. 30, 1996",7.224B
"June 30, 1996",7.566B
"March 31, 1996",7.679B
"Dec. 31, 1995",7.778B
"Sept. 30, 1995",8.362B
"June 30, 1995",8.55B
"March 31, 1995",9.178B
"Dec. 31, 1994",8.831B
"Sept. 30, 1994",8.936B
"June 30, 1994",8.754B
"March 31, 1994",8.712B
"Dec. 31, 1993",8.506B
"Sept. 30, 1993",8.781B
"June 30, 1993",8.692B
"March 31, 1993",8.855B
"Dec. 31, 1992",8.637B
"Sept. 30, 1992",8.879B
"June 30, 1992",8.485B
"March 31, 1992",8.508B
"Dec. 31, 1991",8.582B
"Sept. 30, 1991",8.311B
"June 30, 1991",7.974B
"March 31, 1991",7.876B
"Dec. 31, 1990",7.687B
"Sept. 30, 1990",7.835B
"June 30, 1990",8.32B
"March 31, 1990",8.939B
"Dec. 31, 1989",9.275B
"Sept. 30, 1989",8.559B
"Dec. 31, 1988",4.689B
"Dec. 31, 1987",5.021B
"Dec. 31, 1986",4.294B
"Dec. 31, 1985",4.82B
"Dec. 31, 1984",5.105B
