date,kz_index
"Dec. 31, 2018",-1.364
"Dec. 31, 2017",-1.138
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",-1.100
"Dec. 31, 2010",-1.79
"Dec. 31, 2009",
"Dec. 31, 2008",-2.153
"Dec. 31, 2007",-2.059
"Dec. 31, 2006",-2.471
"Dec. 31, 2005",-2.451
"Dec. 31, 2004",-2.145
"Dec. 31, 2003",-2.259
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",-1.382
"Dec. 31, 1999",-0.8929
"Dec. 31, 1998",
"Dec. 31, 1997",-2.561
"Dec. 31, 1996",-1.499
"Dec. 31, 1995",-1.492
"Dec. 31, 1994",-1.497
"Dec. 31, 1993",
"Dec. 31, 1992",-1.094
"Dec. 31, 1991",
"Dec. 31, 1990",-1.042
"Dec. 31, 1989",-0.9354
"Dec. 31, 1988",0.972
"Dec. 31, 1987",0.7726
