date,shareholders_equity
"Dec. 31, 2019",191.65B
"Sept. 30, 2019",189.92B
"June 30, 2019",191.38B
"March 31, 2019",191.22B
"Dec. 31, 2018",191.79B
"Sept. 30, 2018",190.36B
"June 30, 2018",187.22B
"March 31, 2018",188.20B
"Dec. 31, 2017",187.69B
"Sept. 30, 2017",182.28B
"June 30, 2017",179.18B
"March 31, 2017",177.15B
"Dec. 31, 2016",167.32B
"Sept. 30, 2016",170.60B
"June 30, 2016",170.59B
"March 31, 2016",172.19B
"Dec. 31, 2015",170.81B
"Sept. 30, 2015",170.72B
"June 30, 2015",172.67B
"March 31, 2015",171.23B
"Dec. 31, 2014",174.40B
"Sept. 30, 2014",180.59B
"June 30, 2014",181.16B
"March 31, 2014",176.40B
"Dec. 31, 2013",174.00B
"Sept. 30, 2013",169.24B
"June 30, 2013",165.65B
"March 31, 2013",167.00B
"Dec. 31, 2012",165.86B
"Sept. 30, 2012",166.71B
"June 30, 2012",162.81B
"March 31, 2012",157.01B
"Dec. 31, 2011",154.40B
"Sept. 30, 2011",155.94B
"June 30, 2011",155.55B
"March 31, 2011",151.48B
"Dec. 31, 2010",146.84B
"Sept. 30, 2010",145.03B
"June 30, 2010",140.17B
"March 31, 2010",112.54B
"Dec. 31, 2009",110.57B
"Sept. 30, 2009",107.26B
"June 30, 2009",106.59B
"March 31, 2009",107.00B
"Dec. 31, 2008",112.96B
"Sept. 30, 2008",125.29B
"June 30, 2008",124.83B
"March 31, 2008",123.14B
"Dec. 31, 2007",121.76B
"Sept. 30, 2007",118.60B
"June 30, 2007",116.35B
"March 31, 2007",114.11B
"Dec. 31, 2006",113.84B
"Sept. 30, 2006",116.59B
"June 30, 2006",115.76B
"March 31, 2006",112.46B
"Dec. 31, 2005",111.19B
"Sept. 30, 2005",107.89B
"June 30, 2005",104.60B
"March 31, 2005",103.70B
"Dec. 31, 2004",101.76B
"Sept. 30, 2004",95.44B
"June 30, 2004",93.54B
"March 31, 2004",91.68B
"Dec. 31, 2003",89.92B
"Sept. 30, 2003",83.76B
"June 30, 2003",82.58B
"March 31, 2003",79.58B
"Dec. 31, 2002",74.60B
"Sept. 30, 2002",74.69B
"June 30, 2002",75.12B
"March 31, 2002",72.37B
"Dec. 31, 2001",73.16B
"Sept. 30, 2001",73.82B
"June 30, 2001",72.97B
"March 31, 2001",71.89B
"Dec. 31, 2000",70.76B
"Sept. 30, 2000",68.11B
"June 30, 2000",66.94B
"March 31, 2000",64.60B
"Dec. 31, 1999",63.47B
"Sept. 30, 1999",43.83B
"June 30, 1999",42.83B
"March 31, 1999",43.00B
"Dec. 31, 1998",62.12B
"Sept. 30, 1998",43.76B
"June 30, 1998",43.36B
"March 31, 1998",43.74B
"Dec. 31, 1997",43.66B
"Sept. 30, 1997",43.36B
"June 30, 1997",43.82B
"March 31, 1997",43.67B
"Dec. 31, 1996",43.54B
"Sept. 30, 1996",41.79B
"June 30, 1996",41.38B
"March 31, 1996",41.02B
"Dec. 31, 1995",40.44B
"Sept. 30, 1995",40.04B
"June 30, 1995",40.00B
"March 31, 1995",39.18B
"Dec. 31, 1994",37.42B
"Sept. 30, 1994",36.52B
"June 30, 1994",35.86B
"March 31, 1994",35.25B
"Dec. 31, 1993",34.79B
"Sept. 30, 1993",34.65B
"June 30, 1993",34.35B
"March 31, 1993",34.12B
"Dec. 31, 1992",33.78B
"Sept. 30, 1992",35.34B
"June 30, 1992",35.28B
"March 31, 1992",34.24B
"Dec. 31, 1991",34.93B
"Sept. 30, 1991",33.89B
"June 30, 1991",32.80B
"March 31, 1991",33.04B
"Dec. 31, 1990",33.06B
"Sept. 30, 1990",32.26B
"June 30, 1990",31.23B
"March 31, 1990",30.54B
"Dec. 31, 1989",30.24B
"Sept. 30, 1989",29.73B
"Dec. 31, 1988",31.77B
"Dec. 31, 1987",33.63B
"Dec. 31, 1986",32.01B
"Dec. 31, 1985",29.10B
"Dec. 31, 1984",28.85B
