date,fulmer_h_score
"Dec. 31, 2019",11.64
"Sept. 30, 2019",11.77
"June 30, 2019",11.97
"March 31, 2019",12.38
"Dec. 31, 2018",12.85
"Sept. 30, 2018",12.40
"June 30, 2018",12.27
"March 31, 2018",12.11
"Dec. 31, 2017",12.11
"Sept. 30, 2017",11.92
"June 30, 2017",11.77
"March 31, 2017",11.64
"Dec. 31, 2016",11.63
"Sept. 30, 2016",11.84
"June 30, 2016",12.24
"March 31, 2016",12.66
"Dec. 31, 2015",13.05
"Sept. 30, 2015",13.50
"June 30, 2015",13.74
"March 31, 2015",14.18
"Dec. 31, 2014",14.60
"Sept. 30, 2014",16.78
"June 30, 2014",17.50
"March 31, 2014",16.78
"Dec. 31, 2013",17.97
"Sept. 30, 2013",15.21
"June 30, 2013",15.57
"March 31, 2013",17.40
"Dec. 31, 2012",19.38
"Sept. 30, 2012",18.61
"June 30, 2012",17.51
"March 31, 2012",16.78
"Dec. 31, 2011",16.61
"Sept. 30, 2011",16.57
"June 30, 2011",16.59
"March 31, 2011",16.39
"Dec. 31, 2010",16.01
"Sept. 30, 2010",15.40
"June 30, 2010",14.91
"March 31, 2010",17.05
"Dec. 31, 2009",16.25
"Sept. 30, 2009",16.63
"June 30, 2009",18.07
"March 31, 2009",21.06
"Dec. 31, 2008",23.38
"Sept. 30, 2008",22.52
"June 30, 2008",23.41
"March 31, 2008",23.11
