date,price_target_upside
"March 19, 2020",57.25%
"March 18, 2020",63.47%
"March 17, 2020",47.09%
"March 16, 2020",60.57%
"March 13, 2020",61.02%
"March 12, 2020",67.01%
"March 11, 2020",50.87%
"March 10, 2020",48.75%
"March 9, 2020",56.87%
"March 6, 2020",41.92%
"March 5, 2020",41.60%
"March 4, 2020",36.48%
"March 3, 2020",40.17%
"March 2, 2020",33.46%
"Feb. 28, 2020",40.32%
"Feb. 27, 2020",44.98%
"Feb. 26, 2020",36.25%
"Feb. 25, 2020",33.68%
"Feb. 24, 2020",28.56%
"Feb. 21, 2020",23.07%
"Feb. 20, 2020",21.57%
"Feb. 19, 2020",20.60%
"Feb. 18, 2020",21.53%
"Feb. 14, 2020",19.99%
"Feb. 13, 2020",19.81%
"Feb. 12, 2020",19.14%
"Feb. 11, 2020",20.90%
"Feb. 10, 2020",22.05%
"Feb. 7, 2020",20.75%
"Feb. 6, 2020",19.95%
"Feb. 5, 2020",18.84%
"Feb. 4, 2020",24.30%
"Feb. 3, 2020",22.75%
"Jan. 31, 2020",21.76%
"Jan. 30, 2020",18.31%
"Jan. 29, 2020",19.56%
"Jan. 28, 2020",18.97%
"Jan. 27, 2020",18.80%
"Jan. 24, 2020",15.97%
"Jan. 23, 2020",15.19%
"Jan. 22, 2020",14.79%
"Jan. 21, 2020",14.20%
"Jan. 17, 2020",12.56%
"Jan. 16, 2020",12.14%
"Jan. 15, 2020",12.02%
"Jan. 14, 2020",12.09%
"Jan. 13, 2020",11.44%
"Jan. 10, 2020",12.63%
"Jan. 9, 2020",11.66%
"Jan. 8, 2020",12.51%
"Jan. 7, 2020",10.81%
"Jan. 6, 2020",9.91%
"Jan. 3, 2020",10.87%
"Jan. 2, 2020",10.35%
"Dec. 31, 2019",12.12%
"Dec. 30, 2019",12.61%
"Dec. 27, 2019",11.95%
"Dec. 26, 2019",11.56%
"Dec. 24, 2019",11.74%
"Dec. 23, 2019",11.31%
"Dec. 20, 2019",11.87%
"Dec. 19, 2019",12.75%
"Dec. 18, 2019",11.98%
"Dec. 17, 2019",12.28%
"Dec. 16, 2019",11.83%
"Dec. 13, 2019",13.08%
"Dec. 12, 2019",11.29%
"Dec. 11, 2019",13.52%
"Dec. 10, 2019",13.35%
"Dec. 9, 2019",12.38%
"Dec. 6, 2019",12.62%
"Dec. 5, 2019",14.43%
"Dec. 4, 2019",13.27%
"Dec. 3, 2019",14.56%
"Dec. 2, 2019",13.65%
"Nov. 29, 2019",14.14%
"Nov. 27, 2019",13.19%
"Nov. 26, 2019",13.12%
"Nov. 25, 2019",12.50%
"Nov. 22, 2019",11.75%
"Nov. 21, 2019",11.27%
"Nov. 20, 2019",13.95%
"Nov. 19, 2019",14.31%
"Nov. 18, 2019",13.14%
"Nov. 15, 2019",12.04%
"Nov. 14, 2019",13.17%
"Nov. 13, 2019",12.68%
"Nov. 12, 2019",11.75%
"Nov. 11, 2019",10.28%
"Nov. 8, 2019",9.61%
"Nov. 7, 2019",6.24%
"Nov. 6, 2019",8.28%
"Nov. 5, 2019",6.30%
"Nov. 4, 2019",8.41%
"Nov. 1, 2019",11.51%
"Oct. 31, 2019",14.99%
"Oct. 30, 2019",14.73%
"Oct. 29, 2019",13.52%
"Oct. 28, 2019",13.19%
"Oct. 25, 2019",12.20%
"Oct. 24, 2019",12.46%
"Oct. 23, 2019",11.39%
"Oct. 22, 2019",12.46%
"Oct. 21, 2019",13.03%
"Oct. 18, 2019",14.92%
"Oct. 17, 2019",14.34%
"Oct. 16, 2019",14.19%
"Oct. 15, 2019",12.61%
"Oct. 14, 2019",13.00%
"Oct. 11, 2019",13.33%
"Oct. 10, 2019",14.54%
"Oct. 9, 2019",15.92%
"Oct. 8, 2019",18.44%
"Oct. 7, 2019",16.14%
"Oct. 4, 2019",15.17%
"Oct. 3, 2019",16.68%
"Oct. 2, 2019",18.12%
"Oct. 1, 2019",15.04%
"Sept. 30, 2019",12.33%
"Sept. 27, 2019",10.97%
"Sept. 26, 2019",11.76%
"Sept. 25, 2019",11.17%
"Sept. 24, 2019",11.50%
"Sept. 23, 2019",10.19%
"Sept. 20, 2019",10.26%
"Sept. 19, 2019",9.88%
"Sept. 18, 2019",9.14%
"Sept. 17, 2019",8.62%
"Sept. 16, 2019",7.80%
"Sept. 13, 2019",9.59%
"Sept. 12, 2019",10.60%
"Sept. 11, 2019",10.68%
"Sept. 10, 2019",11.49%
"Sept. 9, 2019",12.51%
"Sept. 6, 2019",13.40%
"Sept. 5, 2019",14.47%
"Sept. 4, 2019",17.69%
"Sept. 3, 2019",18.94%
"Aug. 30, 2019",19.08%
"Aug. 29, 2019",19.17%
"Aug. 28, 2019",20.49%
"Aug. 27, 2019",21.37%
"Aug. 26, 2019",19.58%
"Aug. 23, 2019",20.22%
"Aug. 22, 2019",17.41%
"Aug. 21, 2019",17.16%
"Aug. 20, 2019",18.33%
"Aug. 19, 2019",17.32%
"Aug. 16, 2019",19.91%
"Aug. 15, 2019",21.78%
"Aug. 14, 2019",21.13%
"Aug. 13, 2019",16.25%
"Aug. 12, 2019",18.82%
"Aug. 9, 2019",18.58%
"Aug. 8, 2019",16.05%
"Aug. 7, 2019",19.31%
"Aug. 6, 2019",18.81%
"Aug. 5, 2019",19.96%
"Aug. 2, 2019",18.50%
"Aug. 1, 2019",17.63%
"July 31, 2019",14.63%
"July 30, 2019",13.12%
"July 29, 2019",13.14%
"July 26, 2019",13.94%
"July 25, 2019",13.76%
"July 24, 2019",13.11%
"July 23, 2019",13.09%
"July 22, 2019",13.54%
"July 19, 2019",13.80%
"July 18, 2019",14.03%
"July 17, 2019",13.76%
"July 16, 2019",13.09%
"July 15, 2019",11.40%
"July 12, 2019",10.75%
"July 11, 2019",10.83%
"July 10, 2019",11.06%
"July 9, 2019",12.69%
"July 8, 2019",12.96%
"July 5, 2019",13.48%
"July 3, 2019",12.60%
"July 2, 2019",13.68%
"July 1, 2019",12.43%
"June 28, 2019",12.46%
"June 27, 2019",13.66%
"June 26, 2019",12.63%
"June 25, 2019",13.12%
"June 24, 2019",12.12%
"June 21, 2019",11.11%
"June 20, 2019",12.68%
"June 19, 2019",14.54%
"June 18, 2019",13.91%
"June 17, 2019",14.90%
"June 14, 2019",16.38%
"June 13, 2019",16.34%
"June 12, 2019",17.36%
"June 11, 2019",16.09%
"June 10, 2019",15.98%
"June 7, 2019",16.49%
"June 6, 2019",16.92%
"June 5, 2019",19.05%
"June 4, 2019",18.06%
"June 3, 2019",20.87%
"May 31, 2019",22.77%
"May 30, 2019",20.72%
"May 29, 2019",20.40%
"May 28, 2019",19.65%
"May 24, 2019",17.25%
"May 23, 2019",17.74%
"May 22, 2019",14.98%
"May 21, 2019",13.94%
"May 20, 2019",14.47%
"May 17, 2019",14.45%
"May 16, 2019",13.78%
"May 15, 2019",13.83%
"May 14, 2019",14.67%
"May 13, 2019",14.82%
"May 10, 2019",13.70%
"May 9, 2019",13.39%
"May 8, 2019",13.28%
"May 7, 2019",13.46%
"May 6, 2019",13.04%
"May 3, 2019",12.55%
"May 2, 2019",12.81%
"May 1, 2019",10.83%
"April 30, 2019",8.61%
"April 29, 2019",9.03%
"April 26, 2019",8.44%
"April 25, 2019",6.16%
"April 24, 2019",6.76%
"April 23, 2019",4.68%
"April 22, 2019",5.29%
"April 18, 2019",6.71%
"April 17, 2019",6.31%
"April 16, 2019",6.58%
"April 15, 2019",7.20%
"April 12, 2019",6.84%
"April 11, 2019",5.39%
"April 10, 2019",5.89%
"April 9, 2019",5.13%
"April 8, 2019",3.78%
"April 5, 2019",4.42%
"April 4, 2019",4.98%
"April 3, 2019",6.47%
"April 2, 2019",5.84%
"April 1, 2019",5.17%
"March 29, 2019",6.49%
"March 28, 2019",6.57%
"March 27, 2019",7.10%
"March 26, 2019",6.28%
"March 25, 2019",7.67%
"March 22, 2019",6.92%
"March 21, 2019",5.21%
"March 20, 2019",5.81%
"March 19, 2019",6.12%
"March 18, 2019",5.84%
"March 15, 2019",7.07%
"March 14, 2019",6.69%
"March 13, 2019",6.19%
"March 12, 2019",7.13%
"March 11, 2019",7.43%
"March 8, 2019",8.47%
"March 7, 2019",8.33%
"March 6, 2019",8.10%
"March 5, 2019",6.59%
"March 4, 2019",6.43%
"March 1, 2019",6.85%
"Feb. 28, 2019",8.22%
"Feb. 27, 2019",7.62%
"Feb. 26, 2019",8.72%
"Feb. 25, 2019",8.95%
"Feb. 22, 2019",9.06%
"Feb. 21, 2019",9.90%
"Feb. 20, 2019",8.90%
"Feb. 19, 2019",9.24%
"Feb. 15, 2019",9.97%
"Feb. 14, 2019",12.04%
"Feb. 13, 2019",11.30%
"Feb. 12, 2019",12.37%
"Feb. 11, 2019",14.28%
"Feb. 8, 2019",14.34%
"Feb. 7, 2019",13.27%
"Feb. 6, 2019",12.40%
"Feb. 5, 2019",11.91%
"Feb. 4, 2019",13.06%
"Feb. 1, 2019",10.89%
"Jan. 31, 2019",14.89%
"Jan. 30, 2019",16.46%
"Jan. 29, 2019",17.73%
"Jan. 28, 2019",18.18%
"Jan. 25, 2019",17.39%
"Jan. 24, 2019",17.91%
"Jan. 23, 2019",18.08%
"Jan. 22, 2019",17.11%
"Jan. 18, 2019",15.35%
"Jan. 17, 2019",16.92%
"Jan. 16, 2019",18.12%
"Jan. 15, 2019",18.07%
"Jan. 14, 2019",18.13%
"Jan. 11, 2019",18.85%
"Jan. 10, 2019",18.30%
"Jan. 9, 2019",18.03%
"Jan. 8, 2019",19.64%
"Jan. 7, 2019",20.51%
"Jan. 4, 2019",22.61%
"Jan. 3, 2019",27.69%
"Jan. 2, 2019",25.73%
"Dec. 31, 2018",28.49%
"Dec. 28, 2018",28.53%
"Dec. 27, 2018",27.09%
"Dec. 26, 2018",27.65%
"Dec. 24, 2018",33.75%
"Dec. 21, 2018",28.62%
"Dec. 20, 2018",27.67%
"Dec. 19, 2018",23.79%
"Dec. 18, 2018",21.76%
"Dec. 17, 2018",18.92%
"Dec. 14, 2018",16.68%
"Dec. 13, 2018",14.56%
"Dec. 12, 2018",16.64%
"Dec. 11, 2018",15.63%
"Dec. 10, 2018",15.84%
"Dec. 7, 2018",15.43%
"Dec. 6, 2018",14.32%
"Dec. 4, 2018",12.83%
"Dec. 3, 2018",10.34%
"Nov. 30, 2018",12.73%
"Nov. 29, 2018",13.36%
"Nov. 28, 2018",14.66%
"Nov. 27, 2018",16.75%
"Nov. 26, 2018",16.85%
"Nov. 23, 2018",19.16%
"Nov. 21, 2018",15.98%
"Nov. 20, 2018",16.87%
"Nov. 19, 2018",13.55%
"Nov. 16, 2018",14.04%
"Nov. 15, 2018",15.17%
"Nov. 14, 2018",16.36%
"Nov. 13, 2018",16.12%
"Nov. 12, 2018",13.46%
"Nov. 9, 2018",12.00%
"Nov. 8, 2018",10.84%
"Nov. 7, 2018",9.08%
"Nov. 6, 2018",10.47%
"Nov. 5, 2018",11.00%
"Nov. 2, 2018",10.52%
"Nov. 1, 2018",12.27%
"Oct. 31, 2018",13.67%
"Oct. 30, 2018",14.97%
"Oct. 29, 2018",17.55%
"Oct. 26, 2018",16.82%
"Oct. 25, 2018",15.66%
"Oct. 24, 2018",16.69%
"Oct. 23, 2018",13.44%
"Oct. 22, 2018",11.61%
"Oct. 19, 2018",10.41%
"Oct. 18, 2018",10.51%
"Oct. 17, 2018",10.11%
"Oct. 16, 2018",10.51%
"Oct. 15, 2018",11.03%
"Oct. 12, 2018",10.27%
"Oct. 11, 2018",9.97%
"Oct. 10, 2018",6.17%
"Oct. 9, 2018",3.73%
"Oct. 8, 2018",4.19%
"Oct. 5, 2018",5.09%
"Oct. 4, 2018",4.80%
"Oct. 3, 2018",4.10%
"Oct. 2, 2018",3.73%
"Oct. 1, 2018",4.51%
"Sept. 28, 2018",5.49%
"Sept. 27, 2018",4.22%
"Sept. 26, 2018",4.21%
"Sept. 25, 2018",3.38%
"Sept. 24, 2018",3.26%
"Sept. 21, 2018",4.99%
"Sept. 20, 2018",5.42%
"Sept. 19, 2018",5.04%
"Sept. 18, 2018",6.30%
"Sept. 17, 2018",6.58%
"Sept. 14, 2018",7.21%
"Sept. 13, 2018",7.99%
"Sept. 12, 2018",6.93%
"Sept. 11, 2018",7.28%
"Sept. 10, 2018",8.51%
