date,times_interest_earned
"Dec. 31, 2019",25.16
"Sept. 30, 2019",26.79
"June 30, 2019",33.17
"March 31, 2019",38.69
"Dec. 31, 2018",41.41
"Sept. 30, 2018",36.07
"June 30, 2018",35.49
"March 31, 2018",31.34
"Dec. 31, 2017",32.07
"Sept. 30, 2017",27.68
"June 30, 2017",24.00
"March 31, 2017",24.29
"Dec. 31, 2016",18.59
"Sept. 30, 2016",32.38
"June 30, 2016",44.11
"March 31, 2016",57.87
"Dec. 31, 2015",71.63
"Sept. 30, 2015",89.34
"June 30, 2015",109.94
"March 31, 2015",140.73
"Dec. 31, 2014",181.52
"Sept. 30, 2014",872.27
"June 30, 2014",1943.77
"March 31, 2014",1116.69
"Dec. 31, 2013",6413.33
"Sept. 30, 2013",224.14
"June 30, 2013",229.77
"March 31, 2013",317.59
"Dec. 31, 2012",241.75
"Sept. 30, 2012",269.27
"June 30, 2012",241.69
"March 31, 2012",222.09
"Dec. 31, 2011",297.59
"Sept. 30, 2011",254.70
"June 30, 2011",277.14
"March 31, 2011",257.69
"Dec. 31, 2010",205.47
"Sept. 30, 2010",259.58
"June 30, 2010",229.93
"March 31, 2010",79.62
"Dec. 31, 2009",64.46
"Sept. 30, 2009",61.90
"June 30, 2009",64.05
"March 31, 2009",109.88
"Dec. 31, 2008",124.92
"Sept. 30, 2008",121.12
"June 30, 2008",275.52
"March 31, 2008",469.02
