date,eps_est_0q
"March 20, 2020",0.3654
"March 19, 2020",0.3761
"March 17, 2020",0.3838
"March 16, 2020",0.4145
"March 13, 2020",0.4293
"March 12, 2020",0.4404
"March 11, 2020",0.4756
"March 9, 2020",0.4889
"March 6, 2020",0.5581
"March 5, 2020",0.5895
"March 4, 2020",0.6051
"March 2, 2020",0.6186
"Feb. 28, 2020",0.5878
"Feb. 25, 2020",0.5991
"Feb. 24, 2020",0.5989
"Feb. 21, 2020",0.6108
"Feb. 14, 2020",0.6229
"Feb. 12, 2020",0.6181
"Feb. 10, 2020",0.6119
"Feb. 3, 2020",0.6062
"Feb. 2, 2020",0.6353
"Feb. 1, 2020",0.635
"Jan. 31, 2020",0.612
"Jan. 30, 2020",0.7736
"Jan. 29, 2020",0.7903
"Jan. 27, 2020",0.8145
"Jan. 24, 2020",0.8253
"Jan. 23, 2020",0.8146
"Jan. 22, 2020",0.7982
"Jan. 17, 2020",0.795
"Jan. 15, 2020",0.7951
"Jan. 14, 2020",0.7874
"Jan. 10, 2020",0.7862
"Jan. 6, 2020",0.7958
"Jan. 3, 2020",0.7716
"Dec. 31, 2019",0.4534
"Dec. 19, 2019",0.7347
"Dec. 17, 2019",0.7255
"Dec. 12, 2019",0.7294
"Dec. 10, 2019",0.7299
"Dec. 9, 2019",0.7299
"Dec. 6, 2019",0.7352
"Dec. 2, 2019",0.7295
"Nov. 29, 2019",0.7238
"Nov. 26, 2019",0.7238
"Nov. 25, 2019",0.7195
"Nov. 20, 2019",0.7196
"Nov. 15, 2019",0.7267
"Nov. 7, 2019",0.7303
"Nov. 6, 2019",0.7259
"Nov. 4, 2019",0.7271
"Nov. 3, 2019",0.7044
"Nov. 1, 2019",0.705
"Oct. 21, 2019",0.7774
"Oct. 17, 2019",0.7776
"Oct. 16, 2019",0.8178
"Oct. 15, 2019",0.8387
"Oct. 14, 2019",0.8972
"Oct. 11, 2019",0.9239
"Oct. 9, 2019",0.9416
"Oct. 8, 2019",0.9419
"Oct. 4, 2019",0.9673
"Oct. 3, 2019",0.9861
"Oct. 2, 2019",0.9722
"Oct. 1, 2019",0.9736
"Sept. 30, 2019",0.663
"Sept. 27, 2019",0.8908
"Sept. 18, 2019",0.8906
"Sept. 11, 2019",0.8906
"Sept. 10, 2019",0.9013
"Sept. 9, 2019",0.9083
"Sept. 3, 2019",0.9211
"Aug. 27, 2019",0.9447
"Aug. 23, 2019",0.949
"Aug. 22, 2019",0.9633
"Aug. 21, 2019",0.9631
"Aug. 20, 2019",0.9631
"Aug. 19, 2019",0.9825
"Aug. 13, 2019",0.9773
"Aug. 8, 2019",0.9684
"Aug. 5, 2019",0.9778
"Aug. 3, 2019",0.9662
"Aug. 2, 2019",0.9796
"July 29, 2019",1.084
"July 23, 2019",1.099
"July 19, 2019",1.102
"July 17, 2019",1.127
"July 16, 2019",1.127
"July 15, 2019",1.127
"July 12, 2019",1.149
"July 11, 2019",1.16
"July 10, 2019",1.173
"July 9, 2019",1.194
"July 5, 2019",1.187
"July 2, 2019",1.214
"July 1, 2019",1.214
"June 30, 2019",0.706
"June 27, 2019",0.9942
"June 19, 2019",0.9967
"June 17, 2019",1.002
"June 14, 2019",1.008
"June 7, 2019",0.9894
"May 23, 2019",0.9909
"May 17, 2019",0.984
"May 8, 2019",0.9748
"May 7, 2019",0.9945
"May 3, 2019",1.023
"April 30, 2019",1.022
"April 29, 2019",0.9992
"April 26, 2019",0.9435
"April 25, 2019",1.075
"April 24, 2019",1.075
