date,revenues_per_share
"Dec. 31, 2019",14.76
"Sept. 30, 2019",14.85
"June 30, 2019",15.80
"March 31, 2019",14.44
"Dec. 31, 2018",16.00
"Sept. 30, 2018",17.37
"June 30, 2018",16.73
"March 31, 2018",15.32
"Dec. 31, 2017",15.30
"Sept. 30, 2017",13.90
"June 30, 2017",13.12
"March 31, 2017",13.37
"Dec. 31, 2016",9.678
"Sept. 30, 2016",13.59
"June 30, 2016",13.49
"March 31, 2016",11.27
"Dec. 31, 2015",9.102
"Sept. 30, 2015",15.68
"June 30, 2015",16.99
"March 31, 2015",15.38
"Dec. 31, 2014",19.79
"Sept. 30, 2014",24.19
"June 30, 2014",24.60
"March 31, 2014",23.41
"Dec. 31, 2013",24.30
"Sept. 30, 2013",24.66
"June 30, 2013",23.25
"March 31, 2013",23.05
"Dec. 31, 2012",24.04
"Sept. 30, 2012",24.14
"June 30, 2012",24.22
"March 31, 2012",25.28
"Dec. 31, 2011",23.77
"Sept. 30, 2011",25.07
"June 30, 2011",24.79
"March 31, 2011",22.16
"Dec. 31, 2010",19.72
"Sept. 30, 2010",18.25
"June 30, 2010",19.08
"March 31, 2010",18.52
"Dec. 31, 2009",18.37
"Sept. 30, 2009",16.78
"June 30, 2009",15.29
"March 31, 2009",12.91
"Dec. 31, 2008",16.25
"Sept. 30, 2008",25.93
"June 30, 2008",25.44
"March 31, 2008",21.72
"Dec. 31, 2007",19.41
"Sept. 30, 2007",18.49
"June 30, 2007",17.50
"March 31, 2007",15.23
"Dec. 31, 2006",15.49
"Sept. 30, 2006",16.80
"June 30, 2006",16.44
"March 31, 2006",14.51
"Dec. 31, 2005",15.91
"Sept. 30, 2005",16.04
"June 30, 2005",13.91
"March 31, 2005",12.74
"Dec. 31, 2004",12.91
"Sept. 30, 2004",11.83
"June 30, 2004",10.74
"March 31, 2004",10.31
"Dec. 31, 2003",10.05
"Sept. 30, 2003",9.017
"June 30, 2003",8.499
"March 31, 2003",9.513
"Dec. 31, 2002",8.218
"Sept. 30, 2002",7.992
"June 30, 2002",7.505
"March 31, 2002",6.229
"Dec. 31, 2001",6.845
"Sept. 30, 2001",8.165
"June 30, 2001",8.188
"March 31, 2001",8.194
"Dec. 31, 2000",11.77
"Sept. 30, 2000",7.437
"June 30, 2000",6.990
"March 31, 2000",6.796
"Dec. 31, 1999",9.646
"Sept. 30, 1999",8.879
"June 30, 1999",7.750
"March 31, 1999",6.961
"Dec. 31, 1998",18.29
"Sept. 30, 1998",5.078
"June 30, 1998",5.056
"March 31, 1998",6.256
"Dec. 31, 1997",17.23
"Sept. 30, 1997",5.769
"June 30, 1997",5.693
"March 31, 1997",5.843
"Dec. 31, 1996",6.449
"Sept. 30, 1996",5.780
"June 30, 1996",5.524
"March 31, 1996",5.404
"Dec. 31, 1995",5.362
"Sept. 30, 1995",5.405
"June 30, 1995",5.552
"March 31, 1995",5.273
"Dec. 31, 1994",5.26
"Sept. 30, 1994",5.187
"June 30, 1994",4.794
"March 31, 1994",4.537
"Dec. 31, 1993",5.002
"Sept. 30, 1993",4.945
"June 30, 1993",4.900
"March 31, 1993",4.787
"Dec. 31, 1992",5.526
"Sept. 30, 1992",5.400
"June 30, 1992",4.884
"March 31, 1992",4.895
"Dec. 31, 1991",5.705
"Sept. 30, 1991",4.782
"June 30, 1991",4.850
"March 31, 1991",5.411
"Dec. 31, 1990",6.600
"Sept. 30, 1990",5.217
"June 30, 1990",4.689
"March 31, 1990",4.807
"Dec. 31, 1989",4.508
"Sept. 30, 1989",4.211
"June 30, 1989",4.634
"March 31, 1989",4.315
"Dec. 31, 1988",3.778
"Sept. 30, 1988",3.774
"June 30, 1988",3.674
"March 31, 1988",3.762
"Dec. 31, 1987",3.707
"Sept. 30, 1987",3.435
"June 30, 1987",3.259
"March 31, 1987",3.117
"Dec. 31, 1986",3.051
"Sept. 30, 1986",2.695
"June 30, 1986",2.836
"March 31, 1986",3.483
"Dec. 31, 1985",3.883
"Sept. 30, 1985",3.466
"June 30, 1985",3.489
"March 31, 1985",3.456
"Dec. 31, 1984",3.651
"Sept. 30, 1984",3.506
"June 30, 1984",3.636
"March 31, 1984",3.711
