date,operating_margin_ttm
"Dec. 31, 2019",4.99%
"Sept. 30, 2019",5.80%
"June 30, 2019",6.85%
"March 31, 2019",7.25%
"Dec. 31, 2018",7.92%
"Sept. 30, 2018",7.08%
"June 30, 2018",6.43%
"March 31, 2018",5.93%
"Dec. 31, 2017",5.83%
"Sept. 30, 2017",5.35%
"June 30, 2017",3.98%
"March 31, 2017",3.24%
"Dec. 31, 2016",1.38%
"Sept. 30, 2016",1.68%
"June 30, 2016",2.93%
"March 31, 2016",4.15%
"Dec. 31, 2015",5.37%
"Sept. 30, 2015",6.24%
"June 30, 2015",7.19%
"March 31, 2015",7.74%
"Dec. 31, 2014",8.65%
"Sept. 30, 2014",9.20%
"June 30, 2014",9.25%
"March 31, 2014",9.43%
"Dec. 31, 2013",9.58%
"Sept. 30, 2013",10.11%
"June 30, 2013",10.74%
"March 31, 2013",11.05%
"Dec. 31, 2012",11.03%
"Sept. 30, 2012",10.25%
"June 30, 2012",10.37%
"March 31, 2012",12.68%
"Dec. 31, 2011",13.43%
"Sept. 30, 2011",13.94%
"June 30, 2011",13.84%
"March 31, 2011",11.63%
"Dec. 31, 2010",10.84%
"Sept. 30, 2010",10.71%
"June 30, 2010",10.26%
"March 31, 2010",9.95%
"Dec. 31, 2009",10.19%
"Sept. 30, 2009",11.57%
"June 30, 2009",14.47%
"March 31, 2009",15.77%
"Dec. 31, 2008",16.69%
"Sept. 30, 2008",11.15%
"June 30, 2008",12.13%
"March 31, 2008",12.24%
"Dec. 31, 2007",13.94%
"Sept. 30, 2007",23.74%
"June 30, 2007",24.30%
"March 31, 2007",26.53%
"Dec. 31, 2006",24.32%
"Sept. 30, 2006",16.63%
"June 30, 2006",16.05%
"March 31, 2006",14.89%
"Dec. 31, 2005",16.38%
"Sept. 30, 2005",16.67%
"June 30, 2005",15.71%
"March 31, 2005",15.16%
"Dec. 31, 2004",14.31%
"Sept. 30, 2004",23.09%
"June 30, 2004",22.55%
"March 31, 2004",22.42%
"Dec. 31, 2003",22.99%
"Sept. 30, 2003",22.21%
"June 30, 2003",22.12%
"March 31, 2003",21.52%
"Dec. 31, 2002",19.84%
"Sept. 30, 2002",20.01%
"June 30, 2002",22.15%
"March 31, 2002",22.74%
"Dec. 31, 2001",23.87%
"Sept. 30, 2001",29.99%
"June 30, 2001",26.86%
"March 31, 2001",25.00%
"Dec. 31, 2000",22.28%
"Sept. 30, 2000",8.65%
"June 30, 2000",7.81%
"March 31, 2000",6.59%
"Dec. 31, 1999",5.26%
"Sept. 30, 1999",5.79%
"June 30, 1999",5.20%
"March 31, 1999",4.96%
"Dec. 31, 1998",5.62%
"Sept. 30, 1998",8.49%
"June 30, 1998",8.92%
"March 31, 1998",9.36%
"Dec. 31, 1997",9.61%
"Sept. 30, 1997",9.83%
"June 30, 1997",9.58%
"March 31, 1997",9.18%
"Dec. 31, 1996",8.62%
"Sept. 30, 1996",8.34%
"June 30, 1996",8.53%
"March 31, 1996",8.61%
"Dec. 31, 1995",8.53%
"Sept. 30, 1995",8.36%
"June 30, 1995",7.93%
"March 31, 1995",7.24%
"Dec. 31, 1994",7.06%
"Sept. 30, 1994",7.26%
"June 30, 1994",7.29%
"March 31, 1994",7.57%
"Dec. 31, 1993",7.47%
"Sept. 30, 1993",6.87%
"June 30, 1993",6.97%
"March 31, 1993",6.63%
"Dec. 31, 1992",6.67%
"Sept. 30, 1992",6.38%
"June 30, 1992",6.14%
"March 31, 1992",6.57%
"Dec. 31, 1991",7.85%
"Sept. 30, 1991",8.42%
"June 30, 1991",8.59%
"March 31, 1991",8.80%
"Dec. 31, 1990",8.16%
"Sept. 30, 1990",8.23%
"June 30, 1990",8.70%
"March 31, 1990",32.13%
"Dec. 31, 1989",54.74%
"Sept. 30, 1989",-4.55%
"June 30, 1989",16.23%
"March 31, 1989",12.44%
"Dec. 31, 1988",10.42%
"Sept. 30, 1988",13.81%
"June 30, 1988",13.65%
"March 31, 1988",12.19%
"Dec. 31, 1987",9.17%
"Sept. 30, 1987",15.59%
"June 30, 1987",10.69%
"March 31, 1987",7.82%
"Dec. 31, 1986",11.23%
"Sept. 30, 1986",-1.97%
"June 30, 1986",4.74%
"March 31, 1986",10.36%
"Dec. 31, 1985",11.68%
"Sept. 30, 1985",6.65%
"June 30, 1985",7.82%
"March 31, 1985",9.18%
"Dec. 31, 1984",10.78%
