date,ni_per_employee_annual
"Dec. 31, 2019",196573.0
"Dec. 31, 2018",293108.3
"Dec. 31, 2017",273940.2
"Dec. 31, 2016",107250.3
"Dec. 31, 2015",217069.9
"Dec. 31, 2014",432734.5
"Dec. 31, 2013",428966.4
"Dec. 31, 2012",510000.0
"Dec. 31, 2011",404931.0
"Dec. 31, 2010",295155.0
"Dec. 31, 2009",211172.0
"Dec. 31, 2008",562787.8
"Dec. 31, 2007",498588.1
"Dec. 31, 2006",419766.2
"Dec. 31, 2005",376354.2
"Dec. 31, 2004",290815.2
"Dec. 31, 2003",237942.5
"Dec. 31, 2002",120378.2
"Dec. 31, 2001",155139.2
"Dec. 31, 2000",171622.3
"Dec. 31, 1999",85099.52
"Dec. 31, 1998",101559.7
"Dec. 31, 1997",147572.3
"Dec. 31, 1996",93291.93
"Dec. 31, 1995",77023.81
"Dec. 31, 1994",57627.12
"Dec. 31, 1993",56774.19
"Dec. 31, 1992",48673.47
"Dec. 31, 1991",55172.41
"Dec. 31, 1990",49603.96
