date,return_on_invested_capital
"Dec. 31, 2019",5.95%
"Sept. 30, 2019",6.11%
"June 30, 2019",7.45%
"March 31, 2019",7.85%
"Dec. 31, 2018",8.85%
"Sept. 30, 2018",9.90%
"June 30, 2018",9.00%
"March 31, 2018",8.80%
"Dec. 31, 2017",8.68%
"Sept. 30, 2017",5.79%
"June 30, 2017",5.24%
"March 31, 2017",4.53%
"Dec. 31, 2016",3.58%
"Sept. 30, 2016",4.10%
"June 30, 2016",4.87%
"March 31, 2016",6.08%
"Dec. 31, 2015",7.63%
"Sept. 30, 2015",9.47%
"June 30, 2015",11.30%
"March 31, 2015",13.59%
"Dec. 31, 2014",15.69%
"Sept. 30, 2014",16.76%
"June 30, 2014",16.97%
"March 31, 2014",16.40%
"Dec. 31, 2013",16.97%
"Sept. 30, 2013",18.15%
"June 30, 2013",19.32%
"March 31, 2013",24.49%
"Dec. 31, 2012",24.70%
"Sept. 30, 2012",24.50%
"June 30, 2012",25.10%
"March 31, 2012",22.44%
"Dec. 31, 2011",23.44%
"Sept. 30, 2011",23.58%
"June 30, 2011",22.20%
"March 31, 2011",21.68%
"Dec. 31, 2010",20.19%
"Sept. 30, 2010",19.24%
"June 30, 2010",18.67%
"March 31, 2010",17.10%
"Dec. 31, 2009",15.68%
"Sept. 30, 2009",16.83%
"June 30, 2009",24.41%
"March 31, 2009",29.88%
"Dec. 31, 2008",33.96%
"Sept. 30, 2008",36.81%
"June 30, 2008",33.26%
"March 31, 2008",32.76%
"Dec. 31, 2007",32.07%
"Sept. 30, 2007",31.47%
"June 30, 2007",32.52%
"March 31, 2007",32.85%
"Dec. 31, 2006",32.33%
"Sept. 30, 2006",33.01%
"June 30, 2006",33.17%
"March 31, 2006",31.52%
"Dec. 31, 2005",31.40%
"Sept. 30, 2005",30.13%
"June 30, 2005",26.98%
"March 31, 2005",25.86%
"Dec. 31, 2004",24.01%
"Sept. 30, 2004",23.24%
"June 30, 2004",21.79%
"March 31, 2004",20.70%
"Dec. 31, 2003",23.02%
"Sept. 30, 2003",21.05%
"June 30, 2003",20.24%
"March 31, 2003",18.94%
"Dec. 31, 2002",13.42%
"Sept. 30, 2002",11.86%
"June 30, 2002",12.54%
"March 31, 2002",14.75%
"Dec. 31, 2001",18.01%
"Sept. 30, 2001",21.08%
"June 30, 2001",22.81%
"March 31, 2001",23.12%
"Dec. 31, 2000",21.22%
"Sept. 30, 2000",19.30%
"June 30, 2000",17.69%
"March 31, 2000",15.35%
"Dec. 31, 1999",12.15%
"Sept. 30, 1999",15.14%
"June 30, 1999",13.80%
"March 31, 1999",13.16%
"Dec. 31, 1998",13.53%
"Sept. 30, 1998",19.73%
"June 30, 1998",20.49%
"March 31, 1998",21.08%
"Dec. 31, 1997",21.61%
"Sept. 30, 1997",15.83%
"June 30, 1997",15.46%
"March 31, 1997",14.84%
"Dec. 31, 1996",14.34%
"Sept. 30, 1996",12.99%
"June 30, 1996",12.86%
"March 31, 1996",12.95%
"Dec. 31, 1995",12.46%
"Sept. 30, 1995",13.03%
"June 30, 1995",12.47%
"March 31, 1995",11.18%
"Dec. 31, 1994",10.27%
"Sept. 30, 1994",9.64%
"June 30, 1994",10.13%
"March 31, 1994",10.91%
"Dec. 31, 1993",10.86%
"Sept. 30, 1993",10.58%
"June 30, 1993",10.08%
"March 31, 1993",9.55%
"Dec. 31, 1992",9.74%
"Sept. 30, 1992",9.46%
"June 30, 1992",9.55%
"March 31, 1992",10.02%
"Dec. 31, 1991",11.77%
"Sept. 30, 1991",12.88%
"June 30, 1991",12.81%
"March 31, 1991",12.68%
"Dec. 31, 1990",10.50%
"Sept. 30, 1990",9.42%
"June 30, 1990",9.50%
"March 31, 1990",7.46%
"Dec. 31, 1989",7.71%
