date,cash_dividend_payout_ratio
"Dec. 31, 2019",273.6%
"Sept. 30, 2019",175.6%
"June 30, 2019",125.6%
"March 31, 2019",97.24%
"Dec. 31, 2018",83.93%
"Sept. 30, 2018",80.69%
"June 30, 2018",98.64%
"March 31, 2018",90.43%
"Dec. 31, 2017",88.66%
"Sept. 30, 2017",84.16%
"June 30, 2017",86.96%
"March 31, 2017",114.0%
"Dec. 31, 2016",210.4%
"Sept. 30, 2016",1.89K%
"June 30, 2016",833.4%
"March 31, 2016",420.3%
"Dec. 31, 2015",313.7%
"Sept. 30, 2015",288.8%
"June 30, 2015",212.8%
"March 31, 2015",211.9%
"Dec. 31, 2014",95.10%
"Sept. 30, 2014",73.92%
"June 30, 2014",72.14%
"March 31, 2014",85.48%
"Dec. 31, 2013",96.71%
"Sept. 30, 2013",84.85%
"June 30, 2013",77.07%
"March 31, 2013",63.02%
"Dec. 31, 2012",46.08%
"Sept. 30, 2012",46.75%
"June 30, 2012",41.23%
"March 31, 2012",34.81%
"Dec. 31, 2011",37.01%
"Sept. 30, 2011",32.51%
"June 30, 2011",35.01%
"March 31, 2011",36.16%
"Dec. 31, 2010",39.45%
"Sept. 30, 2010",46.25%
"June 30, 2010",49.64%
"March 31, 2010",89.20%
"Dec. 31, 2009",134.9%
"Sept. 30, 2009",85.95%
"June 30, 2009",52.45%
"March 31, 2009",29.61%
"Dec. 31, 2008",19.94%
"Sept. 30, 2008",18.90%
"June 30, 2008",18.29%
"March 31, 2008",18.15%
"Dec. 31, 2007",20.81%
"Sept. 30, 2007",22.61%
"June 30, 2007",22.72%
"March 31, 2007",22.68%
"Dec. 31, 2006",23.26%
"Sept. 30, 2006",21.44%
"June 30, 2006",20.63%
"March 31, 2006",21.79%
"Dec. 31, 2005",21.80%
"Sept. 30, 2005",20.14%
"June 30, 2005",23.55%
"March 31, 2005",22.92%
"Dec. 31, 2004",24.89%
"Sept. 30, 2004",30.72%
"June 30, 2004",36.63%
"March 31, 2004",40.89%
"Dec. 31, 2003",44.41%
"Sept. 30, 2003",47.98%
"June 30, 2003",41.61%
"March 31, 2003",47.73%
"Dec. 31, 2002",64.96%
"Sept. 30, 2002",77.43%
"June 30, 2002",100.2%
"March 31, 2002",77.22%
"Dec. 31, 2001",49.98%
"Sept. 30, 2001",40.00%
"June 30, 2001",38.00%
"March 31, 2001",36.43%
"Dec. 31, 2000",43.99%
"Sept. 30, 2000",50.26%
"June 30, 2000",56.65%
"March 31, 2000",82.46%
"Dec. 31, 1999",146.3%
"Sept. 30, 1999",280.2%
"June 30, 1999",306.7%
"March 31, 1999",242.1%
"Dec. 31, 1998",168.1%
"Sept. 30, 1998",90.58%
"June 30, 1998",82.60%
"March 31, 1998",75.95%
"Dec. 31, 1997",63.10%
"Sept. 30, 1997",57.05%
"June 30, 1997",63.10%
"March 31, 1997",66.86%
"Dec. 31, 1996",70.44%
"Sept. 30, 1996",65.18%
"June 30, 1996",56.72%
"March 31, 1996",54.08%
"Dec. 31, 1995",60.23%
"Sept. 30, 1995",65.22%
"June 30, 1995",78.98%
"March 31, 1995",100.8%
"Dec. 31, 1994",127.2%
"Sept. 30, 1994",120.1%
"June 30, 1994",106.3%
"March 31, 1994",91.64%
"Dec. 31, 1993",85.31%
"Sept. 30, 1993",91.21%
"June 30, 1993",107.5%
"March 31, 1993",137.6%
"Dec. 31, 1992",160.6%
"Sept. 30, 1992",169.9%
"June 30, 1992",156.5%
"March 31, 1992",112.0%
"Dec. 31, 1991",100.7%
"Sept. 30, 1991",70.46%
"June 30, 1991",80.92%
"March 31, 1991",71.63%
"Dec. 31, 1990",82.89%
