date,beneish_m_score
"Dec. 31, 2019",-2.490
"Dec. 31, 2018",-2.786
"Dec. 31, 2017",-2.496
"Dec. 31, 2016",-2.445
"Dec. 31, 2015",-3.131
"Dec. 31, 2014",-2.948
"Dec. 31, 2013",-2.829
"Dec. 31, 2012",-2.732
"Dec. 31, 2011",-2.760
"Dec. 31, 2010",-3.472
"Dec. 31, 2009",-3.857
"Dec. 31, 2008",-3.863
"Dec. 31, 2007",
"Dec. 31, 2006",-2.779
"Dec. 31, 2005",-2.605
"Dec. 31, 2004",-2.735
"Dec. 31, 2003",-2.496
"Dec. 31, 2002",-2.689
"Dec. 31, 2001",-2.892
"Dec. 31, 2000",-2.435
"Dec. 31, 1999",-2.494
"Dec. 31, 1998",-2.187
"Dec. 31, 1997",-3.517
"Dec. 31, 1996",-3.545
"Dec. 31, 1995",-3.681
"Dec. 31, 1994",-3.632
"Dec. 31, 1993",-3.744
"Dec. 31, 1992",-3.625
"Dec. 31, 1991",-3.684
"Dec. 31, 1990",-3.468
