date,capex_ttm
"Dec. 31, 2019",24.36B
"Sept. 30, 2019",23.75B
"June 30, 2019",22.67B
"March 31, 2019",21.42B
"Dec. 31, 2018",19.57B
"Sept. 30, 2018",17.98B
"June 30, 2018",17.69B
"March 31, 2018",15.86B
"Dec. 31, 2017",15.40B
"Sept. 30, 2017",14.79B
"June 30, 2017",13.28B
"March 31, 2017",14.45B
"Dec. 31, 2016",16.16B
"Sept. 30, 2016",18.41B
"June 30, 2016",21.41B
"March 31, 2016",24.25B
"Dec. 31, 2015",26.49B
"Sept. 30, 2015",29.24B
"June 30, 2015",31.04B
"March 31, 2015",32.47B
"Dec. 31, 2014",32.95B
"Sept. 30, 2014",32.49B
"June 30, 2014",33.39B
"March 31, 2014",33.50B
"Dec. 31, 2013",33.67B
"Sept. 30, 2013",35.30B
"June 30, 2013",34.23B
"March 31, 2013",33.92B
"Dec. 31, 2012",34.27B
"Sept. 30, 2012",32.85B
"June 30, 2012",32.30B
"March 31, 2012",31.77B
"Dec. 31, 2011",30.98B
"Sept. 30, 2011",30.01B
"June 30, 2011",30.33B
"March 31, 2011",28.17B
"Dec. 31, 2010",26.87B
"Sept. 30, 2010",25.96B
"June 30, 2010",23.65B
"March 31, 2010",23.57B
"Dec. 31, 2009",22.49B
"Sept. 30, 2009",21.05B
"June 30, 2009",20.70B
"March 31, 2009",20.01B
"Dec. 31, 2008",19.32B
"Sept. 30, 2008",18.55B
"June 30, 2008",17.35B
"March 31, 2008",16.26B
"Dec. 31, 2007",15.39B
"Sept. 30, 2007",14.99B
"June 30, 2007",14.77B
"March 31, 2007",14.84B
"Dec. 31, 2006",15.46B
"Sept. 30, 2006",15.20B
"June 30, 2006",14.98B
"March 31, 2006",14.86B
"Dec. 31, 2005",13.84B
"Sept. 30, 2005",13.35B
"June 30, 2005",12.69B
"March 31, 2005",11.89B
"Dec. 31, 2004",11.99B
"Sept. 30, 2004",12.13B
"June 30, 2004",12.37B
"March 31, 2004",12.73B
"Dec. 31, 2003",12.86B
"Sept. 30, 2003",12.60B
"June 30, 2003",12.41B
"March 31, 2003",11.95B
"Dec. 31, 2002",11.44B
"Sept. 30, 2002",11.27B
"June 30, 2002",10.88B
"March 31, 2002",10.39B
"Dec. 31, 2001",9.989B
"Sept. 30, 2001",9.473B
"June 30, 2001",9.015B
"March 31, 2001",8.705B
"Dec. 31, 2000",8.446B
"Sept. 30, 2000",8.471B
"June 30, 2000",8.919B
"March 31, 2000",9.961B
"Dec. 31, 1999",10.85B
"Sept. 30, 1999",15.11B
"June 30, 1999",14.78B
"March 31, 1999",13.71B
"Dec. 31, 1998",12.73B
"Sept. 30, 1998",12.19B
"June 30, 1998",12.01B
"March 31, 1998",11.85B
"Dec. 31, 1997",11.65B
"Sept. 30, 1997",7.408B
"June 30, 1997",7.281B
"March 31, 1997",7.277B
"Dec. 31, 1996",7.209B
"Sept. 30, 1996",7.404B
"June 30, 1996",7.341B
"March 31, 1996",7.142B
"Dec. 31, 1995",7.128B
"Sept. 30, 1995",6.822B
"June 30, 1995",6.691B
"March 31, 1995",6.714B
"Dec. 31, 1994",6.643B
"Sept. 30, 1994",6.761B
"June 30, 1994",6.828B
"March 31, 1994",6.986B
"Dec. 31, 1993",6.956B
"Sept. 30, 1993",6.993B
"June 30, 1993",7.052B
"March 31, 1993",6.915B
"Dec. 31, 1992",7.225B
"Sept. 30, 1992",7.412B
"June 30, 1992",7.464B
"March 31, 1992",7.419B
"Dec. 31, 1991",7.324B
"Sept. 30, 1991",7.116B
"June 30, 1991",6.908B
"March 31, 1991",6.765B
"Dec. 31, 1990",6.548B
"Sept. 30, 1990",4.417B
"June 30, 1990",2.799B
"March 31, 1990",1.296B
