date,total_employee_number
"Dec. 31, 2019",74900
"Dec. 31, 2018",71000
"Dec. 31, 2017",71200
"Dec. 31, 2016",72700
"Dec. 31, 2015",73500
"Dec. 31, 2014",75300
"Dec. 31, 2013",75000
"Dec. 31, 2012",76900
"Dec. 31, 2011",99100
"Dec. 31, 2010",103700
"Dec. 31, 2009",102700
"Dec. 31, 2008",79900
"Dec. 31, 2007",80800
"Dec. 31, 2006",82100
"Dec. 31, 2005",106100
"Dec. 31, 2004",85900
"Dec. 31, 2003",88300
"Dec. 31, 2002",92500
"Dec. 31, 2001",97900
"Dec. 31, 2000",99600
"Dec. 31, 1999",106900
"Dec. 31, 1998",79000
"Dec. 31, 1997",80000
"Dec. 31, 1996",79000
"Dec. 31, 1995",82000
"Dec. 31, 1994",86000
"Dec. 31, 1993",91000
"Dec. 31, 1992",95000
"Dec. 31, 1991",101000
"Dec. 31, 1990",102000
"Dec. 31, 1989",100000
