date,eps_ttm
"Dec. 31, 2019",3.36
"Sept. 30, 2019",3.44
"June 30, 2019",4.15
"March 31, 2019",4.34
"Dec. 31, 2018",4.88
"Sept. 30, 2018",5.44
"June 30, 2018",4.91
"March 31, 2018",4.77
"Dec. 31, 2017",4.63
"Sept. 30, 2017",3.07
"June 30, 2017",2.77
"March 31, 2017",2.40
"Dec. 31, 2016",1.88
"Sept. 30, 2016",2.14
"June 30, 2016",2.52
"March 31, 2016",3.11
"Dec. 31, 2015",3.85
"Sept. 30, 2015",4.74
"June 30, 2015",5.62
"March 31, 2015",6.67
"Dec. 31, 2014",7.60
"Sept. 30, 2014",7.95
"June 30, 2014",7.85
"March 31, 2014",7.35
"Dec. 31, 2013",7.37
"Sept. 30, 2013",7.66
"June 30, 2013",7.96
"March 31, 2013",9.82
"Dec. 31, 2012",9.70
"Sept. 30, 2012",9.47
"June 30, 2012",9.51
"March 31, 2012",8.28
"Dec. 31, 2011",8.42
"Sept. 30, 2011",8.30
"June 30, 2011",7.61
"March 31, 2011",7.03
"Dec. 31, 2010",6.22
"Sept. 30, 2010",5.64
"June 30, 2010",5.18
"March 31, 2010",4.39
"Dec. 31, 2009",3.98
"Sept. 30, 2009",4.28
"June 30, 2009",6.15
"March 31, 2009",7.56
"Dec. 31, 2008",8.66
"Sept. 30, 2008",9.19
"June 30, 2008",8.04
"March 31, 2008",7.65
"Dec. 31, 2007",7.25
"Sept. 30, 2007",6.91
"June 30, 2007",6.98
"March 31, 2007",6.87
"Dec. 31, 2006",6.62
"Sept. 30, 2006",6.57
"June 30, 2006",6.38
"March 31, 2006",5.86
"Dec. 31, 2005",5.71
"Sept. 30, 2005",5.30
"June 30, 2005",4.60
"March 31, 2005",4.28
"Dec. 31, 2004",3.89
"Sept. 30, 2004",3.60
"June 30, 2004",3.27
"March 31, 2004",3.01
"Dec. 31, 2003",3.23
"Sept. 30, 2003",2.82
"June 30, 2003",2.66
"March 31, 2003",2.43
"Dec. 31, 2002",1.68
"Sept. 30, 2002",1.47
"June 30, 2002",1.54
"March 31, 2002",1.80
"Dec. 31, 2001",2.215
"Sept. 30, 2001",2.57
"June 30, 2001",2.75
"March 31, 2001",2.74
"Dec. 31, 2000",2.52
"Sept. 30, 2000",2.098
"June 30, 2000",1.768
"March 31, 2000",1.408
"Dec. 31, 1999",1.123
"Sept. 30, 1999",0.96
"June 30, 1999",0.94
"March 31, 1999",0.985
"Dec. 31, 1998",1.155
"Sept. 30, 1998",1.495
"June 30, 1998",1.57
"March 31, 1998",1.635
"Dec. 31, 1997",1.685
"Sept. 30, 1997",1.685
"June 30, 1997",1.63
"March 31, 1997",1.55
"Dec. 31, 1996",1.495
"Sept. 30, 1996",1.33
"June 30, 1996",1.32
"March 31, 1996",1.335
"Dec. 31, 1995",1.295
"Sept. 30, 1995",1.342
"June 30, 1995",1.272
"March 31, 1995",1.122
"Dec. 31, 1994",1.018
"Sept. 30, 1994",0.925
"June 30, 1994",0.97
"March 31, 1994",1.04
"Dec. 31, 1993",1.045
"Sept. 30, 1993",1.015
"June 30, 1993",0.965
"March 31, 1993",0.91
"Dec. 31, 1992",0.945
"Sept. 30, 1992",0.91
"June 30, 1992",0.905
"March 31, 1992",0.94
"Dec. 31, 1991",1.115
"Sept. 30, 1991",1.195
"June 30, 1991",1.19
"March 31, 1991",1.185
"Dec. 31, 1990",0.995
"Sept. 30, 1990",0.875
"June 30, 1990",0.88
"March 31, 1990",0.695
"Dec. 31, 1989",0.69
