date,assets
"Dec. 31, 2019",362.60B
"Sept. 30, 2019",359.36B
"June 30, 2019",360.73B
"March 31, 2019",356.19B
"Dec. 31, 2018",346.20B
"Sept. 30, 2018",354.63B
"June 30, 2018",348.79B
"March 31, 2018",348.83B
"Dec. 31, 2017",348.69B
"Sept. 30, 2017",349.43B
"June 30, 2017",343.01B
"March 31, 2017",344.21B
"Dec. 31, 2016",330.31B
"Sept. 30, 2016",339.39B
"June 30, 2016",342.47B
"March 31, 2016",342.79B
"Dec. 31, 2015",336.76B
"Sept. 30, 2015",340.66B
"June 30, 2015",348.26B
"March 31, 2015",342.96B
"Dec. 31, 2014",349.49B
"Sept. 30, 2014",352.76B
"June 30, 2014",358.59B
"March 31, 2014",353.03B
"Dec. 31, 2013",346.81B
"Sept. 30, 2013",347.56B
"June 30, 2013",341.62B
"March 31, 2013",339.64B
"Dec. 31, 2012",333.80B
"Sept. 30, 2012",335.19B
"June 30, 2012",329.64B
"March 31, 2012",345.15B
"Dec. 31, 2011",331.05B
"Sept. 30, 2011",323.23B
"June 30, 2011",326.20B
"March 31, 2011",319.53B
"Dec. 31, 2010",302.51B
"Sept. 30, 2010",299.99B
"June 30, 2010",291.07B
"March 31, 2010",242.75B
"Dec. 31, 2009",233.32B
"Sept. 30, 2009",229.31B
"June 30, 2009",224.66B
"March 31, 2009",222.49B
"Dec. 31, 2008",228.05B
"Sept. 30, 2008",256.22B
"June 30, 2008",266.76B
"March 31, 2008",258.20B
"Dec. 31, 2007",242.08B
"Sept. 30, 2007",236.66B
"June 30, 2007",228.32B
"March 31, 2007",223.30B
"Dec. 31, 2006",219.02B
"Sept. 30, 2006",223.95B
"June 30, 2006",221.01B
"March 31, 2006",216.00B
"Dec. 31, 2005",208.34B
"Sept. 30, 2005",209.72B
"June 30, 2005",201.82B
"March 31, 2005",201.25B
"Dec. 31, 2004",195.26B
"Sept. 30, 2004",187.43B
"June 30, 2004",180.99B
"March 31, 2004",180.20B
"Dec. 31, 2003",174.28B
"Sept. 30, 2003",166.99B
"June 30, 2003",165.10B
"March 31, 2003",162.50B
"Dec. 31, 2002",152.64B
"Sept. 30, 2002",149.47B
"June 30, 2002",148.23B
"March 31, 2002",142.04B
"Dec. 31, 2001",143.17B
"Sept. 30, 2001",147.90B
"June 30, 2001",147.66B
"March 31, 2001",148.79B
"Dec. 31, 2000",149.00B
"Sept. 30, 2000",148.25B
"June 30, 2000",146.62B
"March 31, 2000",143.24B
"Dec. 31, 1999",144.52B
"Sept. 30, 1999",94.39B
"June 30, 1999",91.24B
"March 31, 1999",90.73B
"Dec. 31, 1998",139.34B
"Sept. 30, 1998",95.23B
"June 30, 1998",93.22B
"March 31, 1998",94.95B
"Dec. 31, 1997",96.06B
"Sept. 30, 1997",97.12B
"June 30, 1997",94.92B
"March 31, 1997",95.65B
"Dec. 31, 1996",95.53B
"Sept. 30, 1996",93.47B
"June 30, 1996",92.40B
"March 31, 1996",92.58B
"Dec. 31, 1995",91.30B
"Sept. 30, 1995",90.71B
"June 30, 1995",91.16B
"March 31, 1995",91.27B
"Dec. 31, 1994",87.86B
"Sept. 30, 1994",87.79B
"June 30, 1994",86.10B
"March 31, 1994",84.65B
"Dec. 31, 1993",84.14B
"Sept. 30, 1993",84.99B
"June 30, 1993",84.55B
"March 31, 1993",84.74B
"Dec. 31, 1992",85.03B
"Sept. 30, 1992",87.54B
"June 30, 1992",87.22B
"March 31, 1992",84.51B
"Dec. 31, 1991",87.56B
"Sept. 30, 1991",84.59B
"June 30, 1991",81.74B
"March 31, 1991",83.66B
"Dec. 31, 1990",87.71B
"Sept. 30, 1990",86.16B
"June 30, 1990",82.61B
"March 31, 1990",82.28B
"Dec. 31, 1989",83.22B
"Sept. 30, 1989",78.97B
"Dec. 31, 1988",74.29B
"Dec. 31, 1987",74.04B
"Dec. 31, 1986",69.48B
"Dec. 31, 1985",69.16B
"Dec. 31, 1984",63.28B
