date,return_on_assets
"Dec. 31, 2019",4.02%
"Sept. 30, 2019",4.12%
"June 30, 2019",5.02%
"March 31, 2019",5.28%
"Dec. 31, 2018",5.96%
"Sept. 30, 2018",6.63%
"June 30, 2018",6.02%
"March 31, 2018",5.87%
"Dec. 31, 2017",5.74%
"Sept. 30, 2017",3.81%
"June 30, 2017",3.44%
"March 31, 2017",2.95%
"Dec. 31, 2016",2.32%
"Sept. 30, 2016",2.63%
"June 30, 2016",3.08%
"March 31, 2016",3.80%
"Dec. 31, 2015",4.70%
"Sept. 30, 2015",5.75%
"June 30, 2015",6.78%
"March 31, 2015",8.07%
"Dec. 31, 2014",9.24%
"Sept. 30, 2014",9.75%
"June 30, 2014",9.76%
"March 31, 2014",9.31%
"Dec. 31, 2013",9.53%
"Sept. 30, 2013",10.07%
"June 30, 2013",10.68%
"March 31, 2013",13.34%
"Dec. 31, 2012",13.40%
"Sept. 30, 2012",13.32%
"June 30, 2012",13.62%
"March 31, 2012",12.11%
"Dec. 31, 2011",12.81%
"Sept. 30, 2011",13.02%
"June 30, 2011",12.32%
"March 31, 2011",11.96%
"Dec. 31, 2010",11.12%
"Sept. 30, 2010",10.51%
"June 30, 2010",10.09%
"March 31, 2010",9.12%
"Dec. 31, 2009",8.47%
"Sept. 30, 2009",9.07%
"June 30, 2009",13.00%
"March 31, 2009",15.78%
"Dec. 31, 2008",18.07%
"Sept. 30, 2008",19.47%
"June 30, 2008",17.71%
"March 31, 2008",17.76%
"Dec. 31, 2007",17.67%
"Sept. 30, 2007",17.33%
"June 30, 2007",18.05%
"March 31, 2007",18.30%
"Dec. 31, 2006",18.15%
"Sept. 30, 2006",18.52%
"June 30, 2006",18.64%
"March 31, 2006",17.68%
"Dec. 31, 2005",17.77%
"Sept. 30, 2005",17.00%
"June 30, 2005",15.31%
"March 31, 2005",14.68%
"Dec. 31, 2004",13.79%
"Sept. 30, 2004",13.24%
"June 30, 2004",12.41%
"March 31, 2004",11.72%
"Dec. 31, 2003",13.09%
"Sept. 30, 2003",11.89%
"June 30, 2003",11.53%
"March 31, 2003",10.87%
"Dec. 31, 2002",7.79%
"Sept. 30, 2002",6.88%
"June 30, 2002",7.26%
"March 31, 2002",8.51%
"Dec. 31, 2001",10.40%
"Sept. 30, 2001",12.04%
"June 30, 2001",12.95%
"March 31, 2001",13.07%
"Dec. 31, 2000",12.11%
"Sept. 30, 2000",10.92%
"June 30, 2000",10.07%
"March 31, 2000",8.78%
"Dec. 31, 1999",7.06%
"Sept. 30, 1999",8.67%
"June 30, 1999",7.92%
"March 31, 1999",7.54%
"Dec. 31, 1998",7.78%
"Sept. 30, 1998",11.13%
"June 30, 1998",11.58%
"March 31, 1998",11.88%
"Dec. 31, 1997",12.24%
"Sept. 30, 1997",8.87%
"June 30, 1997",8.68%
"March 31, 1997",8.30%
"Dec. 31, 1996",8.07%
"Sept. 30, 1996",7.27%
"June 30, 1996",7.24%
"March 31, 1996",7.32%
"Dec. 31, 1995",7.15%
"Sept. 30, 1995",7.45%
"June 30, 1995",7.14%
"March 31, 1995",6.40%
"Dec. 31, 1994",5.92%
"Sept. 30, 1994",5.49%
"June 30, 1994",5.78%
"March 31, 1994",6.21%
"Dec. 31, 1993",6.23%
"Sept. 30, 1993",5.99%
"June 30, 1993",5.69%
"March 31, 1993",5.37%
"Dec. 31, 1992",5.52%
"Sept. 30, 1992",5.28%
"June 30, 1992",5.33%
"March 31, 1992",5.58%
"Dec. 31, 1991",6.58%
"Sept. 30, 1991",7.12%
"June 30, 1991",7.11%
"March 31, 1991",7.07%
"Dec. 31, 1990",5.94%
"Sept. 30, 1990",5.35%
"June 30, 1990",5.45%
"March 31, 1990",4.32%
"Dec. 31, 1989",4.45%
