date,net_income_cs_rev
"Dec. 31, 2019",9.03%
"Sept. 30, 2019",5.00%
"June 30, 2019",4.64%
"March 31, 2019",3.81%
"Dec. 31, 2018",8.79%
"Sept. 30, 2018",8.41%
"June 30, 2018",5.53%
"March 31, 2018",7.11%
"Dec. 31, 2017",12.83%
"Sept. 30, 2017",6.69%
"June 30, 2017",5.98%
"March 31, 2017",7.10%
"Dec. 31, 2016",4.16%
"Sept. 30, 2016",4.67%
"June 30, 2016",3.02%
"March 31, 2016",3.84%
"Dec. 31, 2015",7.30%
"Sept. 30, 2015",6.46%
"June 30, 2015",5.87%
"March 31, 2015",7.63%
"Dec. 31, 2014",7.83%
"Sept. 30, 2014",7.82%
"June 30, 2014",8.30%
"March 31, 2014",8.98%
"Dec. 31, 2013",7.88%
"Sept. 30, 2013",7.26%
"June 30, 2013",6.66%
"March 31, 2013",9.19%
"Dec. 31, 2012",9.12%
"Sept. 30, 2012",8.62%
"June 30, 2012",14.11%
"March 31, 2012",7.93%
"Dec. 31, 2011",8.27%
"Sept. 30, 2011",8.51%
"June 30, 2011",8.77%
"March 31, 2011",9.67%
"Dec. 31, 2010",9.31%
"Sept. 30, 2010",7.92%
"June 30, 2010",8.38%
"March 31, 2010",7.18%
"Dec. 31, 2009",6.92%
"Sept. 30, 2009",5.87%
"June 30, 2009",5.31%
"March 31, 2009",7.11%
"Dec. 31, 2008",9.51%
"Sept. 30, 2008",10.99%
"June 30, 2008",8.46%
"March 31, 2008",9.32%
"Dec. 31, 2007",10.82%
"Sept. 30, 2007",9.20%
"June 30, 2007",10.43%
"March 31, 2007",10.64%
"Dec. 31, 2006",11.39%
"Sept. 30, 2006",10.53%
"June 30, 2006",10.46%
"March 31, 2006",9.44%
"Dec. 31, 2005",10.78%
"Sept. 30, 2005",9.85%
"June 30, 2005",8.63%
"March 31, 2005",9.58%
"Dec. 31, 2004",10.10%
"Sept. 30, 2004",7.44%
"June 30, 2004",8.19%
"March 31, 2004",8.05%
"Dec. 31, 2003",10.08%
"Sept. 30, 2003",6.10%
"June 30, 2003",7.29%
"March 31, 2003",11.04%
"Dec. 31, 2002",7.28%
"Sept. 30, 2002",4.88%
"June 30, 2002",5.20%
"March 31, 2002",4.82%
"Dec. 31, 2001",5.68%
"Sept. 30, 2001",5.63%
"June 30, 2001",7.94%
"March 31, 2001",8.73%
"Dec. 31, 2000",6.33%
"Sept. 30, 2000",8.61%
"June 30, 2000",9.16%
"March 31, 2000",7.28%
"Dec. 31, 1999",3.41%
"Sept. 30, 1999",5.02%
"June 30, 1999",5.13%
"March 31, 1999",4.39%
"Dec. 31, 1998",3.59%
"Sept. 30, 1998",5.71%
"June 30, 1998",6.43%
"March 31, 1998",6.07%
"Dec. 31, 1997",6.66%
"Sept. 30, 1997",6.33%
"June 30, 1997",6.85%
"March 31, 1997",7.36%
"Dec. 31, 1996",7.68%
"Sept. 30, 1996",5.36%
"June 30, 1996",5.61%
"March 31, 1996",6.94%
"Dec. 31, 1995",6.25%
"Sept. 30, 1995",5.55%
"June 30, 1995",5.85%
"March 31, 1995",6.35%
"Dec. 31, 1994",7.17%
"Sept. 30, 1994",4.43%
"June 30, 1994",3.65%
"March 31, 1994",5.07%
"Dec. 31, 1993",6.12%
"Sept. 30, 1993",5.56%
"June 30, 1993",5.00%
"March 31, 1993",4.91%
"Dec. 31, 1992",4.94%
"Sept. 30, 1992",4.17%
"June 30, 1992",3.89%
"March 31, 1992",5.52%
"Dec. 31, 1991",4.13%
"Sept. 30, 1991",4.60%
"June 30, 1991",4.64%
"March 31, 1991",8.22%
"Dec. 31, 1990",4.88%
"Sept. 30, 1990",4.12%
"June 30, 1990",4.69%
"March 31, 1990",5.31%
"Dec. 31, 1989",4.09%
"Sept. 30, 1989",5.22%
"June 30, 1989",0.68%
"March 31, 1989",5.71%
"Dec. 31, 1988",7.08%
"Sept. 30, 1988",6.20%
"June 30, 1988",6.02%
"March 31, 1988",7.13%
"Dec. 31, 1987",7.60%
"Sept. 30, 1987",5.43%
"June 30, 1987",6.19%
"March 31, 1987",6.02%
"Dec. 31, 1986",8.45%
"Sept. 30, 1986",6.78%
"June 30, 1986",6.79%
"March 31, 1986",8.40%
"Dec. 31, 1985",7.95%
"Sept. 30, 1985",4.77%
"June 30, 1985",3.47%
"March 31, 1985",6.12%
"Dec. 31, 1984",6.24%
"Sept. 30, 1984",5.80%
"June 30, 1984",5.93%
"March 31, 1984",6.35%
