date,springate_score
"Dec. 31, 2019",0.6488
"Sept. 30, 2019",0.6873
"June 30, 2019",0.7731
"March 31, 2019",0.8341
"Dec. 31, 2018",0.925
"Sept. 30, 2018",0.8171
"June 30, 2018",0.7424
"March 31, 2018",0.686
"Dec. 31, 2017",0.6664
"Sept. 30, 2017",0.6027
"June 30, 2017",0.5485
"March 31, 2017",0.5044
"Dec. 31, 2016",0.4105
"Sept. 30, 2016",0.4396
"June 30, 2016",0.5014
"March 31, 2016",0.6163
"Dec. 31, 2015",0.7026
"Sept. 30, 2015",0.876
"June 30, 2015",1.049
"March 31, 2015",1.212
"Dec. 31, 2014",1.370
"Sept. 30, 2014",1.498
"June 30, 2014",1.518
"March 31, 2014",1.492
"Dec. 31, 2013",1.516
"Sept. 30, 2013",1.595
"June 30, 2013",1.676
"March 31, 2013",1.926
"Dec. 31, 2012",1.989
"Sept. 30, 2012",1.974
"June 30, 2012",2.013
"March 31, 2012",1.869
"Dec. 31, 2011",1.943
"Sept. 30, 2011",1.945
"June 30, 2011",1.863
"March 31, 2011",1.802
"Dec. 31, 2010",1.729
"Sept. 30, 2010",1.688
"June 30, 2010",1.680
"March 31, 2010",1.616
"Dec. 31, 2009",1.493
"Sept. 30, 2009",1.538
"June 30, 2009",2.001
"March 31, 2009",2.398
"Dec. 31, 2008",2.756
"Sept. 30, 2008",2.401
"June 30, 2008",2.360
"March 31, 2008",2.311
