date,shares_outstanding
"Jan. 31, 2020",4.232B
"Dec. 31, 2019",4.234B
"Sept. 30, 2019",4.231B
"June 30, 2019",4.231B
"April 3, 2019",4.233B
"March 31, 2019",4.231B
"Feb. 28, 2019",4.233B
"Jan. 31, 2019",4.235B
"Dec. 31, 2018",4.237B
"Sept. 30, 2018",4.234B
"June 30, 2018",4.234B
"April 4, 2018",4.236B
"March 31, 2018",4.234B
"Feb. 28, 2018",4.236B
"Jan. 31, 2018",4.237B
"Dec. 31, 2017",4.239B
"Sept. 30, 2017",4.237B
"June 30, 2017",4.237B
"March 31, 2017",4.237B
"Feb. 28, 2017",4.240B
"Jan. 31, 2017",4.147B
"Dec. 31, 2016",4.148B
"Sept. 30, 2016",4.147B
"June 30, 2016",4.147B
"April 6, 2016",4.150B
"March 31, 2016",4.147B
"Feb. 29, 2016",4.150B
"Jan. 31, 2016",4.153B
"Dec. 31, 2015",4.156B
"Sept. 30, 2015",4.163B
"June 30, 2015",4.169B
"April 7, 2015",4.189B
"March 31, 2015",4.181B
"Feb. 28, 2015",4.189B
"Jan. 31, 2015",4.195B
"Dec. 31, 2014",4.201B
"Sept. 30, 2014",4.235B
"June 30, 2014",4.265B
"April 4, 2014",4.310B
"March 31, 2014",4.294B
"Jan. 31, 2014",4.321B
"Dec. 31, 2013",4.335B
"Sept. 30, 2013",4.369B
"June 30, 2013",4.402B
"April 4, 2013",4.470B
"March 31, 2013",4.446B
"Feb. 28, 2013",4.470B
"Jan. 31, 2013",4.480B
"Dec. 31, 2012",4.502B
"Sept. 30, 2012",4.559B
"June 30, 2012",4.616B
"April 4, 2012",4.702B
"March 31, 2012",4.676B
"Feb. 29, 2012",4.702B
"Jan. 31, 2012",4.713B
"Dec. 31, 2011",4.734B
"Sept. 30, 2011",4.793B
"June 30, 2011",4.862B
"April 6, 2011",4.953B
"March 31, 2011",4.926B
"Feb. 28, 2011",4.953B
"Jan. 31, 2011",4.959B
"Dec. 31, 2010",4.979B
"Sept. 30, 2010",5.043B
"June 30, 2010",5.092B
"March 31, 2010",4.698B
"Feb. 28, 2010",4.714B
"Jan. 31, 2010",4.721B
"Dec. 31, 2009",4.727B
"Sept. 30, 2009",4.747B
"June 30, 2009",4.806B
"March 31, 2009",4.880B
"Jan. 31, 2009",4.942B
"Sept. 30, 2008",5.087B
"June 30, 2008",5.194B
"March 31, 2008",5.284B
"Jan. 31, 2008",5.350B
"Dec. 31, 2007",5.382B
"Sept. 30, 2007",5.464B
"June 30, 2007",5.546B
"March 31, 2007",5.633B
"Jan. 31, 2007",5.693B
"Dec. 31, 2006",5.729B
"Sept. 30, 2006",5.832B
"June 30, 2006",5.945B
"March 31, 2006",6.050B
"Jan. 31, 2006",6.106B
"Dec. 31, 2005",6.133B
"Sept. 30, 2005",6.222B
"June 30, 2005",6.305B
"March 31, 2005",6.366B
"Jan. 31, 2005",6.385B
"Dec. 31, 2004",6.401B
"Sept. 30, 2004",6.451B
"June 30, 2004",6.506B
"March 31, 2004",6.540B
"Feb. 29, 2004",6.558B
"Dec. 31, 2003",6.568B
"Sept. 30, 2003",6.610B
"July 31, 2003",6.637B
"June 30, 2003",6.652B
"March 31, 2003",6.679B
"Feb. 28, 2003",6.690B
"Dec. 31, 2002",6.70B
"Sept. 30, 2002",6.729B
"June 30, 2002",6.757B
"March 31, 2002",6.782B
"Feb. 28, 2002",6.793B
"Dec. 31, 2001",6.809B
"Sept. 30, 2001",6.841B
"June 30, 2001",6.871B
"March 31, 2001",6.900B
"Feb. 28, 2001",6.911B
"Dec. 31, 2000",6.93B
"Sept. 30, 2000",6.952B
"June 30, 2000",6.968B
"March 31, 2000",6.962B
"Feb. 29, 2000",6.960B
"Dec. 31, 1999",6.954B
"Sept. 30, 1999",4.856B
"June 30, 1999",4.856B
"March 31, 1999",4.856B
"Feb. 26, 1999",4.856B
"Dec. 31, 1998",4.856B
"Sept. 30, 1998",4.862B
"June 30, 1998",4.84B
"March 31, 1998",4.894B
"Feb. 27, 1998",4.899B
"Dec. 31, 1997",4.914B
"Sept. 30, 1997",4.932B
"June 30, 1997",4.948B
"Feb. 28, 1997",4.969B
"Dec. 31, 1996",4.968B
"Sept. 30, 1996",4.967B
"June 30, 1996",4.967B
"March 31, 1996",4.968B
"Feb. 29, 1996",4.969B
"Dec. 31, 1995",4.968B
"Sept. 30, 1995",4.967B
"June 30, 1995",4.967B
"March 31, 1995",4.969B
"Feb. 28, 1995",4.967B
"Dec. 31, 1994",4.968B
"Sept. 30, 1994",4.966B
"June 30, 1994",4.966B
"March 31, 1994",4.967B
"Dec. 31, 1993",4.968B
"Sept. 30, 1993",4.966B
"June 30, 1993",4.968B
"March 31, 1993",4.967B
"Dec. 31, 1992",4.968B
"Sept. 30, 1992",4.966B
"June 30, 1992",4.966B
"March 31, 1992",4.966B
"Dec. 31, 1991",4.968B
"Sept. 30, 1991",4.971B
"June 30, 1991",4.975B
"March 31, 1991",4.979B
"Dec. 31, 1990",4.98B
"Sept. 30, 1990",4.984B
"June 30, 1990",4.988B
"March 31, 1990",5.00B
"Dec. 31, 1989",5.007B
"Sept. 30, 1989",5.007B
"June 30, 1989",5.096B
"March 31, 1989",5.155B
"Dec. 31, 1988",5.156B
"Sept. 30, 1988",5.232B
"June 30, 1988",5.425B
"March 31, 1988",5.425B
"Dec. 31, 1987",5.516B
"Sept. 30, 1987",5.705B
"June 30, 1987",5.704B
"March 31, 1987",5.704B
"Dec. 31, 1986",5.744B
"Sept. 30, 1986",5.777B
"June 30, 1986",5.791B
"March 31, 1986",5.848B
"Dec. 31, 1985",5.848B
"Sept. 30, 1985",6.019B
"June 30, 1985",6.150B
"March 31, 1985",6.264B
"Dec. 31, 1984",6.264B
"Sept. 30, 1984",6.264B
"June 30, 1984",6.264B
"March 31, 1984",6.264B
