date,market_cap
"March 19, 2020",145.71B
"March 18, 2020",140.17B
"March 17, 2020",155.79B
"March 16, 2020",145.97B
"March 13, 2020",161.33B
"March 12, 2020",157.35B
"March 11, 2020",177.67B
"March 10, 2020",183.72B
"March 9, 2020",177.16B
"March 6, 2020",201.83B
"March 5, 2020",212.08B
"March 4, 2020",221.85B
"March 3, 2020",217.11B
"March 2, 2020",228.03B
"Feb. 28, 2020",217.70B
"Feb. 27, 2020",210.85B
"Feb. 26, 2020",224.35B
"Feb. 25, 2020",229.38B
"Feb. 24, 2020",238.53B
"Feb. 21, 2020",250.25B
"Feb. 20, 2020",253.34B
"Feb. 19, 2020",255.37B
"Feb. 18, 2020",253.42B
"Feb. 14, 2020",256.68B
"Feb. 13, 2020",257.87B
"Feb. 12, 2020",259.31B
"Feb. 11, 2020",256.17B
"Feb. 10, 2020",253.76B
"Feb. 7, 2020",260.15B
"Feb. 6, 2020",261.89B
"Feb. 5, 2020",265.49B
"Feb. 4, 2020",253.80B
"Feb. 3, 2020",257.02B
"Jan. 31, 2020",262.90B
"Jan. 30, 2020",274.32B
"Jan. 29, 2020",271.44B
"Jan. 28, 2020",273.73B
"Jan. 27, 2020",274.11B
"Jan. 24, 2020",280.80B
"Jan. 23, 2020",282.70B
"Jan. 22, 2020",284.48B
"Jan. 21, 2020",286.13B
"Jan. 17, 2020",290.28B
"Jan. 16, 2020",291.38B
"Jan. 15, 2020",292.53B
"Jan. 14, 2020",292.99B
"Jan. 13, 2020",295.53B
"Jan. 10, 2020",292.74B
"Jan. 9, 2020",295.36B
"Jan. 8, 2020",293.12B
"Jan. 7, 2020",297.61B
"Jan. 6, 2020",300.06B
"Jan. 3, 2020",297.78B
"Jan. 2, 2020",300.19B
"Dec. 31, 2019",295.45B
"Dec. 30, 2019",293.98B
"Dec. 27, 2019",295.71B
"Dec. 26, 2019",296.73B
"Dec. 24, 2019",296.26B
"Dec. 23, 2019",297.40B
"Dec. 20, 2019",295.92B
"Dec. 19, 2019",293.60B
"Dec. 18, 2019",295.63B
"Dec. 17, 2019",294.82B
"Dec. 16, 2019",296.18B
"Dec. 13, 2019",292.92B
"Dec. 12, 2019",297.62B
"Dec. 11, 2019",291.78B
"Dec. 10, 2019",292.20B
"Dec. 9, 2019",294.74B
"Dec. 6, 2019",294.10B
"Dec. 5, 2019",289.45B
"Dec. 4, 2019",290.47B
"Dec. 3, 2019",287.21B
"Dec. 2, 2019",289.49B
"Nov. 29, 2019",288.27B
"Nov. 27, 2019",290.68B
"Nov. 26, 2019",290.85B
"Nov. 25, 2019",291.57B
"Nov. 22, 2019",293.51B
"Nov. 21, 2019",294.78B
"Nov. 20, 2019",287.84B
"Nov. 19, 2019",286.95B
"Nov. 18, 2019",289.92B
"Nov. 15, 2019",292.75B
"Nov. 14, 2019",289.83B
"Nov. 13, 2019",291.10B
"Nov. 12, 2019",293.51B
"Nov. 11, 2019",297.62B
"Nov. 8, 2019",299.44B
"Nov. 7, 2019",308.91B
"Nov. 6, 2019",302.48B
"Nov. 5, 2019",309.25B
"Nov. 4, 2019",303.24B
"Nov. 1, 2019",294.48B
"Oct. 31, 2019",285.90B
"Oct. 30, 2019",286.53B
"Oct. 29, 2019",289.58B
"Oct. 28, 2019",290.42B
"Oct. 25, 2019",293.00B
"Oct. 24, 2019",292.33B
"Oct. 23, 2019",295.12B
"Oct. 22, 2019",292.33B
"Oct. 21, 2019",290.85B
"Oct. 18, 2019",286.07B
"Oct. 17, 2019",288.31B
"Oct. 16, 2019",288.69B
"Oct. 15, 2019",293.72B
"Oct. 14, 2019",292.71B
"Oct. 11, 2019",291.86B
"Oct. 10, 2019",288.77B
"Oct. 9, 2019",285.35B
"Oct. 8, 2019",282.21B
"Oct. 7, 2019",287.80B
"Oct. 4, 2019",291.82B
"Oct. 3, 2019",287.63B
"Oct. 2, 2019",284.12B
"Oct. 1, 2019",291.73B
"Sept. 30, 2019",298.76B
"Sept. 27, 2019",302.44B
"Sept. 26, 2019",300.28B
"Sept. 25, 2019",301.89B
"Sept. 24, 2019",301.00B
"Sept. 23, 2019",305.19B
"Sept. 20, 2019",304.98B
"Sept. 19, 2019",306.04B
"Sept. 18, 2019",308.11B
"Sept. 17, 2019",309.59B
"Sept. 16, 2019",311.96B
"Sept. 13, 2019",307.35B
"Sept. 12, 2019",304.56B
"Sept. 11, 2019",304.34B
"Sept. 10, 2019",304.94B
"Sept. 9, 2019",302.48B
"Sept. 6, 2019",300.11B
"Sept. 5, 2019",297.32B
"Sept. 4, 2019",293.17B
"Sept. 3, 2019",290.08B
"Aug. 30, 2019",289.75B
"Aug. 29, 2019",289.53B
"Aug. 28, 2019",286.36B
"Aug. 27, 2019",284.29B
"Aug. 26, 2019",287.08B
"Aug. 23, 2019",285.56B
"Aug. 22, 2019",294.36B
"Aug. 21, 2019",294.99B
"Aug. 20, 2019",292.07B
"Aug. 19, 2019",293.85B
"Aug. 16, 2019",288.98B
"Aug. 15, 2019",284.54B
"Aug. 14, 2019",286.23B
"Aug. 13, 2019",298.25B
"Aug. 12, 2019",294.61B
"Aug. 9, 2019",299.73B
"Aug. 8, 2019",306.25B
"Aug. 7, 2019",298.29B
"Aug. 6, 2019",300.24B
"Aug. 5, 2019",297.36B
"Aug. 2, 2019",303.58B
"Aug. 1, 2019",306.59B
"July 31, 2019",314.63B
"July 30, 2019",318.81B
"July 29, 2019",318.77B
"July 26, 2019",316.53B
"July 25, 2019",317.04B
"July 24, 2019",318.86B
"July 23, 2019",318.90B
"July 22, 2019",317.63B
"July 19, 2019",317.29B
"July 18, 2019",316.66B
"July 17, 2019",319.36B
"July 16, 2019",321.27B
"July 15, 2019",326.13B
"July 12, 2019",328.46B
"July 11, 2019",328.21B
"July 10, 2019",327.95B
"July 9, 2019",323.38B
"July 8, 2019",323.60B
"July 5, 2019",322.11B
"July 3, 2019",323.43B
"July 2, 2019",320.38B
"July 1, 2019",323.93B
"June 28, 2019",324.38B
"June 27, 2019",320.95B
"June 26, 2019",324.26B
"June 25, 2019",322.86B
"June 24, 2019",325.74B
"June 21, 2019",328.87B
"June 20, 2019",324.30B
"June 19, 2019",318.84B
"June 18, 2019",320.62B
"June 17, 2019",317.86B
"June 14, 2019",314.73B
"June 13, 2019",316.13B
"June 12, 2019",313.38B
"June 11, 2019",316.81B
"June 10, 2019",317.10B
"June 7, 2019",315.70B
"June 6, 2019",314.56B
"June 5, 2019",308.93B
"June 4, 2019",311.51B
"June 3, 2019",304.28B
"May 31, 2019",299.58B
"May 30, 2019",304.66B
"May 29, 2019",305.46B
"May 28, 2019",307.37B
"May 24, 2019",313.67B
"May 23, 2019",312.36B
"May 22, 2019",319.85B
"May 21, 2019",322.77B
"May 20, 2019",321.29B
"May 17, 2019",321.34B
"May 16, 2019",323.24B
"May 15, 2019",323.28B
"May 14, 2019",320.91B
"May 13, 2019",320.49B
"May 10, 2019",324.09B
"May 9, 2019",324.98B
"May 8, 2019",325.27B
"May 7, 2019",324.76B
"May 6, 2019",326.50B
"May 3, 2019",327.94B
"May 2, 2019",327.18B
"May 1, 2019",333.02B
"April 30, 2019",339.83B
"April 29, 2019",338.52B
"April 26, 2019",340.72B
"April 25, 2019",348.05B
"April 24, 2019",346.10B
"April 23, 2019",352.96B
"April 22, 2019",350.92B
"April 18, 2019",343.43B
"April 17, 2019",344.70B
"April 16, 2019",343.73B
"April 15, 2019",341.40B
"April 12, 2019",342.54B
"April 11, 2019",346.90B
"April 10, 2019",345.25B
"April 9, 2019",346.82B
"April 8, 2019",351.35B
"April 5, 2019",349.19B
"April 4, 2019",347.33B
"April 3, 2019",342.46B
"April 2, 2019",344.33B
"April 1, 2019",345.81B
"March 29, 2019",342.03B
"March 28, 2019",341.78B
"March 27, 2019",340.09B
"March 26, 2019",342.71B
"March 25, 2019",338.31B
"March 22, 2019",340.68B
"March 21, 2019",346.23B
"March 20, 2019",344.24B
"March 19, 2019",342.33B
"March 18, 2019",343.22B
"March 15, 2019",339.28B
"March 14, 2019",340.51B
"March 13, 2019",341.65B
"March 12, 2019",338.65B
"March 11, 2019",337.72B
"March 8, 2019",334.46B
"March 7, 2019",339.33B
"March 6, 2019",335.60B
"March 5, 2019",339.45B
"March 4, 2019",339.96B
"March 1, 2019",338.65B
"Feb. 28, 2019",334.54B
"Feb. 27, 2019",336.54B
"Feb. 26, 2019",333.11B
"Feb. 25, 2019",332.43B
"Feb. 22, 2019",332.09B
"Feb. 21, 2019",329.55B
"Feb. 20, 2019",332.56B
"Feb. 19, 2019",331.29B
"Feb. 15, 2019",329.09B
"Feb. 14, 2019",322.99B
"Feb. 13, 2019",322.90B
"Feb. 12, 2019",319.30B
"Feb. 11, 2019",313.80B
"Feb. 8, 2019",313.29B
"Feb. 7, 2019",316.26B
"Feb. 6, 2019",318.71B
"Feb. 5, 2019",320.11B
"Feb. 4, 2019",316.85B
"Feb. 1, 2019",321.51B
"Jan. 31, 2019",310.33B
"Jan. 30, 2019",306.29B
"Jan. 29, 2019",302.99B
"Jan. 28, 2019",301.84B
"Jan. 25, 2019",303.88B
"Jan. 24, 2019",302.52B
"Jan. 23, 2019",302.10B
"Jan. 22, 2019",304.60B
"Jan. 18, 2019",309.26B
"Jan. 17, 2019",305.61B
"Jan. 16, 2019",303.54B
"Jan. 15, 2019",303.67B
"Jan. 14, 2019",303.50B
"Jan. 11, 2019",303.88B
"Jan. 10, 2019",305.28B
"Jan. 9, 2019",306.84B
"Jan. 8, 2019",305.23B
"Jan. 7, 2019",303.03B
"Jan. 4, 2019",301.46B
"Jan. 3, 2019",290.74B
"Jan. 2, 2019",295.28B
"Dec. 31, 2018",288.92B
"Dec. 28, 2018",288.62B
"Dec. 27, 2018",291.88B
"Dec. 26, 2018",290.61B
"Dec. 24, 2018",277.36B
"Dec. 21, 2018",288.41B
"Dec. 20, 2018",290.57B
"Dec. 19, 2018",299.67B
"Dec. 18, 2018",304.83B
"Dec. 17, 2018",313.47B
"Dec. 14, 2018",319.99B
"Dec. 13, 2018",325.92B
"Dec. 12, 2018",321.85B
"Dec. 11, 2018",324.65B
"Dec. 10, 2018",324.06B
"Dec. 7, 2018",328.71B
"Dec. 6, 2018",331.89B
"Dec. 4, 2018",336.29B
"Dec. 3, 2018",343.87B
"Nov. 30, 2018",336.59B
"Nov. 29, 2018",334.72B
"Nov. 28, 2018",332.14B
"Nov. 27, 2018",326.21B
"Nov. 26, 2018",325.92B
"Nov. 23, 2018",319.61B
"Nov. 21, 2018",328.37B
"Nov. 20, 2018",325.88B
"Nov. 19, 2018",335.40B
"Nov. 16, 2018",334.30B
"Nov. 15, 2018",331.04B
"Nov. 14, 2018",327.65B
"Nov. 13, 2018",330.24B
"Nov. 12, 2018",337.98B
"Nov. 9, 2018",342.39B
"Nov. 8, 2018",345.94B
"Nov. 7, 2018",351.53B
"Nov. 6, 2018",347.13B
"Nov. 5, 2018",345.65B
"Nov. 2, 2018",346.96B
"Nov. 1, 2018",341.54B
"Oct. 31, 2018",337.35B
"Oct. 30, 2018",333.54B
"Oct. 29, 2018",326.21B
"Oct. 26, 2018",328.25B
"Oct. 25, 2018",331.55B
"Oct. 24, 2018",328.63B
"Oct. 23, 2018",338.03B
"Oct. 22, 2018",343.57B
"Oct. 19, 2018",347.05B
"Oct. 18, 2018",346.54B
"Oct. 17, 2018",345.06B
"Oct. 16, 2018",343.79B
"Oct. 15, 2018",342.18B
"Oct. 12, 2018",344.55B
"Oct. 11, 2018",345.48B
"Oct. 10, 2018",357.84B
"Oct. 9, 2018",366.27B
"Oct. 8, 2018",364.66B
"Oct. 5, 2018",361.31B
"Oct. 4, 2018",362.33B
"Oct. 3, 2018",364.74B
"Oct. 2, 2018",366.05B
"Oct. 1, 2018",363.30B
"Sept. 28, 2018",359.96B
"Sept. 27, 2018",363.13B
"Sept. 26, 2018",363.18B
"Sept. 25, 2018",366.22B
"Sept. 24, 2018",366.65B
"Sept. 21, 2018",360.59B
"Sept. 20, 2018",359.11B
"Sept. 19, 2018",358.31B
"Sept. 18, 2018",354.07B
"Sept. 17, 2018",353.14B
"Sept. 14, 2018",351.07B
"Sept. 13, 2018",348.53B
"Sept. 12, 2018",351.96B
"Sept. 11, 2018",350.81B
"Sept. 10, 2018",345.94B
"Sept. 7, 2018",346.45B
"Sept. 6, 2018",340.65B
"Sept. 5, 2018",344.46B
"Sept. 4, 2018",339.93B
"Aug. 31, 2018",339.42B
"Aug. 30, 2018",340.86B
"Aug. 29, 2018",342.35B
"Aug. 28, 2018",339.89B
"Aug. 27, 2018",340.40B
"Aug. 24, 2018",337.10B
"Aug. 23, 2018",334.81B
"Aug. 22, 2018",338.54B
"Aug. 21, 2018",333.75B
"Aug. 20, 2018",333.67B
"Aug. 17, 2018",331.34B
"Aug. 16, 2018",330.24B
"Aug. 15, 2018",325.75B
"Aug. 14, 2018",331.55B
"Aug. 13, 2018",332.61B
"Aug. 10, 2018",336.25B
"Aug. 9, 2018",340.06B
"Aug. 8, 2018",341.80B
"Aug. 7, 2018",344.08B
"Aug. 6, 2018",339.47B
"Aug. 3, 2018",339.55B
"Aug. 2, 2018",338.32B
"Aug. 1, 2018",340.36B
"July 31, 2018",345.10B
"July 30, 2018",346.07B
"July 27, 2018",346.83B
"July 26, 2018",356.66B
"July 25, 2018",353.90B
"July 24, 2018",351.45B
"July 23, 2018",344.63B
"July 20, 2018",344.63B
"July 19, 2018",347.21B
"July 18, 2018",348.10B
"July 17, 2018",348.48B
"July 16, 2018",349.25B
"July 13, 2018",352.72B
"July 12, 2018",350.09B
"July 11, 2018",349.67B
