date,free_cash_flow
"Dec. 31, 2019",-352.00M
"Sept. 30, 2019",2.794B
"June 30, 2019",-226.00M
"March 31, 2019",3.139B
"Dec. 31, 2018",2.513B
"Sept. 30, 2018",5.904B
"June 30, 2018",2.853B
"March 31, 2018",5.17B
"Dec. 31, 2017",2.91B
"Sept. 30, 2017",2.622B
"June 30, 2017",3.849B
"March 31, 2017",5.283B
"Dec. 31, 2016",3.509B
"Sept. 30, 2016",1.951B
"June 30, 2016",248.00M
"March 31, 2016",211.00M
"Dec. 31, 2015",-1.756B
"Sept. 30, 2015",2.773B
"June 30, 2015",1.683B
"March 31, 2015",1.154B
"Dec. 31, 2014",-1.469B
"Sept. 30, 2014",4.198B
"June 30, 2014",1.66B
"March 31, 2014",7.775B
"Dec. 31, 2013",1.782B
"Sept. 30, 2013",4.333B
"June 30, 2013",-968.00M
"March 31, 2013",6.098B
"Dec. 31, 2012",3.167B
"Sept. 30, 2012",5.416B
"June 30, 2012",1.872B
"March 31, 2012",11.44B
"Dec. 31, 2011",2.117B
"Sept. 30, 2011",7.371B
"June 30, 2011",5.077B
"March 31, 2011",9.805B
"Dec. 31, 2010",5.385B
"Sept. 30, 2010",5.276B
"June 30, 2010",3.591B
"March 31, 2010",7.29B
"Dec. 31, 2009",1.741B
"Sept. 30, 2009",3.337B
"June 30, 2009",-3.368B
"March 31, 2009",4.237B
"Dec. 31, 2008",5.159B
"Sept. 30, 2008",9.261B
"June 30, 2008",8.546B
"March 31, 2008",17.44B
"Dec. 31, 2007",6.775B
"Sept. 30, 2007",11.13B
"June 30, 2007",7.532B
"March 31, 2007",11.18B
"Dec. 31, 2006",4.701B
"Sept. 30, 2006",10.78B
"June 30, 2006",7.44B
"March 31, 2006",10.90B
"Dec. 31, 2005",6.491B
"Sept. 30, 2005",12.28B
"June 30, 2005",5.278B
"March 31, 2005",10.26B
"Dec. 31, 2004",8.901B
"Sept. 30, 2004",6.616B
"June 30, 2004",5.72B
"March 31, 2004",7.328B
"Dec. 31, 2003",3.245B
"Sept. 30, 2003",2.631B
"June 30, 2003",4.055B
"March 31, 2003",5.708B
"Dec. 31, 2002",1.789B
"Sept. 30, 2002",4.565B
"June 30, 2002",1.279B
"March 31, 2002",2.198B
"Dec. 31, 2001",264.00M
"Sept. 30, 2001",2.762B
"June 30, 2001",3.173B
"March 31, 2001",6.701B
"Dec. 31, 2000",3.465B
"Sept. 30, 2000",3.373B
"June 30, 2000",3.932B
"March 31, 2000",3.721B
"Dec. 31, 1999",1.617B
"Sept. 30, 1999",1.757B
"June 30, 1999",387.00M
"March 31, 1999",403.00M
"Dec. 31, 1998",189.00M
"Sept. 30, 1998",1.359B
"June 30, 1998",822.00M
"March 31, 1998",1.336B
"Dec. 31, 1997",3.075B
"Sept. 30, 1997",2.119B
"June 30, 1997",1.563B
"March 31, 1997",3.033B
"Dec. 31, 1996",854.00M
"Sept. 30, 1996",1.298B
"June 30, 1996",1.137B
"March 31, 1996",2.664B
"Dec. 31, 1995",1.27B
"Sept. 30, 1995",2.165B
"June 30, 1995",1.401B
"March 31, 1995",1.883B
"Dec. 31, 1994",753.00M
"Sept. 30, 1994",1.035B
"June 30, 1994",385.00M
"March 31, 1994",1.035B
"Dec. 31, 1993",911.00M
"Sept. 30, 1993",1.462B
"June 30, 1993",860.00M
"March 31, 1993",1.314B
"Dec. 31, 1992",632.00M
"Sept. 30, 1992",817.00M
"June 30, 1992",65.00M
"March 31, 1992",872.00M
"Dec. 31, 1991",461.00M
"Sept. 30, 1991",973.00M
"June 30, 1991",947.00M
"March 31, 1991",1.237B
"Dec. 31, 1990",2.023B
"Sept. 30, 1990",353.00M
"June 30, 1990",1.248B
"March 31, 1990",474.00M
