date,operating_earning_yield
"March 19, 2020",8.68%
"March 18, 2020",9.03%
"March 17, 2020",8.12%
"March 16, 2020",8.67%
"March 13, 2020",7.84%
"March 12, 2020",8.04%
"March 11, 2020",7.12%
"March 10, 2020",6.89%
"March 9, 2020",7.14%
"March 6, 2020",6.27%
"March 5, 2020",5.97%
"March 4, 2020",5.70%
"March 3, 2020",5.83%
"March 2, 2020",5.55%
"Feb. 28, 2020",5.81%
"Feb. 27, 2020",6.00%
"Feb. 26, 2020",5.64%
"Feb. 25, 2020",5.52%
"Feb. 24, 2020",5.30%
"Feb. 21, 2020",5.06%
"Feb. 20, 2020",4.99%
"Feb. 19, 2020",4.95%
"Feb. 18, 2020",4.99%
"Feb. 14, 2020",4.93%
"Feb. 13, 2020",4.91%
"Feb. 12, 2020",4.88%
"Feb. 11, 2020",4.94%
"Feb. 10, 2020",4.99%
"Feb. 7, 2020",4.86%
"Feb. 6, 2020",4.83%
"Feb. 5, 2020",4.77%
"Feb. 4, 2020",4.98%
"Feb. 3, 2020",4.92%
"Jan. 31, 2020",4.81%
"Jan. 30, 2020",4.61%
"Jan. 29, 2020",4.66%
"Jan. 28, 2020",4.62%
"Jan. 27, 2020",4.62%
"Jan. 24, 2020",4.51%
"Jan. 23, 2020",4.48%
"Jan. 22, 2020",4.45%
"Jan. 21, 2020",4.42%
"Jan. 17, 2020",4.36%
"Jan. 16, 2020",4.34%
"Jan. 15, 2020",4.33%
"Jan. 14, 2020",4.32%
"Jan. 13, 2020",4.28%
"Jan. 10, 2020",4.32%
"Jan. 9, 2020",4.29%
"Jan. 8, 2020",4.32%
"Jan. 7, 2020",4.25%
"Jan. 6, 2020",4.22%
"Jan. 3, 2020",4.25%
"Jan. 2, 2020",4.22%
"Dec. 31, 2019",4.28%
"Dec. 30, 2019",5.10%
"Dec. 27, 2019",5.07%
"Dec. 26, 2019",5.05%
"Dec. 24, 2019",5.06%
"Dec. 23, 2019",5.04%
"Dec. 20, 2019",5.06%
"Dec. 19, 2019",5.10%
"Dec. 18, 2019",5.07%
"Dec. 17, 2019",5.08%
"Dec. 16, 2019",5.06%
"Dec. 13, 2019",5.12%
"Dec. 12, 2019",5.03%
"Dec. 11, 2019",5.14%
"Dec. 10, 2019",5.13%
"Dec. 9, 2019",5.08%
"Dec. 6, 2019",5.09%
"Dec. 5, 2019",5.18%
"Dec. 4, 2019",5.16%
"Dec. 3, 2019",5.22%
"Dec. 2, 2019",5.18%
"Nov. 29, 2019",5.20%
"Nov. 27, 2019",5.15%
"Nov. 26, 2019",5.15%
"Nov. 25, 2019",5.14%
"Nov. 22, 2019",5.10%
"Nov. 21, 2019",5.08%
"Nov. 20, 2019",5.21%
"Nov. 19, 2019",5.22%
"Nov. 18, 2019",5.17%
"Nov. 15, 2019",5.12%
"Nov. 14, 2019",5.17%
"Nov. 13, 2019",5.15%
"Nov. 12, 2019",5.10%
"Nov. 11, 2019",5.03%
"Nov. 8, 2019",5.00%
"Nov. 7, 2019",4.85%
"Nov. 6, 2019",4.95%
"Nov. 5, 2019",4.84%
"Nov. 4, 2019",4.94%
"Nov. 1, 2019",5.09%
"Oct. 31, 2019",5.24%
"Oct. 30, 2019",5.23%
"Oct. 29, 2019",5.17%
"Oct. 28, 2019",5.16%
"Oct. 25, 2019",5.11%
"Oct. 24, 2019",5.13%
"Oct. 23, 2019",5.08%
"Oct. 22, 2019",5.13%
"Oct. 21, 2019",5.15%
"Oct. 18, 2019",5.24%
"Oct. 17, 2019",5.20%
"Oct. 16, 2019",5.19%
"Oct. 15, 2019",5.10%
"Oct. 14, 2019",5.12%
"Oct. 11, 2019",5.13%
"Oct. 10, 2019",5.19%
"Oct. 9, 2019",5.25%
"Oct. 8, 2019",5.31%
"Oct. 7, 2019",5.21%
"Oct. 4, 2019",5.13%
"Oct. 3, 2019",5.21%
"Oct. 2, 2019",5.27%
"Oct. 1, 2019",5.14%
"Sept. 30, 2019",5.02%
"Sept. 27, 2019",6.10%
"Sept. 26, 2019",6.14%
"Sept. 25, 2019",6.11%
"Sept. 24, 2019",6.13%
"Sept. 23, 2019",6.04%
"Sept. 20, 2019",6.05%
"Sept. 19, 2019",6.02%
"Sept. 18, 2019",5.98%
"Sept. 17, 2019",5.96%
"Sept. 16, 2019",5.91%
"Sept. 13, 2019",6.00%
"Sept. 12, 2019",6.05%
"Sept. 11, 2019",6.06%
"Sept. 10, 2019",6.05%
"Sept. 9, 2019",6.10%
"Sept. 6, 2019",6.14%
"Sept. 5, 2019",6.20%
"Sept. 4, 2019",6.29%
"Sept. 3, 2019",6.36%
"Aug. 30, 2019",6.36%
"Aug. 29, 2019",6.37%
"Aug. 28, 2019",6.44%
"Aug. 27, 2019",6.49%
"Aug. 26, 2019",6.42%
"Aug. 23, 2019",6.46%
"Aug. 22, 2019",6.26%
"Aug. 21, 2019",6.25%
"Aug. 20, 2019",6.31%
"Aug. 19, 2019",6.27%
"Aug. 16, 2019",6.38%
"Aug. 15, 2019",6.48%
"Aug. 14, 2019",6.44%
"Aug. 13, 2019",6.18%
"Aug. 12, 2019",6.26%
"Aug. 9, 2019",6.15%
"Aug. 8, 2019",6.02%
"Aug. 7, 2019",6.18%
"Aug. 6, 2019",6.14%
"Aug. 5, 2019",6.20%
"Aug. 2, 2019",6.07%
"Aug. 1, 2019",6.01%
"July 31, 2019",5.86%
"July 30, 2019",5.78%
"July 29, 2019",5.78%
"July 26, 2019",5.82%
"July 25, 2019",5.82%
"July 24, 2019",5.78%
"July 23, 2019",5.78%
"July 22, 2019",5.80%
"July 19, 2019",5.81%
"July 18, 2019",5.82%
"July 17, 2019",5.77%
"July 16, 2019",5.74%
"July 15, 2019",5.65%
"July 12, 2019",5.61%
"July 11, 2019",5.62%
"July 10, 2019",5.62%
"July 9, 2019",5.70%
"July 8, 2019",5.70%
"July 5, 2019",5.72%
"July 3, 2019",5.70%
"July 2, 2019",5.75%
"July 1, 2019",5.69%
"June 30, 2019",
"June 28, 2019",6.10%
"June 27, 2019",6.17%
"June 26, 2019",6.10%
"June 25, 2019",6.13%
"June 24, 2019",6.08%
"June 21, 2019",6.02%
"June 20, 2019",6.10%
"June 19, 2019",6.21%
"June 18, 2019",6.17%
"June 17, 2019",6.23%
"June 14, 2019",6.29%
"June 13, 2019",6.26%
"June 12, 2019",6.32%
"June 11, 2019",6.25%
"June 10, 2019",6.24%
"June 7, 2019",6.27%
"June 6, 2019",6.29%
"June 5, 2019",6.41%
"June 4, 2019",6.35%
"June 3, 2019",6.51%
"May 31, 2019",6.61%
"May 30, 2019",6.50%
"May 29, 2019",6.48%
"May 28, 2019",6.44%
"May 24, 2019",6.31%
"May 23, 2019",6.34%
"May 22, 2019",6.19%
"May 21, 2019",6.13%
"May 20, 2019",6.16%
"May 17, 2019",6.16%
"May 16, 2019",6.12%
"May 15, 2019",6.12%
"May 14, 2019",6.17%
"May 13, 2019",6.18%
"May 10, 2019",6.11%
"May 9, 2019",6.09%
"May 8, 2019",6.09%
"May 7, 2019",6.10%
"May 6, 2019",6.06%
"May 3, 2019",6.04%
"May 2, 2019",6.05%
"May 1, 2019",5.94%
"April 30, 2019",5.83%
"April 29, 2019",5.85%
"April 26, 2019",5.81%
"April 25, 2019",5.69%
"April 24, 2019",5.72%
"April 23, 2019",5.61%
"April 22, 2019",5.64%
"April 18, 2019",5.76%
"April 17, 2019",5.74%
"April 16, 2019",5.76%
"April 15, 2019",5.80%
"April 12, 2019",5.78%
"April 11, 2019",5.71%
"April 10, 2019",5.73%
"April 9, 2019",5.71%
"April 8, 2019",5.63%
"April 5, 2019",5.67%
"April 4, 2019",5.70%
"April 3, 2019",5.78%
"April 2, 2019",5.75%
"April 1, 2019",5.72%
"March 31, 2019",
"March 29, 2019",6.41%
"March 28, 2019",6.42%
"March 27, 2019",6.45%
"March 26, 2019",6.40%
"March 25, 2019",6.48%
"March 22, 2019",6.44%
"March 21, 2019",6.34%
"March 20, 2019",6.37%
"March 19, 2019",6.41%
"March 18, 2019",6.39%
"March 15, 2019",6.46%
"March 14, 2019",6.44%
"March 13, 2019",6.42%
"March 12, 2019",6.48%
"March 11, 2019",6.49%
"March 8, 2019",6.56%
"March 7, 2019",6.46%
"March 6, 2019",6.54%
"March 5, 2019",6.46%
"March 4, 2019",6.45%
"March 1, 2019",6.48%
"Feb. 28, 2019",6.56%
"Feb. 27, 2019",6.52%
"Feb. 26, 2019",6.59%
"Feb. 25, 2019",6.60%
"Feb. 22, 2019",6.61%
"Feb. 21, 2019",6.66%
"Feb. 20, 2019",6.60%
"Feb. 19, 2019",6.62%
"Feb. 15, 2019",6.67%
"Feb. 14, 2019",6.79%
"Feb. 13, 2019",6.80%
"Feb. 12, 2019",6.87%
"Feb. 11, 2019",6.99%
"Feb. 8, 2019",7.00%
"Feb. 7, 2019",6.94%
"Feb. 6, 2019",6.88%
"Feb. 5, 2019",6.85%
"Feb. 4, 2019",6.93%
"Feb. 1, 2019",6.82%
"Jan. 31, 2019",7.07%
"Jan. 30, 2019",7.17%
"Jan. 29, 2019",7.25%
"Jan. 28, 2019",7.27%
"Jan. 25, 2019",7.22%
"Jan. 24, 2019",7.26%
"Jan. 23, 2019",7.27%
"Jan. 22, 2019",7.21%
"Jan. 18, 2019",7.10%
"Jan. 17, 2019",7.18%
"Jan. 16, 2019",7.23%
"Jan. 15, 2019",7.23%
"Jan. 14, 2019",7.23%
"Jan. 11, 2019",7.22%
"Jan. 10, 2019",7.19%
"Jan. 9, 2019",7.15%
"Jan. 8, 2019",7.19%
"Jan. 7, 2019",7.24%
"Jan. 4, 2019",7.28%
"Jan. 3, 2019",7.55%
"Jan. 2, 2019",7.44%
"Dec. 31, 2018",7.60%
"Dec. 28, 2018",6.72%
"Dec. 27, 2018",6.65%
"Dec. 26, 2018",6.68%
"Dec. 24, 2018",7.00%
"Dec. 21, 2018",6.73%
"Dec. 20, 2018",6.68%
"Dec. 19, 2018",6.48%
"Dec. 18, 2018",6.37%
"Dec. 17, 2018",6.19%
"Dec. 14, 2018",6.07%
"Dec. 13, 2018",5.96%
"Dec. 12, 2018",6.03%
"Dec. 11, 2018",5.98%
"Dec. 10, 2018",5.99%
"Dec. 7, 2018",5.90%
"Dec. 6, 2018",5.85%
"Dec. 4, 2018",5.77%
"Dec. 3, 2018",5.64%
"Nov. 30, 2018",5.77%
"Nov. 29, 2018",5.80%
"Nov. 28, 2018",5.84%
"Nov. 27, 2018",5.95%
"Nov. 26, 2018",5.96%
"Nov. 23, 2018",6.07%
"Nov. 21, 2018",5.91%
"Nov. 20, 2018",5.96%
"Nov. 19, 2018",5.79%
"Nov. 16, 2018",5.81%
