date,revenue_per_employee_annual
"Dec. 31, 2019",3.504M
"Dec. 31, 2018",3.929M
"Dec. 31, 2017",3.296M
"Dec. 31, 2016",2.745M
"Dec. 31, 2015",3.224M
"Dec. 31, 2014",5.244M
"Dec. 31, 2013",5.541M
"Dec. 31, 2012",5.131M
"Dec. 31, 2011",4.606M
"Dec. 31, 2010",3.586M
"Dec. 31, 2009",3.324M
"Dec. 31, 2008",5.803M
"Dec. 31, 2007",4.858M
"Dec. 31, 2006",4.013M
"Dec. 31, 2005",3.861M
"Dec. 31, 2004",3.422M
"Dec. 31, 2003",2.729M
"Dec. 31, 2002",2.148M
"Dec. 31, 2001",2.155M
"Dec. 31, 2000",2.245M
"Dec. 31, 1999",1.964M
"Dec. 31, 1998",2.083M
"Dec. 31, 1997",2.221M
"Dec. 31, 1996",1.450M
"Dec. 31, 1995",1.284M
"Dec. 31, 1994",1.126M
"Dec. 31, 1993",1.052M
"Dec. 31, 1992",1.053M
"Dec. 31, 1991",1.013M
"Dec. 31, 1990",1.045M
