date,asset_utilization
"Dec. 31, 2019",0.7159
"Sept. 30, 2019",0.7338
"June 30, 2019",0.7687
"March 31, 2019",0.7852
"Dec. 31, 2018",0.7994
"Sept. 30, 2018",0.7895
"June 30, 2018",0.7521
"March 31, 2018",0.7096
"Dec. 31, 2017",0.6912
"Sept. 30, 2017",0.6219
"June 30, 2017",0.6169
"March 31, 2017",0.6179
"Dec. 31, 2016",0.593
"Sept. 30, 2016",0.5825
"June 30, 2016",0.6055
"March 31, 2016",0.6492
"Dec. 31, 2015",0.698
"Sept. 30, 2015",0.8236
"June 30, 2015",0.9223
"March 31, 2015",1.018
"Dec. 31, 2014",1.119
"Sept. 30, 2014",1.183
"June 30, 2014",1.206
"March 31, 2014",1.211
"Dec. 31, 2013",1.231
"Sept. 30, 2013",1.249
"June 30, 2013",1.270
"March 31, 2013",1.296
"Dec. 31, 2012",1.350
"Sept. 30, 2012",1.372
"June 30, 2012",1.411
"March 31, 2012",1.447
"Dec. 31, 2011",1.457
"Sept. 30, 2011",1.440
"June 30, 2011",1.378
"March 31, 2011",1.348
"Dec. 31, 2010",1.351
"Sept. 30, 2010",1.382
"June 30, 2010",1.417
"March 31, 2010",1.432
"Dec. 31, 2009",1.347
"Sept. 30, 2009",1.298
"June 30, 2009",1.484
"March 31, 2009",1.702
"Dec. 31, 2008",1.886
"Sept. 30, 2008",1.975
"June 30, 2008",1.887
"March 31, 2008",1.789
"Dec. 31, 2007",1.721
"Sept. 30, 2007",1.670
"June 30, 2007",1.682
"March 31, 2007",1.704
"Dec. 31, 2006",1.735
"Sept. 30, 2006",1.793
"June 30, 2006",1.836
"March 31, 2006",1.820
"Dec. 31, 2005",1.824
"Sept. 30, 2005",1.782
"June 30, 2005",1.709
"March 31, 2005",1.653
"Dec. 31, 2004",1.623
"Sept. 30, 2004",1.577
"June 30, 2004",1.522
"March 31, 2004",1.476
"Dec. 31, 2003",1.502
"Sept. 30, 2003",1.487
"June 30, 2003",1.486
"March 31, 2003",1.490
"Dec. 31, 2002",1.390
"Sept. 30, 2002",1.337
"June 30, 2002",1.357
"March 31, 2002",1.393
"Dec. 31, 2001",1.474
"Sept. 30, 2001",1.701
"June 30, 2001",1.675
"March 31, 2001",1.64
"Dec. 31, 2000",1.584
"Sept. 30, 2000",1.599
"June 30, 2000",1.677
"March 31, 2000",1.742
"Dec. 31, 1999",1.629
"Sept. 30, 1999",2.011
"June 30, 1999",1.828
"March 31, 1999",1.69
"Dec. 31, 1998",1.636
"Sept. 30, 1998",1.745
"June 30, 1998",1.791
"March 31, 1998",1.818
"Dec. 31, 1997",1.812
"Sept. 30, 1997",1.254
"June 30, 1997",1.270
"March 31, 1997",1.268
"Dec. 31, 1996",1.254
"Sept. 30, 1996",1.207
"June 30, 1996",1.190
"March 31, 1996",1.192
"Dec. 31, 1995",1.193
"Sept. 30, 1995",1.198
"June 30, 1995",1.199
"March 31, 1995",1.176
"Dec. 31, 1994",1.158
"Sept. 30, 1994",1.142
"June 30, 1994",1.132
"March 31, 1994",1.141
"Dec. 31, 1993",1.155
"Sept. 30, 1993",1.174
"June 30, 1993",1.20
"March 31, 1993",1.198
"Dec. 31, 1992",1.194
"Sept. 30, 1992",1.198
"June 30, 1992",1.179
"March 31, 1992",1.186
"Dec. 31, 1991",1.209
"Sept. 30, 1991",1.269
"June 30, 1991",1.297
"March 31, 1991",1.286
"Dec. 31, 1990",1.250
"Sept. 30, 1990",1.178
"June 30, 1990",1.131
"March 31, 1990",1.137
"Dec. 31, 1989",1.152
