date,sustainable_growth_rate
"Dec. 31, 2019",7.46%
"Sept. 30, 2019",6.82%
"June 30, 2019",7.02%
"March 31, 2019",6.89%
"Dec. 31, 2018",6.84%
"Sept. 30, 2018",8.81%
"June 30, 2018",9.40%
"March 31, 2018",9.58%
"Dec. 31, 2017",8.24%
"Sept. 30, 2017",5.41%
"June 30, 2017",5.21%
"March 31, 2017",6.04%
"Dec. 31, 2016",6.81%
"Sept. 30, 2016",6.37%
"June 30, 2016",6.96%
"March 31, 2016",6.85%
"Dec. 31, 2015",7.50%
"Sept. 30, 2015",8.61%
"June 30, 2015",8.45%
"March 31, 2015",8.39%
"Dec. 31, 2014",7.58%
"Sept. 30, 2014",7.47%
"June 30, 2014",8.01%
"March 31, 2014",8.10%
"Dec. 31, 2013",7.34%
"Sept. 30, 2013",7.64%
"June 30, 2013",7.57%
"March 31, 2013",8.04%
"Dec. 31, 2012",6.63%
"Sept. 30, 2012",6.03%
"June 30, 2012",5.83%
"March 31, 2012",5.32%
"Dec. 31, 2011",6.76%
"Sept. 30, 2011",6.58%
"June 30, 2011",6.40%
"March 31, 2011",6.49%
"Dec. 31, 2010",6.83%
"Sept. 30, 2010",7.30%
"June 30, 2010",7.80%
"March 31, 2010",7.58%
"Dec. 31, 2009",5.50%
"Sept. 30, 2009",5.12%
"June 30, 2009",4.63%
"March 31, 2009",5.43%
"Dec. 31, 2008",4.70%
"Sept. 30, 2008",4.59%
"June 30, 2008",4.74%
"March 31, 2008",4.74%
"Dec. 31, 2007",5.27%
"Sept. 30, 2007",5.67%
"June 30, 2007",5.92%
"March 31, 2007",6.17%
"Dec. 31, 2006",4.86%
"Sept. 30, 2006",5.49%
"June 30, 2006",5.59%
"March 31, 2006",5.37%
"Dec. 31, 2005",5.69%
"Sept. 30, 2005",6.08%
"June 30, 2005",5.51%
"March 31, 2005",5.42%
"Dec. 31, 2004",5.06%
"Sept. 30, 2004",3.16%
"June 30, 2004",4.25%
"March 31, 2004",4.50%
"Dec. 31, 2003",5.45%
"Sept. 30, 2003",3.33%
"June 30, 2003",2.75%
"March 31, 2003",2.49%
"Dec. 31, 2002",-2.37%
"Sept. 30, 2002",-2.10%
"June 30, 2002",-1.68%
"March 31, 2002",-1.42%
"Dec. 31, 2001",2.21%
"Sept. 30, 2001",4.14%
"June 30, 2001",3.65%
"March 31, 2001",3.25%
"Dec. 31, 2000",3.90%
"Sept. 30, 2000",5.32%
"June 30, 2000",5.72%
"March 31, 2000",6.81%
"Dec. 31, 1999",5.75%
"Sept. 30, 1999",4.30%
"June 30, 1999",3.62%
"March 31, 1999",2.99%
"Dec. 31, 1998",1.80%
"Sept. 30, 1998",2.23%
"June 30, 1998",3.78%
"March 31, 1998",4.68%
"Dec. 31, 1997",4.01%
"Sept. 30, 1997",3.31%
"June 30, 1997",3.54%
"March 31, 1997",4.01%
"Dec. 31, 1996",10.04%
"Sept. 30, 1996",11.46%
"June 30, 1996",16.12%
"March 31, 1996",17.09%
"Dec. 31, 1995",12.17%
"Sept. 30, 1995",9.72%
"June 30, 1995",6.78%
"March 31, 1995",4.49%
"Dec. 31, 1994",4.57%
"Sept. 30, 1994",8.05%
