date,revenue_per_employee_annual
"Dec. 31, 2019",494947.4
"Dec. 31, 2018",508626.6
"Dec. 31, 2017",486629.9
"Dec. 31, 2016",575054.8
"Dec. 31, 2015",579487.7
"Dec. 31, 2014",625497.2
"Dec. 31, 2013",562412.7
"Dec. 31, 2012",541755.7
"Dec. 31, 2011",578584.1
"Dec. 31, 2010",573502.3
"Dec. 31, 2009",446116.2
"Dec. 31, 2008",652727.9
"Dec. 31, 2007",585683.7
"Dec. 31, 2006",537673.4
"Dec. 31, 2005",540601.5
"Dec. 31, 2004",405365.5
"Dec. 31, 2003",316378.3
"Dec. 31, 2002",232799.5
"Dec. 31, 2001",280127.0
"Dec. 31, 2000",283432.3
"Dec. 31, 1999",472188.1
"Dec. 31, 1998",430480.7
"Dec. 31, 1997",605442.2
"Dec. 31, 1996",772956.9
"Dec. 31, 1995",341374.0
"Dec. 31, 1994",305263.2
"Dec. 31, 1993",267185.1
"Dec. 31, 1992",241719.7
"Dec. 31, 1991",223003.2
"Dec. 31, 1990",272755.9
