date,graham_number
"Dec. 31, 2019",55.16
"Sept. 30, 2019",52.29
"June 30, 2019",52.28
"March 31, 2019",51.46
"Dec. 31, 2018",49.57
"Sept. 30, 2018",52.58
"June 30, 2018",53.10
"March 31, 2018",52.85
"Dec. 31, 2017",48.75
"Sept. 30, 2017",41.44
"June 30, 2017",40.34
"March 31, 2017",41.48
"Dec. 31, 2016",42.03
"Sept. 30, 2016",40.42
"June 30, 2016",39.08
"March 31, 2016",38.04
"Dec. 31, 2015",38.02
"Sept. 30, 2015",38.66
"June 30, 2015",37.82
"March 31, 2015",36.33
"Dec. 31, 2014",33.89
"Sept. 30, 2014",33.54
"June 30, 2014",33.89
"March 31, 2014",33.42
"Dec. 31, 2013",31.36
"Sept. 30, 2013",30.91
"June 30, 2013",30.55
"March 31, 2013",30.80
"Dec. 31, 2012",28.20
"Sept. 30, 2012",26.99
"June 30, 2012",26.60
"March 31, 2012",25.75
"Dec. 31, 2011",26.92
"Sept. 30, 2011",26.37
"June 30, 2011",26.02
"March 31, 2011",25.89
"Dec. 31, 2010",25.51
"Sept. 30, 2010",25.31
"June 30, 2010",24.77
"March 31, 2010",23.61
"Dec. 31, 2009",21.91
"Sept. 30, 2009",19.55
"June 30, 2009",19.31
"March 31, 2009",20.10
"Dec. 31, 2008",18.90
"Sept. 30, 2008",18.73
"June 30, 2008",18.80
"March 31, 2008",18.55
"Dec. 31, 2007",18.51
"Sept. 30, 2007",18.48
"June 30, 2007",18.34
"March 31, 2007",18.18
"Dec. 31, 2006",16.86
"Sept. 30, 2006",16.28
"June 30, 2006",16.46
"March 31, 2006",16.23
"Dec. 31, 2005",15.97
"Sept. 30, 2005",15.48
"June 30, 2005",15.72
"March 31, 2005",15.63
"Dec. 31, 2004",14.83
"Sept. 30, 2004",13.89
"June 30, 2004",13.88
"March 31, 2004",14.24
"Dec. 31, 2003",14.49
"Sept. 30, 2003",16.06
"June 30, 2003",16.23
"March 31, 2003",15.96
"Dec. 31, 2002",12.86
"Sept. 30, 2002",9.193
"June 30, 2002",9.614
"March 31, 2002",9.798
"Dec. 31, 2001",12.25
"Sept. 30, 2001",13.33
"June 30, 2001",13.19
"March 31, 2001",12.96
"Dec. 31, 2000",12.94
"Sept. 30, 2000",13.46
"June 30, 2000",13.93
"March 31, 2000",14.43
"Dec. 31, 1999",13.46
"Sept. 30, 1999",12.56
"June 30, 1999",12.30
"March 31, 1999",11.83
"Dec. 31, 1998",10.63
"Sept. 30, 1998",10.71
"June 30, 1998",11.51
"March 31, 1998",12.19
"Dec. 31, 1997",11.96
"Sept. 30, 1997",10.34
"June 30, 1997",10.46
"March 31, 1997",10.27
"Dec. 31, 1996",13.78
"Sept. 30, 1996",13.57
"June 30, 1996",15.55
"March 31, 1996",15.93
"Dec. 31, 1995",13.90
"Sept. 30, 1995",13.75
"June 30, 1995",12.30
"March 31, 1995",11.20
"Dec. 31, 1994",10.88
"Sept. 30, 1994",11.61
"June 30, 1994",11.20
