date,enterprise_value
"March 19, 2020",2.199B
"March 18, 2020",2.203B
"March 17, 2020",2.287B
"March 16, 2020",2.059B
"March 13, 2020",2.271B
"March 12, 2020",2.141B
"March 11, 2020",2.260B
"March 10, 2020",2.272B
"March 9, 2020",2.241B
"March 6, 2020",2.300B
"March 5, 2020",2.280B
"March 4, 2020",2.297B
"March 3, 2020",2.240B
"March 2, 2020",2.225B
"Feb. 28, 2020",2.129B
"Feb. 27, 2020",2.202B
"Feb. 26, 2020",2.284B
"Feb. 25, 2020",2.279B
"Feb. 24, 2020",2.306B
"Feb. 21, 2020",2.338B
"Feb. 20, 2020",2.341B
"Feb. 19, 2020",2.334B
"Feb. 18, 2020",2.358B
"Feb. 14, 2020",2.357B
"Feb. 13, 2020",2.373B
"Feb. 12, 2020",2.335B
"Feb. 11, 2020",2.328B
"Feb. 10, 2020",2.337B
"Feb. 7, 2020",2.331B
"Feb. 6, 2020",2.331B
"Feb. 5, 2020",2.336B
"Feb. 4, 2020",2.335B
"Feb. 3, 2020",2.332B
"Jan. 31, 2020",2.304B
"Jan. 30, 2020",2.318B
"Jan. 29, 2020",2.300B
"Jan. 28, 2020",2.299B
"Jan. 27, 2020",2.300B
"Jan. 24, 2020",2.296B
"Jan. 23, 2020",2.286B
"Jan. 22, 2020",2.278B
"Jan. 21, 2020",2.273B
"Jan. 17, 2020",2.288B
"Jan. 16, 2020",2.293B
"Jan. 15, 2020",2.271B
"Jan. 14, 2020",2.253B
"Jan. 13, 2020",2.249B
"Jan. 10, 2020",2.231B
"Jan. 9, 2020",2.226B
"Jan. 8, 2020",2.223B
"Jan. 7, 2020",2.245B
"Jan. 6, 2020",2.258B
"Jan. 3, 2020",2.276B
"Jan. 2, 2020",2.276B
"Dec. 31, 2019",2.298B
"Dec. 30, 2019",2.233B
"Dec. 27, 2019",2.232B
"Dec. 26, 2019",2.232B
"Dec. 24, 2019",2.246B
"Dec. 23, 2019",2.254B
"Dec. 20, 2019",2.271B
"Dec. 19, 2019",2.259B
"Dec. 18, 2019",2.264B
"Dec. 17, 2019",2.243B
"Dec. 16, 2019",2.229B
"Dec. 13, 2019",2.214B
"Dec. 12, 2019",2.223B
"Dec. 11, 2019",2.240B
"Dec. 10, 2019",2.226B
"Dec. 9, 2019",2.189B
"Dec. 6, 2019",2.198B
"Dec. 5, 2019",2.198B
"Dec. 4, 2019",2.191B
"Dec. 3, 2019",2.172B
"Dec. 2, 2019",2.166B
"Nov. 29, 2019",2.167B
"Nov. 27, 2019",2.181B
"Nov. 26, 2019",2.164B
"Nov. 25, 2019",2.167B
"Nov. 22, 2019",2.156B
"Nov. 21, 2019",2.138B
"Nov. 20, 2019",2.148B
"Nov. 19, 2019",2.154B
"Nov. 18, 2019",2.143B
"Nov. 15, 2019",2.140B
"Nov. 14, 2019",2.143B
"Nov. 13, 2019",2.134B
"Nov. 12, 2019",2.112B
"Nov. 11, 2019",2.100B
"Nov. 8, 2019",2.116B
"Nov. 7, 2019",2.135B
"Nov. 6, 2019",2.162B
"Nov. 5, 2019",2.150B
"Nov. 4, 2019",2.167B
"Nov. 1, 2019",2.222B
"Oct. 31, 2019",2.227B
"Oct. 30, 2019",2.232B
"Oct. 29, 2019",2.206B
"Oct. 28, 2019",2.206B
"Oct. 25, 2019",2.221B
"Oct. 24, 2019",2.223B
