date,capex_ttm
"Dec. 31, 2019",184.73M
"Sept. 30, 2019",208.26M
"June 30, 2019",203.98M
"March 31, 2019",220.45M
"Dec. 31, 2018",240.35M
"Sept. 30, 2018",216.60M
"June 30, 2018",213.51M
"March 31, 2018",196.27M
"Dec. 31, 2017",175.33M
"Sept. 30, 2017",190.41M
"June 30, 2017",185.70M
"March 31, 2017",174.25M
"Dec. 31, 2016",169.86M
"Sept. 30, 2016",155.89M
"June 30, 2016",159.03M
"March 31, 2016",155.90M
"Dec. 31, 2015",143.60M
"Sept. 30, 2015",119.78M
"June 30, 2015",106.06M
"March 31, 2015",98.54M
"Dec. 31, 2014",91.59M
"Sept. 30, 2014",97.65M
"June 30, 2014",98.78M
"March 31, 2014",99.24M
"Dec. 31, 2013",97.12M
"Sept. 30, 2013",90.00M
"June 30, 2013",79.61M
"March 31, 2013",74.44M
"Dec. 31, 2012",72.78M
"Sept. 30, 2012",65.01M
"June 30, 2012",59.86M
"March 31, 2012",53.43M
"Dec. 31, 2011",47.04M
"Sept. 30, 2011",52.81M
"June 30, 2011",53.60M
"March 31, 2011",47.89M
"Dec. 31, 2010",45.64M
"Sept. 30, 2010",33.52M
"June 30, 2010",28.64M
"March 31, 2010",28.99M
"Dec. 31, 2009",27.02M
"Sept. 30, 2009",27.22M
"June 30, 2009",27.77M
"March 31, 2009",30.96M
"Dec. 31, 2008",31.24M
"Sept. 30, 2008",32.12M
"June 30, 2008",30.75M
"March 31, 2008",27.33M
"Dec. 31, 2007",31.28M
"Sept. 30, 2007",43.39M
"June 30, 2007",47.99M
"March 31, 2007",50.25M
"Dec. 31, 2006",48.85M
"Sept. 30, 2006",41.40M
"June 30, 2006",39.06M
"March 31, 2006",36.43M
"Dec. 31, 2005",33.01M
"Sept. 30, 2005",25.68M
"June 30, 2005",22.03M
"March 31, 2005",18.65M
"Dec. 31, 2004",17.81M
"Sept. 30, 2004",16.17M
"June 30, 2004",13.74M
"March 31, 2004",12.54M
"Dec. 31, 2003",11.79M
"Sept. 30, 2003",13.25M
"June 30, 2003",13.91M
"March 31, 2003",13.98M
"Dec. 31, 2002",14.71M
"Sept. 30, 2002",17.87M
"June 30, 2002",23.11M
"March 31, 2002",25.51M
"Dec. 31, 2001",27.41M
"Sept. 30, 2001",26.93M
"June 30, 2001",23.88M
"March 31, 2001",22.84M
"Dec. 31, 2000",21.82M
"Sept. 30, 2000",24.57M
"June 30, 2000",25.45M
"March 31, 2000",25.45M
"Dec. 31, 1999",25.10M
"Sept. 30, 1999",18.00M
"June 30, 1999",14.60M
"March 31, 1999",13.30M
"Dec. 31, 1998",12.00M
"Sept. 30, 1998",10.60M
"June 30, 1998",11.00M
"March 31, 1998",10.60M
"Dec. 31, 1997",12.40M
"Sept. 30, 1997",14.50M
"June 30, 1997",15.00M
"March 31, 1997",15.00M
"Dec. 31, 1996",14.00M
"Sept. 30, 1996",13.00M
"June 30, 1996",10.90M
"March 31, 1996",12.10M
"Dec. 31, 1995",11.70M
"Sept. 30, 1995",12.20M
"June 30, 1995",12.30M
"March 31, 1995",11.00M
"Dec. 31, 1994",10.50M
"Sept. 30, 1994",6.40M
"June 30, 1994",4.10M
"March 31, 1994",1.80M
