date,cash_financing_ttm
"Dec. 31, 2019",84.52M
"Sept. 30, 2019",130.39M
"June 30, 2019",140.22M
"March 31, 2019",148.05M
"Dec. 31, 2018",139.96M
"Sept. 30, 2018",79.72M
"June 30, 2018",105.00M
"March 31, 2018",91.16M
"Dec. 31, 2017",78.24M
"Sept. 30, 2017",86.83M
"June 30, 2017",62.05M
"March 31, 2017",56.82M
"Dec. 31, 2016",67.22M
"Sept. 30, 2016",57.28M
"June 30, 2016",58.29M
"March 31, 2016",77.67M
"Dec. 31, 2015",58.10M
"Sept. 30, 2015",29.38M
"June 30, 2015",20.84M
"March 31, 2015",9.219M
"Dec. 31, 2014",8.52M
"Sept. 30, 2014",26.72M
"June 30, 2014",19.25M
"March 31, 2014",32.82M
"Dec. 31, 2013",41.84M
"Sept. 30, 2013",37.97M
"June 30, 2013",39.60M
"March 31, 2013",9.987M
"Dec. 31, 2012",4.681M
"Sept. 30, 2012",-18.46M
"June 30, 2012",-13.01M
"March 31, 2012",-18.97M
"Dec. 31, 2011",-22.29M
"Sept. 30, 2011",-6.783M
"June 30, 2011",-15.56M
"March 31, 2011",-6.769M
"Dec. 31, 2010",-13.37M
"Sept. 30, 2010",-18.76M
"June 30, 2010",-22.91M
"March 31, 2010",-28.52M
"Dec. 31, 2009",-21.45M
"Sept. 30, 2009",-37.65M
"June 30, 2009",-39.72M
"March 31, 2009",-21.08M
"Dec. 31, 2008",1.711M
"Sept. 30, 2008",14.89M
"June 30, 2008",18.61M
"March 31, 2008",9.980M
"Dec. 31, 2007",3.723M
"Sept. 30, 2007",11.07M
"June 30, 2007",18.72M
"March 31, 2007",24.59M
"Dec. 31, 2006",20.75M
"Sept. 30, 2006",29.81M
"June 30, 2006",22.84M
"March 31, 2006",15.01M
"Dec. 31, 2005",20.36M
"Sept. 30, 2005",-0.0893M
"June 30, 2005",-8.695M
"March 31, 2005",-9.037M
"Dec. 31, 2004",-8.109M
"Sept. 30, 2004",-12.93M
"June 30, 2004",-11.60M
"March 31, 2004",-10.03M
"Dec. 31, 2003",-16.43M
"Sept. 30, 2003",-10.04M
"June 30, 2003",-6.641M
"March 31, 2003",-9.235M
"Dec. 31, 2002",-9.058M
"Sept. 30, 2002",-3.990M
"June 30, 2002",1.139M
"March 31, 2002",3.679M
"Dec. 31, 2001",10.32M
"Sept. 30, 2001",13.43M
"June 30, 2001",14.32M
"March 31, 2001",20.82M
"Dec. 31, 2000",15.70M
"Sept. 30, 2000",15.41M
"June 30, 2000",11.45M
"March 31, 2000",4.120M
"Dec. 31, 1999",6.10M
"Sept. 30, 1999",1.70M
"June 30, 1999",-2.90M
"March 31, 1999",-0.70M
"Dec. 31, 1998",-0.70M
"Sept. 30, 1998",-8.00M
"June 30, 1998",-2.50M
"March 31, 1998",-6.80M
"Dec. 31, 1997",-1.60M
"Sept. 30, 1997",5.90M
"June 30, 1997",3.60M
"March 31, 1997",4.20M
"Dec. 31, 1996",3.70M
"Sept. 30, 1996",0.30M
"June 30, 1996",-1.50M
"March 31, 1996",0.70M
"Dec. 31, 1995",-0.80M
"Sept. 30, 1995",-2.30M
"June 30, 1995",-0.30M
"March 31, 1995",-1.80M
"Dec. 31, 1994",-4.70M
