date,forward_ps_ratio
"March 19, 2020",2.258
"March 18, 2020",2.264
"March 17, 2020",2.394
"March 16, 2020",2.044
"March 13, 2020",2.369
"March 12, 2020",2.170
"March 11, 2020",2.352
"March 10, 2020",2.37
"March 9, 2020",2.323
"March 6, 2020",2.414
"March 5, 2020",2.383
"March 4, 2020",2.409
"March 3, 2020",2.321
"March 2, 2020",2.298
"Feb. 28, 2020",2.151
"Feb. 27, 2020",2.264
"Feb. 26, 2020",2.389
"Feb. 25, 2020",2.381
"Feb. 24, 2020",2.423
"Feb. 21, 2020",2.472
"Feb. 20, 2020",2.476
"Feb. 19, 2020",2.466
"Feb. 18, 2020",2.503
"Feb. 14, 2020",2.501
"Feb. 13, 2020",2.526
"Feb. 12, 2020",2.467
"Feb. 11, 2020",2.457
"Feb. 10, 2020",2.470
"Feb. 7, 2020",2.462
"Feb. 6, 2020",2.462
"Feb. 5, 2020",2.468
"Feb. 4, 2020",2.467
"Feb. 3, 2020",2.462
"Jan. 31, 2020",2.420
"Jan. 30, 2020",2.441
"Jan. 29, 2020",2.414
"Jan. 28, 2020",2.412
"Jan. 27, 2020",2.413
"Jan. 24, 2020",2.407
"Jan. 23, 2020",2.392
"Jan. 22, 2020",2.380
"Jan. 21, 2020",2.372
"Jan. 17, 2020",2.395
"Jan. 16, 2020",2.404
"Jan. 15, 2020",2.370
"Jan. 14, 2020",2.342
"Jan. 13, 2020",2.336
"Jan. 10, 2020",2.308
"Jan. 9, 2020",2.301
"Jan. 8, 2020",2.296
"Jan. 7, 2020",2.329
"Jan. 6, 2020",2.350
"Jan. 3, 2020",2.376
"Jan. 2, 2020",2.377
"Dec. 31, 2019",2.411
"Dec. 30, 2019",2.127
"Dec. 27, 2019",2.125
"Dec. 26, 2019",2.126
"Dec. 24, 2019",2.145
"Dec. 23, 2019",2.155
"Dec. 20, 2019",2.179
"Dec. 19, 2019",2.162
"Dec. 18, 2019",2.169
"Dec. 17, 2019",2.140
"Dec. 16, 2019",2.121
"Dec. 13, 2019",2.101
"Dec. 12, 2019",2.113
"Dec. 11, 2019",2.137
"Dec. 10, 2019",2.117
"Dec. 9, 2019",2.066
"Dec. 6, 2019",2.079
"Dec. 5, 2019",2.079
"Dec. 4, 2019",2.069
"Dec. 3, 2019",2.044
"Dec. 2, 2019",2.035
"Nov. 29, 2019",2.037
"Nov. 27, 2019",2.056
"Nov. 26, 2019",2.033
"Nov. 25, 2019",2.037
"Nov. 22, 2019",2.021
"Nov. 21, 2019",1.997
"Nov. 20, 2019",2.011
"Nov. 19, 2019",2.019
"Nov. 18, 2019",2.004
"Nov. 15, 2019",2.001
"Nov. 14, 2019",2.004
"Nov. 13, 2019",1.992
"Nov. 12, 2019",1.962
"Nov. 11, 2019",1.946
"Nov. 8, 2019",1.967
"Nov. 7, 2019",1.993
"Nov. 6, 2019",2.030
"Nov. 5, 2019",2.014
"Nov. 4, 2019",2.037
"Nov. 1, 2019",2.112
"Oct. 31, 2019",2.118
"Oct. 30, 2019",2.125
"Oct. 29, 2019",2.090
"Oct. 28, 2019",2.090
"Oct. 25, 2019",2.110
"Oct. 24, 2019",2.113
"Oct. 23, 2019",2.085
"Oct. 22, 2019",2.085
"Oct. 21, 2019",2.090
"Oct. 18, 2019",2.085
"Oct. 17, 2019",2.089
"Oct. 16, 2019",2.056
"Oct. 15, 2019",2.055
"Oct. 14, 2019",2.084
"Oct. 11, 2019",2.099
"Oct. 10, 2019",2.090
"Oct. 9, 2019",2.101
"Oct. 8, 2019",2.088
"Oct. 7, 2019",2.118
"Oct. 4, 2019",2.119
"Oct. 3, 2019",2.105
"Oct. 2, 2019",2.101
"Oct. 1, 2019",2.118
"Sept. 30, 2019",2.130
"Sept. 27, 2019",2.134
"Sept. 26, 2019",2.126
"Sept. 25, 2019",2.142
"Sept. 24, 2019",2.102
"Sept. 23, 2019",2.089
"Sept. 20, 2019",2.103
"Sept. 19, 2019",2.109
"Sept. 18, 2019",2.098
"Sept. 17, 2019",2.096
"Sept. 16, 2019",2.092
"Sept. 13, 2019",2.088
"Sept. 12, 2019",2.092
"Sept. 11, 2019",2.103
"Sept. 10, 2019",2.070
"Sept. 9, 2019",2.080
"Sept. 6, 2019",2.105
"Sept. 5, 2019",2.135
"Sept. 4, 2019",2.134
"Sept. 3, 2019",2.122
"Aug. 30, 2019",2.114
"Aug. 29, 2019",2.108
"Aug. 28, 2019",2.083
"Aug. 27, 2019",2.079
"Aug. 26, 2019",2.103
"Aug. 23, 2019",2.073
"Aug. 22, 2019",2.114
"Aug. 21, 2019",2.114
"Aug. 20, 2019",2.108
"Aug. 19, 2019",2.124
"Aug. 16, 2019",2.128
"Aug. 15, 2019",2.083
"Aug. 14, 2019",2.056
"Aug. 13, 2019",2.072
"Aug. 12, 2019",2.063
"Aug. 9, 2019",2.043
"Aug. 8, 2019",2.076
"Aug. 7, 2019",2.036
"Aug. 6, 2019",2.036
"Aug. 5, 2019",2.029
"Aug. 2, 2019",2.099
"Aug. 1, 2019",2.102
"July 31, 2019",2.088
"July 30, 2019",2.105
"July 29, 2019",2.083
"July 26, 2019",2.074
"July 25, 2019",2.027
"July 24, 2019",2.050
"July 23, 2019",2.041
"July 22, 2019",2.020
"July 19, 2019",2.035
"July 18, 2019",2.061
"July 17, 2019",2.065
"July 16, 2019",2.050
"July 15, 2019",2.071
"July 12, 2019",2.077
"July 11, 2019",2.095
"July 10, 2019",2.105
"July 9, 2019",2.139
"July 8, 2019",2.126
"July 5, 2019",2.120
"July 3, 2019",2.119
"July 2, 2019",2.112
"July 1, 2019",2.078
"June 30, 2019",
"June 28, 2019",2.122
"June 27, 2019",2.075
"June 26, 2019",2.052
"June 25, 2019",2.115
"June 24, 2019",2.112
"June 21, 2019",2.111
"June 20, 2019",2.133
"June 19, 2019",2.116
"June 18, 2019",2.076
"June 17, 2019",2.092
"June 14, 2019",2.092
"June 13, 2019",2.094
"June 12, 2019",2.115
"June 11, 2019",2.051
"June 10, 2019",2.069
"June 7, 2019",2.094
"June 6, 2019",2.091
"June 5, 2019",2.101
"June 4, 2019",2.072
"June 3, 2019",2.070
"May 31, 2019",2.028
"May 30, 2019",1.999
"May 29, 2019",2.021
"May 28, 2019",2.071
"May 24, 2019",2.100
"May 23, 2019",2.105
"May 22, 2019",2.099
"May 21, 2019",2.085
"May 20, 2019",2.074
"May 17, 2019",2.098
"May 16, 2019",2.104
"May 15, 2019",2.086
"May 14, 2019",2.096
"May 13, 2019",2.128
"May 10, 2019",2.099
"May 9, 2019",2.057
"May 8, 2019",2.080
"May 7, 2019",2.06
"May 6, 2019",2.113
"May 3, 2019",2.104
"May 2, 2019",2.042
"May 1, 2019",2.054
"April 30, 2019",2.069
"April 29, 2019",2.055
"April 26, 2019",2.059
"April 25, 2019",2.066
"April 24, 2019",2.064
"April 23, 2019",2.035
"April 22, 2019",2.018
"April 18, 2019",2.019
"April 17, 2019",2.015
"April 16, 2019",2.044
"April 15, 2019",2.070
"April 12, 2019",2.064
"April 11, 2019",2.059
"April 10, 2019",2.053
"April 9, 2019",2.033
"April 8, 2019",2.031
"April 5, 2019",2.068
"April 4, 2019",2.019
"April 3, 2019",2.03
"April 2, 2019",1.994
"April 1, 2019",2.018
"March 31, 2019",
"March 29, 2019",2.037
"March 28, 2019",2.036
"March 27, 2019",2.070
"March 26, 2019",2.073
"March 25, 2019",2.066
"March 22, 2019",2.059
"March 21, 2019",2.082
"March 20, 2019",2.051
"March 19, 2019",2.046
"March 18, 2019",2.074
"March 15, 2019",2.063
"March 14, 2019",2.075
"March 13, 2019",2.088
"March 12, 2019",2.095
"March 11, 2019",2.093
"March 8, 2019",2.056
"March 7, 2019",2.033
"March 6, 2019",2.027
"March 5, 2019",2.056
"March 4, 2019",2.067
"March 1, 2019",2.026
"Feb. 28, 2019",2.008
"Feb. 27, 2019",2.016
"Feb. 26, 2019",2.024
"Feb. 25, 2019",2.035
"Feb. 22, 2019",2.055
