date,long_term_debt
"Dec. 31, 2019",440.17M
"Sept. 30, 2019",375.81M
"June 30, 2019",275.92M
"March 31, 2019",286.00M
"Dec. 31, 2018",316.02M
"Sept. 30, 2018",241.60M
"June 30, 2018",241.60M
"March 31, 2018",222.01M
"Dec. 31, 2017",197.40M
"Sept. 30, 2017",201.25M
"June 30, 2017",201.59M
"March 31, 2017",136.54M
"Dec. 31, 2016",136.95M
"Sept. 30, 2016",143.52M
"June 30, 2016",143.86M
"March 31, 2016",148.60M
"Dec. 31, 2015",149.01M
"Sept. 30, 2015",155.91M
"June 30, 2015",156.25M
"March 31, 2015",158.08M
"Dec. 31, 2014",158.49M
"Sept. 30, 2014",165.04M
"June 30, 2014",165.37M
"March 31, 2014",117.20M
"Dec. 31, 2013",117.59M
"Sept. 30, 2013",107.34M
"June 30, 2013",107.67M
"March 31, 2013",100.95M
"Dec. 31, 2012",101.91M
"Sept. 30, 2012",108.72M
"June 30, 2012",108.76M
"March 31, 2012",110.24M
"Dec. 31, 2011",110.28M
"Sept. 30, 2011",117.07M
"June 30, 2011",117.12M
"March 31, 2011",89.56M
"Dec. 31, 2010",89.64M
"Sept. 30, 2010",97.49M
"June 30, 2010",97.56M
"March 31, 2010",98.99M
"Dec. 31, 2009",98.81M
"Sept. 30, 2009",86.28M
"June 30, 2009",86.31M
"March 31, 2009",86.36M
"Dec. 31, 2008",86.42M
"Sept. 30, 2008",63.14M
"June 30, 2008",63.18M
"March 31, 2008",63.22M
"Dec. 31, 2007",63.26M
"Sept. 30, 2007",69.91M
"June 30, 2007",69.96M
"March 31, 2007",69.98M
"Dec. 31, 2006",71.05M
"Sept. 30, 2006",56.79M
"June 30, 2006",57.81M
"March 31, 2006",57.88M
"Dec. 31, 2005",58.99M
"Sept. 30, 2005",62.08M
"June 30, 2005",63.01M
"March 31, 2005",65.13M
"Dec. 31, 2004",66.19M
"Sept. 30, 2004",68.15M
"June 30, 2004",68.21M
"March 31, 2004",68.27M
"Dec. 31, 2003",69.42M
"Sept. 30, 2003",71.78M
"June 30, 2003",71.91M
"March 31, 2003",72.35M
"Dec. 31, 2002",73.41M
"Sept. 30, 2002",75.99M
"June 30, 2002",46.01M
"March 31, 2002",46.39M
"Dec. 31, 2001",48.41M
"Sept. 30, 2001",49.75M
"June 30, 2001",49.77M
"March 31, 2001",49.90M
"Dec. 31, 2000",50.92M
"Sept. 30, 2000",31.35M
"June 30, 2000",32.30M
"March 31, 2000",32.73M
"Dec. 31, 1999",33.80M
"Sept. 30, 1999",35.10M
"June 30, 1999",35.20M
"March 31, 1999",36.60M
"Dec. 31, 1998",37.60M
"Sept. 30, 1998",37.90M
"June 30, 1998",37.90M
"March 31, 1998",38.20M
"Dec. 31, 1997",38.20M
"Sept. 30, 1997",28.60M
"June 30, 1997",28.60M
"March 31, 1997",28.90M
"Dec. 31, 1996",29.00M
"Sept. 30, 1996",29.30M
"June 30, 1996",29.40M
"March 31, 1996",29.70M
"Dec. 31, 1995",29.80M
"Sept. 30, 1995",26.10M
"June 30, 1995",23.90M
"March 31, 1995",24.30M
"Dec. 31, 1994",24.30M
"Sept. 30, 1994",25.20M
"June 30, 1994",25.30M
"March 31, 1994",25.60M
