date,total_employee_number
"Dec. 31, 2019",955
"Dec. 31, 2018",983
"Dec. 31, 2017",945
"Dec. 31, 2016",903
"Dec. 31, 2015",832
"Dec. 31, 2014",753
"Dec. 31, 2013",842
"Dec. 31, 2012",738
"Dec. 31, 2011",711
"Dec. 31, 2010",734
"Dec. 31, 2009",757
"Dec. 31, 2008",448
"Dec. 31, 2007",445
"Dec. 31, 2006",437
"Dec. 31, 2005",423
"Dec. 31, 2004",426
"Dec. 31, 2003",452
"Dec. 31, 2002",582
"Dec. 31, 2001",580
"Dec. 31, 2000",542
"Dec. 31, 1999",522
"Dec. 31, 1998",456
"Dec. 31, 1997",397
"Dec. 31, 1996",338
"Dec. 31, 1995",335
"Dec. 31, 1994",320
"Dec. 31, 1993",326
"Dec. 31, 1992",317
"Dec. 31, 1991",311
"Dec. 31, 1990",315
"Dec. 31, 1989",320
