date,cash_operations_ttm
"Dec. 31, 2019",102.96M
"Sept. 30, 2019",93.30M
"June 30, 2019",83.58M
"March 31, 2019",91.18M
"Dec. 31, 2018",117.36M
"Sept. 30, 2018",139.71M
"June 30, 2018",122.07M
"March 31, 2018",116.81M
"Dec. 31, 2017",110.09M
"Sept. 30, 2017",116.78M
"June 30, 2017",122.85M
"March 31, 2017",119.96M
"Dec. 31, 2016",104.14M
"Sept. 30, 2016",96.52M
"June 30, 2016",101.98M
"March 31, 2016",86.52M
"Dec. 31, 2015",104.72M
"Sept. 30, 2015",102.62M
"June 30, 2015",95.55M
"March 31, 2015",89.98M
"Dec. 31, 2014",73.71M
"Sept. 30, 2014",71.52M
"June 30, 2014",77.43M
"March 31, 2014",83.83M
"Dec. 31, 2013",72.93M
"Sept. 30, 2013",68.60M
"June 30, 2013",59.94M
"March 31, 2013",67.25M
"Dec. 31, 2012",66.64M
"Sept. 30, 2012",82.81M
"June 30, 2012",71.79M
"March 31, 2012",71.40M
"Dec. 31, 2011",71.12M
"Sept. 30, 2011",59.10M
"June 30, 2011",64.19M
"March 31, 2011",48.99M
"Dec. 31, 2010",61.12M
"Sept. 30, 2010",53.14M
"June 30, 2010",55.99M
"March 31, 2010",61.16M
"Dec. 31, 2009",45.80M
"Sept. 30, 2009",62.57M
"June 30, 2009",65.72M
"March 31, 2009",52.29M
"Dec. 31, 2008",28.54M
"Sept. 30, 2008",19.41M
"June 30, 2008",14.71M
"March 31, 2008",16.05M
"Dec. 31, 2007",25.68M
"Sept. 30, 2007",30.83M
"June 30, 2007",27.76M
"March 31, 2007",27.29M
"Dec. 31, 2006",30.12M
"Sept. 30, 2006",13.31M
"June 30, 2006",13.38M
"March 31, 2006",16.97M
"Dec. 31, 2005",13.29M
"Sept. 30, 2005",24.69M
"June 30, 2005",24.78M
"March 31, 2005",22.26M
"Dec. 31, 2004",23.46M
"Sept. 30, 2004",25.22M
"June 30, 2004",28.50M
"March 31, 2004",26.28M
"Dec. 31, 2003",22.95M
"Sept. 30, 2003",20.49M
"June 30, 2003",19.33M
"March 31, 2003",23.71M
"Dec. 31, 2002",24.39M
"Sept. 30, 2002",22.77M
"June 30, 2002",21.16M
"March 31, 2002",21.22M
"Dec. 31, 2001",15.45M
"Sept. 30, 2001",11.40M
"June 30, 2001",9.886M
"March 31, 2001",3.725M
"Dec. 31, 2000",8.367M
"Sept. 30, 2000",9.113M
"June 30, 2000",11.83M
"March 31, 2000",16.17M
"Dec. 31, 1999",16.60M
"Sept. 30, 1999",17.40M
"June 30, 1999",19.00M
"March 31, 1999",12.10M
"Dec. 31, 1998",11.00M
"Sept. 30, 1998",15.60M
"June 30, 1998",11.00M
"March 31, 1998",17.00M
"Dec. 31, 1997",11.70M
"Sept. 30, 1997",6.70M
"June 30, 1997",10.40M
"March 31, 1997",11.80M
"Dec. 31, 1996",11.20M
"Sept. 30, 1996",12.80M
"June 30, 1996",13.10M
"March 31, 1996",11.60M
"Dec. 31, 1995",13.00M
"Sept. 30, 1995",13.80M
"June 30, 1995",12.40M
"March 31, 1995",12.80M
"Dec. 31, 1994",14.40M
