date,cash_investing_ttm
"Dec. 31, 2019",-186.59M
"Sept. 30, 2019",-225.59M
"June 30, 2019",-221.07M
"March 31, 2019",-237.25M
"Dec. 31, 2018",-256.85M
"Sept. 30, 2018",-216.61M
"June 30, 2018",-224.98M
"March 31, 2018",-207.67M
"Dec. 31, 2017",-186.90M
"Sept. 30, 2017",-201.76M
"June 30, 2017",-185.74M
"March 31, 2017",-174.40M
"Dec. 31, 2016",-170.04M
"Sept. 30, 2016",-156.04M
"June 30, 2016",-159.11M
"March 31, 2016",-177.04M
"Dec. 31, 2015",-164.54M
"Sept. 30, 2015",-130.50M
"June 30, 2015",-116.81M
"March 31, 2015",-87.82M
"Dec. 31, 2014",-81.01M
"Sept. 30, 2014",-97.75M
"June 30, 2014",-96.36M
"March 31, 2014",-114.47M
"Dec. 31, 2013",-114.78M
"Sept. 30, 2013",-106.83M
"June 30, 2013",-99.07M
"March 31, 2013",-76.68M
"Dec. 31, 2012",-70.60M
"Sept. 30, 2012",-64.08M
"June 30, 2012",-58.87M
"March 31, 2012",-52.37M
"Dec. 31, 2011",-47.84M
"Sept. 30, 2011",-53.28M
"June 30, 2011",-56.05M
"March 31, 2011",-50.37M
"Dec. 31, 2010",-48.92M
"Sept. 30, 2010",-32.38M
"June 30, 2010",-25.45M
"March 31, 2010",-25.79M
"Dec. 31, 2009",-23.14M
"Sept. 30, 2009",-26.82M
"June 30, 2009",-27.57M
"March 31, 2009",-30.83M
"Dec. 31, 2008",-31.24M
"Sept. 30, 2008",-32.59M
"June 30, 2008",-31.04M
"March 31, 2008",-27.42M
"Dec. 31, 2007",-31.30M
"Sept. 30, 2007",-43.36M
"June 30, 2007",-47.94M
"March 31, 2007",-50.37M
"Dec. 31, 2006",-48.86M
"Sept. 30, 2006",-41.38M
"June 30, 2006",-37.78M
"March 31, 2006",-36.28M
"Dec. 31, 2005",-32.77M
"Sept. 30, 2005",-24.89M
"June 30, 2005",-22.46M
"March 31, 2005",-17.81M
"Dec. 31, 2004",-16.85M
"Sept. 30, 2004",-12.74M
"June 30, 2004",-8.980M
"March 31, 2004",-6.904M
"Dec. 31, 2003",-5.864M
"Sept. 30, 2003",-10.11M
"June 30, 2003",-11.75M
"March 31, 2003",-12.81M
"Dec. 31, 2002",-14.06M
"Sept. 30, 2002",-19.27M
"June 30, 2002",-24.88M
"March 31, 2002",-27.28M
"Dec. 31, 2001",-29.19M
"Sept. 30, 2001",-26.93M
"June 30, 2001",-23.88M
"March 31, 2001",-22.84M
"Dec. 31, 2000",-21.82M
"Sept. 30, 2000",-22.37M
"June 30, 2000",-23.25M
"March 31, 2000",-23.25M
"Dec. 31, 1999",-22.90M
"Sept. 30, 1999",-18.50M
"June 30, 1999",-15.10M
"March 31, 1999",-13.80M
"Dec. 31, 1998",-12.50M
"Sept. 30, 1998",-10.60M
"June 30, 1998",-11.00M
"March 31, 1998",-10.60M
"Dec. 31, 1997",-12.40M
"Sept. 30, 1997",-14.60M
"June 30, 1997",-15.10M
"March 31, 1997",-15.10M
"Dec. 31, 1996",-14.10M
"Sept. 30, 1996",-13.00M
"June 30, 1996",-10.90M
"March 31, 1996",-12.00M
"Dec. 31, 1995",-11.70M
"Sept. 30, 1995",-12.10M
"June 30, 1995",-12.20M
"March 31, 1995",-11.00M
"Dec. 31, 1994",-10.40M
