date,tangible_common_equity_ratio
"Dec. 31, 2019",29.89%
"Sept. 30, 2019",30.77%
"June 30, 2019",31.10%
"March 31, 2019",31.01%
"Dec. 31, 2018",29.55%
"Sept. 30, 2018",32.70%
"June 30, 2018",33.64%
"March 31, 2018",34.17%
"Dec. 31, 2017",33.22%
"Sept. 30, 2017",33.12%
"June 30, 2017",35.88%
"March 31, 2017",36.35%
"Dec. 31, 2016",35.40%
"Sept. 30, 2016",37.50%
"June 30, 2016",33.56%
"March 31, 2016",33.53%
"Dec. 31, 2015",32.49%
"Sept. 30, 2015",33.83%
"June 30, 2015",34.94%
"March 31, 2015",34.25%
"Dec. 31, 2014",32.66%
"Sept. 30, 2014",34.39%
"June 30, 2014",35.50%
"March 31, 2014",34.22%
"Dec. 31, 2013",32.70%
"Sept. 30, 2013",33.17%
"June 30, 2013",33.87%
"March 31, 2013",35.60%
"Dec. 31, 2012",34.35%
"Sept. 30, 2012",35.14%
"June 30, 2012",36.18%
"March 31, 2012",35.13%
"Dec. 31, 2011",33.28%
"Sept. 30, 2011",32.12%
"June 30, 2011",32.03%
"March 31, 2011",32.08%
"Dec. 31, 2010",29.62%
"Sept. 30, 2010",31.92%
"June 30, 2010",33.44%
"March 31, 2010",32.70%
"Dec. 31, 2009",29.72%
"Sept. 30, 2009",35.66%
"June 30, 2009",36.97%
"March 31, 2009",35.99%
"Dec. 31, 2008",31.75%
"Sept. 30, 2008",30.67%
"June 30, 2008",31.15%
"March 31, 2008",33.89%
"Dec. 31, 2007",31.19%
"Sept. 30, 2007",33.13%
"June 30, 2007",36.37%
"March 31, 2007",36.44%
"Dec. 31, 2006",34.03%
"Sept. 30, 2006",29.12%
"June 30, 2006",32.37%
"March 31, 2006",32.67%
"Dec. 31, 2005",28.42%
"Sept. 30, 2005",31.73%
"June 30, 2005",34.80%
"March 31, 2005",34.50%
"Dec. 31, 2004",31.97%
"Sept. 30, 2004",32.86%
"June 30, 2004",35.27%
"March 31, 2004",34.63%
"Dec. 31, 2003",32.55%
"Sept. 30, 2003",32.26%
"June 30, 2003",33.51%
"March 31, 2003",31.68%
"Dec. 31, 2002",29.22%
"Sept. 30, 2002",32.27%
"June 30, 2002",33.68%
"March 31, 2002",33.07%
"Dec. 31, 2001",29.18%
"Sept. 30, 2001",31.39%
"June 30, 2001",35.41%
"March 31, 2001",34.67%
"Dec. 31, 2000",30.36%
"Sept. 30, 2000",34.23%
"June 30, 2000",38.13%
"March 31, 2000",39.60%
"Dec. 31, 1999",36.05%
"Sept. 30, 1999",37.42%
"June 30, 1999",41.08%
"March 31, 1999",41.49%
"Dec. 31, 1998",38.84%
"Sept. 30, 1998",39.47%
"June 30, 1998",42.37%
"March 31, 1998",40.64%
"Dec. 31, 1997",36.86%
"Sept. 30, 1997",36.72%
"June 30, 1997",39.29%
"March 31, 1997",38.28%
"Dec. 31, 1996",34.93%
"Sept. 30, 1996",38.96%
"June 30, 1996",40.91%
"March 31, 1996",39.14%
"Dec. 31, 1995",35.61%
"Sept. 30, 1995",36.31%
"June 30, 1995",36.53%
"March 31, 1995",36.97%
"Dec. 31, 1994",34.26%
"Sept. 30, 1994",34.16%
"June 30, 1994",37.70%
"March 31, 1994",37.53%
