date,cash_on_hand
"Dec. 31, 2019",6.985M
"Sept. 30, 2019",4.32M
"June 30, 2019",7.254M
"March 31, 2019",7.975M
"Dec. 31, 2018",6.089M
"Sept. 30, 2018",6.215M
"June 30, 2018",4.512M
"March 31, 2018",5.996M
"Dec. 31, 2017",5.614M
"Sept. 30, 2017",3.386M
"June 30, 2017",2.419M
"March 31, 2017",5.70M
"Dec. 31, 2016",4.178M
"Sept. 30, 2016",1.536M
"June 30, 2016",3.266M
"March 31, 2016",3.315M
"Dec. 31, 2015",2.855M
"Sept. 30, 2015",3.781M
"June 30, 2015",2.104M
"March 31, 2015",16.17M
"Dec. 31, 2014",4.574M
"Sept. 30, 2014",2.285M
"June 30, 2014",2.529M
"March 31, 2014",4.791M
"Dec. 31, 2013",3.356M
"Sept. 30, 2013",1.792M
"June 30, 2013",2.21M
"March 31, 2013",2.608M
"Dec. 31, 2012",3.361M
"Sept. 30, 2012",2.046M
"June 30, 2012",1.737M
"March 31, 2012",2.047M
"Dec. 31, 2011",2.637M
"Sept. 30, 2011",1.77M
"June 30, 2011",1.828M
"March 31, 2011",1.984M
"Dec. 31, 2010",1.643M
"Sept. 30, 2010",2.753M
"June 30, 2010",9.266M
"March 31, 2010",10.15M
"Dec. 31, 2009",2.818M
"Sept. 30, 2009",0.728M
"June 30, 2009",1.614M
"March 31, 2009",3.277M
"Dec. 31, 2008",1.611M
"Sept. 30, 2008",2.619M
"June 30, 2008",3.184M
"March 31, 2008",2.889M
"Dec. 31, 2007",2.593M
"Sept. 30, 2007",0.9047M
"June 30, 2007",0.9088M
"March 31, 2007",4.276M
"Dec. 31, 2006",4.488M
"Sept. 30, 2006",2.351M
"June 30, 2006",2.366M
"March 31, 2006",2.767M
"Dec. 31, 2005",2.488M
"Sept. 30, 2005",0.6061M
"June 30, 2005",3.919M
"March 31, 2005",7.064M
"Dec. 31, 2004",1.612M
"Sept. 30, 2004",0.8964M
"June 30, 2004",10.29M
"March 31, 2004",11.65M
"Dec. 31, 2003",3.108M
"Sept. 30, 2003",1.348M
"June 30, 2003",2.374M
"March 31, 2003",2.301M
"Dec. 31, 2002",2.458M
"Sept. 30, 2002",1.018M
"June 30, 2002",1.430M
"March 31, 2002",0.634M
"Dec. 31, 2001",1.188M
"Sept. 30, 2001",1.508M
"June 30, 2001",4.008M
"March 31, 2001",3.013M
"Dec. 31, 2000",4.606M
"Sept. 30, 2000",3.614M
"June 30, 2000",2.404M
"March 31, 2000",1.299M
"Dec. 31, 1999",2.40M
"Sept. 30, 1999",1.50M
"June 30, 1999",3.70M
"March 31, 1999",4.20M
"Dec. 31, 1998",2.60M
"Sept. 30, 1998",0.90M
"June 30, 1998",2.70M
"March 31, 1998",2.90M
"Dec. 31, 1997",4.80M
"Sept. 30, 1997",1.50M
"June 30, 1997",1.40M
"March 31, 1997",2.20M
"Dec. 31, 1996",2.20M
"Sept. 30, 1996",0.60M
"June 30, 1996",1.00M
"March 31, 1996",0.90M
"Dec. 31, 1995",1.00M
"Sept. 30, 1995",0.50M
"June 30, 1995",0.30M
"March 31, 1995",0.50M
"Dec. 31, 1994",0.40M
"Sept. 30, 1994",1.10M
"June 30, 1994",0.40M
"March 31, 1994",0.50M
