date,net_income_annual_cs_rev
"Dec. 31, 2019",13.58%
"Dec. 31, 2018",11.54%
"Dec. 31, 2017",12.93%
"Dec. 31, 2016",8.96%
"Dec. 31, 2015",8.96%
"Dec. 31, 2014",7.24%
"Dec. 31, 2013",7.38%
"Dec. 31, 2012",7.35%
"Dec. 31, 2011",6.61%
"Dec. 31, 2010",6.09%
"Dec. 31, 2009",5.91%
"Dec. 31, 2008",4.67%
"Dec. 31, 2007",5.11%
"Dec. 31, 2006",4.54%
"Dec. 31, 2005",4.56%
"Dec. 31, 2004",5.30%
"Dec. 31, 2003",5.68%
"Dec. 31, 2002",2.75%
"Dec. 31, 2001",4.26%
"Dec. 31, 2000",4.97%
"Dec. 31, 1999",3.59%
"Dec. 31, 1998",2.89%
"Dec. 31, 1997",2.65%
"Dec. 31, 1996",3.00%
"Dec. 31, 1995",6.80%
"Dec. 31, 1994",4.56%
"Dec. 31, 1993",4.66%
"Dec. 31, 1992",4.74%
"Dec. 31, 1991",3.58%
"Dec. 31, 1990",3.58%
"Dec. 31, 1989",4.49%
"Dec. 31, 1988",4.78%
"Dec. 31, 1987",5.91%
"Dec. 31, 1986",5.03%
"Dec. 31, 1985",6.32%
"Dec. 31, 1984",4.35%
