date,return_on_invested_capital
"Dec. 31, 2019",5.40%
"Sept. 30, 2019",5.24%
"June 30, 2019",5.45%
"March 31, 2019",5.50%
"Dec. 31, 2018",5.58%
"Sept. 30, 2018",6.74%
"June 30, 2018",7.18%
"March 31, 2018",7.45%
"Dec. 31, 2017",6.82%
"Sept. 30, 2017",5.40%
"June 30, 2017",5.32%
"March 31, 2017",5.74%
"Dec. 31, 2016",6.10%
"Sept. 30, 2016",5.91%
"June 30, 2016",6.26%
"March 31, 2016",6.31%
"Dec. 31, 2015",6.74%
"Sept. 30, 2015",7.33%
"June 30, 2015",7.31%
"March 31, 2015",7.38%
"Dec. 31, 2014",6.84%
"Sept. 30, 2014",6.97%
"June 30, 2014",7.35%
"March 31, 2014",7.48%
"Dec. 31, 2013",7.12%
"Sept. 30, 2013",7.53%
"June 30, 2013",7.72%
"March 31, 2013",8.19%
"Dec. 31, 2012",7.28%
"Sept. 30, 2012",6.93%
"June 30, 2012",6.82%
"March 31, 2012",6.43%
"Dec. 31, 2011",7.20%
"Sept. 30, 2011",7.06%
"June 30, 2011",6.98%
"March 31, 2011",6.98%
"Dec. 31, 2010",7.05%
"Sept. 30, 2010",7.43%
"June 30, 2010",7.70%
"March 31, 2010",7.49%
"Dec. 31, 2009",6.05%
"Sept. 30, 2009",5.90%
"June 30, 2009",5.60%
"March 31, 2009",5.93%
"Dec. 31, 2008",5.51%
"Sept. 30, 2008",5.47%
"June 30, 2008",5.57%
"March 31, 2008",5.59%
"Dec. 31, 2007",5.90%
"Sept. 30, 2007",6.02%
"June 30, 2007",6.11%
"March 31, 2007",6.19%
"Dec. 31, 2006",5.43%
"Sept. 30, 2006",5.88%
"June 30, 2006",6.20%
"March 31, 2006",6.26%
"Dec. 31, 2005",6.56%
"Sept. 30, 2005",6.61%
"June 30, 2005",6.72%
"March 31, 2005",6.62%
"Dec. 31, 2004",6.31%
"Sept. 30, 2004",5.67%
"June 30, 2004",5.51%
"March 31, 2004",5.71%
"Dec. 31, 2003",6.16%
"Sept. 30, 2003",5.10%
"June 30, 2003",5.06%
"March 31, 2003",4.78%
"Dec. 31, 2002",2.43%
"Sept. 30, 2002",2.55%
"June 30, 2002",2.76%
"March 31, 2002",2.87%
"Dec. 31, 2001",4.52%
"Sept. 30, 2001",5.56%
"June 30, 2001",5.54%
"March 31, 2001",5.52%
"Dec. 31, 2000",5.96%
"Sept. 30, 2000",6.95%
"June 30, 2000",7.53%
"March 31, 2000",8.23%
"Dec. 31, 1999",7.64%
"Sept. 30, 1999",6.98%
"June 30, 1999",6.61%
"March 31, 1999",6.22%
"Dec. 31, 1998",5.33%
"Sept. 30, 1998",5.65%
"June 30, 1998",6.28%
"March 31, 1998",6.80%
"Dec. 31, 1997",6.17%
"Sept. 30, 1997",5.99%
"June 30, 1997",6.37%
"March 31, 1997",6.29%
"Dec. 31, 1996",9.69%
"Sept. 30, 1996",10.28%
"June 30, 1996",12.89%
"March 31, 1996",13.58%
"Dec. 31, 1995",10.69%
"Sept. 30, 1995",9.39%
"June 30, 1995",7.76%
"March 31, 1995",6.50%
"Dec. 31, 1994",6.53%
"Sept. 30, 1994",7.55%
