date,return_on_assets
"Dec. 31, 2019",3.81%
"Sept. 30, 2019",3.65%
"June 30, 2019",3.76%
"March 31, 2019",3.76%
"Dec. 31, 2018",3.77%
"Sept. 30, 2018",4.53%
"June 30, 2018",4.79%
"March 31, 2018",4.92%
"Dec. 31, 2017",4.48%
"Sept. 30, 2017",3.53%
"June 30, 2017",3.48%
"March 31, 2017",3.75%
"Dec. 31, 2016",3.98%
"Sept. 30, 2016",3.84%
"June 30, 2016",4.03%
"March 31, 2016",4.01%
"Dec. 31, 2015",4.23%
"Sept. 30, 2015",4.59%
"June 30, 2015",4.56%
"March 31, 2015",4.56%
"Dec. 31, 2014",4.24%
"Sept. 30, 2014",4.30%
"June 30, 2014",4.46%
"March 31, 2014",4.45%
"Dec. 31, 2013",4.22%
"Sept. 30, 2013",4.40%
"June 30, 2013",4.45%
"March 31, 2013",4.66%
"Dec. 31, 2012",4.10%
"Sept. 30, 2012",3.92%
"June 30, 2012",3.84%
"March 31, 2012",3.64%
"Dec. 31, 2011",4.12%
"Sept. 30, 2011",4.11%
"June 30, 2011",4.08%
"March 31, 2011",4.13%
"Dec. 31, 2010",4.22%
"Sept. 30, 2010",4.53%
"June 30, 2010",4.74%
"March 31, 2010",4.66%
"Dec. 31, 2009",3.84%
"Sept. 30, 2009",3.80%
"June 30, 2009",3.59%
"March 31, 2009",3.82%
"Dec. 31, 2008",3.51%
"Sept. 30, 2008",3.49%
"June 30, 2008",3.59%
"March 31, 2008",3.65%
"Dec. 31, 2007",3.86%
"Sept. 30, 2007",4.01%
"June 30, 2007",4.10%
"March 31, 2007",4.12%
"Dec. 31, 2006",3.56%
"Sept. 30, 2006",3.80%
"June 30, 2006",3.98%
"March 31, 2006",3.97%
"Dec. 31, 2005",4.13%
"Sept. 30, 2005",4.19%
"June 30, 2005",4.34%
"March 31, 2005",4.31%
"Dec. 31, 2004",4.16%
"Sept. 30, 2004",3.82%
"June 30, 2004",3.78%
"March 31, 2004",3.90%
"Dec. 31, 2003",4.24%
"Sept. 30, 2003",3.60%
"June 30, 2003",3.63%
"March 31, 2003",3.48%
"Dec. 31, 2002",1.81%
"Sept. 30, 2002",1.94%
"June 30, 2002",2.08%
"March 31, 2002",2.14%
"Dec. 31, 2001",3.30%
"Sept. 30, 2001",4.01%
"June 30, 2001",3.96%
"March 31, 2001",3.89%
"Dec. 31, 2000",4.19%
"Sept. 30, 2000",4.91%
"June 30, 2000",5.28%
"March 31, 2000",5.75%
"Dec. 31, 1999",5.39%
"Sept. 30, 1999",4.91%
"June 30, 1999",4.69%
"March 31, 1999",4.42%
"Dec. 31, 1998",3.78%
"Sept. 30, 1998",4.00%
"June 30, 1998",4.44%
"March 31, 1998",4.79%
"Dec. 31, 1997",4.32%
"Sept. 30, 1997",4.20%
"June 30, 1997",4.39%
"March 31, 1997",4.29%
"Dec. 31, 1996",6.52%
"Sept. 30, 1996",6.90%
"June 30, 1996",8.51%
"March 31, 1996",8.90%
"Dec. 31, 1995",6.98%
"Sept. 30, 1995",6.16%
"June 30, 1995",5.09%
"March 31, 1995",4.32%
"Dec. 31, 1994",4.36%
"Sept. 30, 1994",5.08%
