date,pe_10
"March 19, 2020",34.36
"March 18, 2020",34.45
"March 17, 2020",36.43
"March 16, 2020",31.10
"March 13, 2020",36.04
"March 12, 2020",33.02
"March 11, 2020",35.78
"March 10, 2020",36.06
"March 9, 2020",35.34
"March 6, 2020",36.73
"March 5, 2020",36.25
"March 4, 2020",36.65
"March 3, 2020",35.31
"March 2, 2020",34.97
"Feb. 28, 2020",32.73
"Feb. 27, 2020",34.45
"Feb. 26, 2020",36.35
"Feb. 25, 2020",36.23
"Feb. 24, 2020",36.86
"Feb. 21, 2020",37.60
"Feb. 20, 2020",37.68
"Feb. 19, 2020",37.52
"Feb. 18, 2020",38.09
"Feb. 14, 2020",38.05
"Feb. 13, 2020",38.44
"Feb. 12, 2020",37.55
"Feb. 11, 2020",37.39
"Feb. 10, 2020",37.59
"Feb. 7, 2020",37.46
"Feb. 6, 2020",37.46
"Feb. 5, 2020",37.56
"Feb. 4, 2020",37.54
"Feb. 3, 2020",37.47
"Jan. 31, 2020",36.83
"Jan. 30, 2020",37.15
"Jan. 29, 2020",36.74
"Jan. 28, 2020",36.70
"Jan. 27, 2020",36.72
"Jan. 24, 2020",36.63
"Jan. 23, 2020",36.40
"Jan. 22, 2020",36.22
"Jan. 21, 2020",36.10
"Jan. 17, 2020",36.44
"Jan. 16, 2020",36.57
"Jan. 15, 2020",36.06
"Jan. 14, 2020",35.63
"Jan. 13, 2020",35.54
"Jan. 10, 2020",35.12
"Jan. 9, 2020",35.01
"Jan. 8, 2020",34.94
"Jan. 7, 2020",35.44
"Jan. 6, 2020",35.76
"Jan. 3, 2020",36.16
"Jan. 2, 2020",36.17
"Dec. 31, 2019",36.68
"Dec. 30, 2019",37.33
"Dec. 27, 2019",37.30
"Dec. 26, 2019",37.32
"Dec. 24, 2019",37.65
"Dec. 23, 2019",37.83
"Dec. 20, 2019",38.25
"Dec. 19, 2019",37.95
"Dec. 18, 2019",38.07
"Dec. 17, 2019",37.57
"Dec. 16, 2019",37.23
"Dec. 13, 2019",36.88
"Dec. 12, 2019",37.08
"Dec. 11, 2019",37.50
"Dec. 10, 2019",37.15
"Dec. 9, 2019",36.27
"Dec. 6, 2019",36.50
"Dec. 5, 2019",36.49
"Dec. 4, 2019",36.32
"Dec. 3, 2019",35.88
"Dec. 2, 2019",35.72
"Nov. 29, 2019",35.75
"Nov. 27, 2019",36.10
"Nov. 26, 2019",35.68
