date,ni_per_employee_annual
"Dec. 31, 2019",67237.36
"Dec. 31, 2018",58692.95
"Dec. 31, 2017",62904.76
"Dec. 31, 2016",51498.56
"Dec. 31, 2015",51911.67
"Dec. 31, 2014",45256.43
"Dec. 31, 2013",41502.53
"Dec. 31, 2012",39838.51
"Dec. 31, 2011",38231.14
"Dec. 31, 2010",34951.04
"Dec. 31, 2009",26385.06
"Dec. 31, 2008",30474.80
"Dec. 31, 2007",29926.78
"Dec. 31, 2006",24433.78
"Dec. 31, 2005",24658.69
"Dec. 31, 2004",21477.83
"Dec. 31, 2003",17972.68
"Dec. 31, 2002",6404.77
"Dec. 31, 2001",11928.36
"Dec. 31, 2000",14077.45
"Dec. 31, 1999",16973.42
"Dec. 31, 1998",12426.73
"Dec. 31, 1997",16054.42
"Dec. 31, 1996",23179.79
"Dec. 31, 1995",23206.11
"Dec. 31, 1994",13931.89
"Dec. 31, 1993",12441.68
"Dec. 31, 1992",11464.97
"Dec. 31, 1991",7987.22
"Dec. 31, 1990",9763.78
