date,kz_index
"Dec. 31, 2018",1.479
"Dec. 31, 2017",
"Dec. 31, 2016",1.037
"Dec. 31, 2015",
"Dec. 31, 2014",0.9864
"Dec. 31, 2013",0.799
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",0.5971
"Dec. 31, 2009",
"Dec. 31, 2008",0.71
"Dec. 31, 2007",0.775
"Dec. 31, 2006",0.7357
"Dec. 31, 2005",0.8503
"Dec. 31, 2004",0.6261
"Dec. 31, 2003",0.7415
"Dec. 31, 2002",
"Dec. 31, 2001",0.5803
"Dec. 31, 2000",
"Dec. 31, 1999",0.0176
"Dec. 31, 1998",
"Dec. 31, 1997",
"Dec. 31, 1996",0.1205
"Dec. 31, 1995",0.1468
