date,operating_margin_ttm
"Dec. 31, 2019",18.08%
"Sept. 30, 2019",17.88%
"June 30, 2019",17.60%
"March 31, 2019",16.73%
"Dec. 31, 2018",15.81%
"Sept. 30, 2018",19.19%
"June 30, 2018",18.28%
"March 31, 2018",18.86%
"Dec. 31, 2017",19.96%
"Sept. 30, 2017",15.09%
"June 30, 2017",14.79%
"March 31, 2017",15.73%
"Dec. 31, 2016",17.21%
"Sept. 30, 2016",16.97%
"June 30, 2016",17.76%
"March 31, 2016",17.25%
"Dec. 31, 2015",16.61%
"Sept. 30, 2015",16.71%
"June 30, 2015",16.06%
"March 31, 2015",15.55%
"Dec. 31, 2014",13.86%
"Sept. 30, 2014",13.60%
"June 30, 2014",13.93%
"March 31, 2014",13.84%
"Dec. 31, 2013",14.12%
"Sept. 30, 2013",14.61%
"June 30, 2013",14.63%
"March 31, 2013",15.31%
"Dec. 31, 2012",14.43%
"Sept. 30, 2012",13.85%
"June 30, 2012",13.26%
"March 31, 2012",12.47%
"Dec. 31, 2011",12.85%
"Sept. 30, 2011",12.13%
"June 30, 2011",12.02%
"March 31, 2011",12.21%
"Dec. 31, 2010",12.15%
"Sept. 30, 2010",12.55%
"June 30, 2010",13.47%
"March 31, 2010",13.59%
"Dec. 31, 2009",12.55%
"Sept. 30, 2009",12.03%
"June 30, 2009",10.82%
"March 31, 2009",10.28%
"Dec. 31, 2008",9.77%
"Sept. 30, 2008",9.78%
"June 30, 2008",10.00%
"March 31, 2008",10.39%
"Dec. 31, 2007",10.87%
"Sept. 30, 2007",11.05%
"June 30, 2007",11.06%
"March 31, 2007",11.24%
"Dec. 31, 2006",10.01%
"Sept. 30, 2006",9.46%
"June 30, 2006",9.29%
"March 31, 2006",9.01%
"Dec. 31, 2005",9.55%
"Sept. 30, 2005",85.63%
"June 30, 2005",89.48%
"March 31, 2005",93.09%
"Dec. 31, 2004",
"Sept. 30, 2004",11.34%
"June 30, 2004",11.48%
"March 31, 2004",12.15%
"Dec. 31, 2003",13.19%
"Sept. 30, 2003",13.76%
"June 30, 2003",13.61%
"March 31, 2003",11.33%
"Dec. 31, 2002",10.24%
"Sept. 30, 2002",9.50%
"June 30, 2002",9.55%
"March 31, 2002",8.68%
"Dec. 31, 2001",6.25%
"Sept. 30, 2001",11.24%
"June 30, 2001",8.78%
"March 31, 2001",8.60%
"Dec. 31, 2000",10.65%
"Sept. 30, 2000",5.20%
"June 30, 2000",5.31%
"March 31, 2000",5.92%
"Dec. 31, 1999",6.43%
"Sept. 30, 1999",7.33%
"June 30, 1999",7.76%
"March 31, 1999",7.32%
"Dec. 31, 1998",6.26%
"Sept. 30, 1998",5.61%
"June 30, 1998",5.80%
"March 31, 1998",6.15%
"Dec. 31, 1997",6.27%
"Sept. 30, 1997",3.71%
"June 30, 1997",4.01%
"March 31, 1997",4.20%
"Dec. 31, 1996",5.31%
"Sept. 30, 1996",10.83%
"June 30, 1996",12.70%
"March 31, 1996",13.31%
"Dec. 31, 1995",12.69%
"Sept. 30, 1995",13.23%
"June 30, 1995",11.49%
"March 31, 1995",9.95%
"Dec. 31, 1994",9.84%
"Sept. 30, 1994",31.89%
"June 30, 1994",48.15%
"March 31, 1994",68.12%
