date,fulmer_h_score
"Dec. 31, 2019",0.8447
"Sept. 30, 2019",0.8165
"June 30, 2019",0.842
"March 31, 2019",0.9357
"Dec. 31, 2018",1.036
"Sept. 30, 2018",1.057
"June 30, 2018",1.106
"March 31, 2018",1.209
"Dec. 31, 2017",1.188
"Sept. 30, 2017",1.176
"June 30, 2017",1.177
"March 31, 2017",1.228
"Dec. 31, 2016",1.196
"Sept. 30, 2016",1.086
"June 30, 2016",1.110
"March 31, 2016",1.078
"Dec. 31, 2015",1.148
"Sept. 30, 2015",1.166
"June 30, 2015",1.148
"March 31, 2015",1.347
"Dec. 31, 2014",1.138
"Sept. 30, 2014",1.060
"June 30, 2014",1.232
"March 31, 2014",1.290
"Dec. 31, 2013",1.084
"Sept. 30, 2013",0.976
"June 30, 2013",0.925
"March 31, 2013",1.101
"Dec. 31, 2012",0.8896
"Sept. 30, 2012",0.99
"June 30, 2012",0.939
"March 31, 2012",0.9781
"Dec. 31, 2011",1.012
"Sept. 30, 2011",0.8544
"June 30, 2011",1.023
"March 31, 2011",0.7289
"Dec. 31, 2010",0.6917
"Sept. 30, 2010",0.5226
"June 30, 2010",0.5906
"March 31, 2010",0.6594
"Dec. 31, 2009",0.264
"Sept. 30, 2009",1.076
"June 30, 2009",1.566
"March 31, 2009",2.099
