date,eps_est_0q
"March 3, 2020",1.688
"March 2, 2020",1.64
"Feb. 28, 2020",1.66
"Feb. 27, 2020",1.41
"Jan. 7, 2020",1.698
"Dec. 31, 2019",1.145
"Dec. 17, 2019",1.165
"Nov. 11, 2019",1.165
"Nov. 10, 2019",1.15
"Nov. 8, 2019",1.146
"Oct. 24, 2019",1.13
"Oct. 11, 2019",1.142
"Oct. 8, 2019",1.135
"Sept. 30, 2019",0.4017
"Aug. 12, 2019",0.4325
"Aug. 9, 2019",0.64
"June 30, 2019",0.556
"June 10, 2019",0.5525
"May 13, 2019",0.5525
"May 10, 2019",0.5733
"May 8, 2019",0.5775
"April 3, 2019",0.58
"March 31, 2019",1.588
"March 29, 2019",1.61
"March 4, 2019",1.60
"Feb. 27, 2019",1.59
"Jan. 22, 2019",1.54
"Jan. 15, 2019",1.54
"Dec. 31, 2018",1.228
"Dec. 24, 2018",1.228
"Dec. 21, 2018",1.228
"Dec. 18, 2018",1.228
"Nov. 27, 2018",1.228
"Nov. 19, 2018",1.217
"Nov. 13, 2018",1.235
"Nov. 12, 2018",1.29
"Oct. 3, 2018",1.07
"Sept. 30, 2018",0.485
"Sept. 24, 2018",0.5175
"Sept. 23, 2018",0.5175
"Aug. 14, 2018",0.53
"Aug. 13, 2018",0.53
"Aug. 10, 2018",0.5467
"June 30, 2018",0.512
"May 14, 2018",0.5075
"May 12, 2018",0.5033
"May 11, 2018",0.53
"April 23, 2018",0.522
"March 31, 2018",1.363
"March 19, 2018",1.35
"March 13, 2018",1.35
"March 5, 2018",1.334
"March 2, 2018",1.325
"March 1, 2018",1.24
"Jan. 11, 2018",1.525
