date,free_cash_flow
"Dec. 31, 2019",-46.39M
"Sept. 30, 2019",-19.51M
"June 30, 2019",-13.14M
"March 31, 2019",-2.73M
"Dec. 31, 2018",-79.58M
"Sept. 30, 2018",-24.96M
"June 30, 2018",-22.02M
"March 31, 2018",3.556M
"Dec. 31, 2017",-33.48M
"Sept. 30, 2017",-39.51M
"June 30, 2017",-10.04M
"March 31, 2017",17.78M
"Dec. 31, 2016",-41.86M
"Sept. 30, 2016",-28.74M
"June 30, 2016",-1.471M
"March 31, 2016",6.351M
"Dec. 31, 2015",-35.52M
"Sept. 30, 2015",-26.42M
"June 30, 2015",-13.80M
"March 31, 2015",36.85M
"Dec. 31, 2014",-13.79M
"Sept. 30, 2014",-19.77M
"June 30, 2014",-11.85M
"March 31, 2014",27.54M
"Dec. 31, 2013",-22.04M
"Sept. 30, 2013",-15.00M
"June 30, 2013",-5.908M
"March 31, 2013",18.75M
"Dec. 31, 2012",-19.25M
"Sept. 30, 2012",-13.26M
"June 30, 2012",6.567M
"March 31, 2012",19.81M
"Dec. 31, 2011",4.687M
"Sept. 30, 2011",-19.13M
"June 30, 2011",12.61M
"March 31, 2011",25.92M
"Dec. 31, 2010",-13.11M
"Sept. 30, 2010",-14.82M
"June 30, 2010",3.114M
"March 31, 2010",40.30M
"Dec. 31, 2009",-8.967M
"Sept. 30, 2009",-7.099M
"June 30, 2009",7.94M
"March 31, 2009",26.90M
"Dec. 31, 2008",7.609M
"Sept. 30, 2008",-4.503M
"June 30, 2008",-8.673M
"March 31, 2008",2.875M
"Dec. 31, 2007",-2.410M
"Sept. 30, 2007",-7.834M
"June 30, 2007",-3.915M
"March 31, 2007",8.564M
"Dec. 31, 2006",-9.368M
"Sept. 30, 2006",-15.51M
"June 30, 2006",-6.642M
"March 31, 2006",12.79M
"Dec. 31, 2005",-18.73M
"Sept. 30, 2005",-13.08M
"June 30, 2005",-0.428M
"March 31, 2005",12.52M
"Dec. 31, 2004",-0.0033M
"Sept. 30, 2004",-9.341M
"June 30, 2004",0.4258M
"March 31, 2004",14.57M
"Dec. 31, 2003",3.390M
"Sept. 30, 2003",-3.625M
"June 30, 2003",-0.5991M
"March 31, 2003",11.99M
"Dec. 31, 2002",-0.5338M
"Sept. 30, 2002",-5.440M
"June 30, 2002",3.716M
"March 31, 2002",11.94M
"Dec. 31, 2001",-5.323M
"Sept. 30, 2001",-12.28M
"June 30, 2001",1.375M
"March 31, 2001",4.265M
"Dec. 31, 2000",-8.899M
"Sept. 30, 2000",-10.74M
"June 30, 2000",-3.739M
"March 31, 2000",9.922M
"Dec. 31, 1999",-10.90M
"Sept. 30, 1999",-8.90M
"June 30, 1999",0.60M
"March 31, 1999",10.70M
"Dec. 31, 1998",-3.00M
"Sept. 30, 1998",-3.90M
"June 30, 1998",-5.00M
"March 31, 1998",10.90M
"Dec. 31, 1997",3.00M
"Sept. 30, 1997",-8.90M
"June 30, 1997",1.40M
"March 31, 1997",3.80M
"Dec. 31, 1996",-4.10M
"Sept. 30, 1996",-5.70M
"June 30, 1996",2.80M
"March 31, 1996",4.20M
"Dec. 31, 1995",-1.50M
"Sept. 30, 1995",-3.30M
"June 30, 1995",0.10M
"March 31, 1995",6.00M
"Dec. 31, 1994",-1.20M
"Sept. 30, 1994",-4.80M
"June 30, 1994",1.80M
"March 31, 1994",8.10M
