date,times_interest_earned
"Dec. 31, 2019",4.624
"Sept. 30, 2019",4.894
"June 30, 2019",5.093
"March 31, 2019",5.36
"Dec. 31, 2018",5.820
"Sept. 30, 2018",6.008
"June 30, 2018",6.557
"March 31, 2018",6.956
"Dec. 31, 2017",6.985
"Sept. 30, 2017",7.081
"June 30, 2017",7.071
"March 31, 2017",7.616
"Dec. 31, 2016",7.863
"Sept. 30, 2016",7.438
"June 30, 2016",7.683
"March 31, 2016",7.519
"Dec. 31, 2015",7.800
"Sept. 30, 2015",8.123
"June 30, 2015",7.801
"March 31, 2015",7.728
"Dec. 31, 2014",7.332
"Sept. 30, 2014",7.552
"June 30, 2014",8.087
"March 31, 2014",8.164
"Dec. 31, 2013",7.664
"Sept. 30, 2013",7.733
"June 30, 2013",7.472
"March 31, 2013",7.442
"Dec. 31, 2012",6.505
"Sept. 30, 2012",5.998
"June 30, 2012",5.700
"March 31, 2012",5.472
"Dec. 31, 2011",6.068
"Sept. 30, 2011",5.981
"June 30, 2011",5.894
"March 31, 2011",5.762
"Dec. 31, 2010",5.699
"Sept. 30, 2010",5.484
"June 30, 2010",5.656
"March 31, 2010",5.561
"Dec. 31, 2009",4.784
"Sept. 30, 2009",6.338
"June 30, 2009",9.045
"March 31, 2009",18.60
