date,shareholders_equity
"Dec. 31, 2019",561.58M
"Sept. 30, 2019",544.71M
"June 30, 2019",544.38M
"March 31, 2019",543.66M
"Dec. 31, 2018",518.44M
"Sept. 30, 2018",508.30M
"June 30, 2018",507.99M
"March 31, 2018",505.24M
"Dec. 31, 2017",486.29M
"Sept. 30, 2017",463.82M
"June 30, 2017",461.68M
"March 31, 2017",460.83M
"Dec. 31, 2016",446.09M
"Sept. 30, 2016",438.30M
"June 30, 2016",379.55M
"March 31, 2016",374.25M
"Dec. 31, 2015",358.14M
"Sept. 30, 2015",353.32M
"June 30, 2015",351.18M
"March 31, 2015",317.75M
"Dec. 31, 2014",300.32M
"Sept. 30, 2014",296.22M
"June 30, 2014",296.22M
"March 31, 2014",293.25M
"Dec. 31, 2013",278.77M
"Sept. 30, 2013",269.79M
"June 30, 2013",269.30M
"March 31, 2013",267.77M
"Dec. 31, 2012",256.60M
"Sept. 30, 2012",250.48M
"June 30, 2012",250.41M
"March 31, 2012",248.14M
"Dec. 31, 2011",240.78M
"Sept. 30, 2011",237.55M
"June 30, 2011",238.00M
"March 31, 2011",237.02M
"Dec. 31, 2010",226.24M
"Sept. 30, 2010",222.10M
"June 30, 2010",222.69M
"March 31, 2010",221.18M
"Dec. 31, 2009",209.78M
"Sept. 30, 2009",129.01M
"June 30, 2009",130.03M
"March 31, 2009",130.17M
"Dec. 31, 2008",123.07M
"Sept. 30, 2008",123.34M
"June 30, 2008",125.47M
"March 31, 2008",125.27M
"Dec. 31, 2007",119.58M
"Sept. 30, 2007",117.38M
"June 30, 2007",118.88M
"March 31, 2007",118.41M
"Dec. 31, 2006",111.15M
"Sept. 30, 2006",88.54M
"June 30, 2006",90.71M
"March 31, 2006",90.57M
"Dec. 31, 2005",84.76M
"Sept. 30, 2005",81.59M
"June 30, 2005",83.31M
"March 31, 2005",83.33M
"Dec. 31, 2004",77.96M
"Sept. 30, 2004",75.44M
"June 30, 2004",77.64M
"March 31, 2004",78.21M
"Dec. 31, 2003",72.94M
"Sept. 30, 2003",70.91M
"June 30, 2003",72.80M
"March 31, 2003",72.51M
"Dec. 31, 2002",67.35M
"Sept. 30, 2002",66.54M
"June 30, 2002",68.50M
"March 31, 2002",68.94M
"Dec. 31, 2001",66.85M
"Sept. 30, 2001",66.48M
"June 30, 2001",68.16M
"March 31, 2001",68.35M
"Dec. 31, 2000",63.97M
"Sept. 30, 2000",62.40M
"June 30, 2000",64.44M
"March 31, 2000",65.02M
"Dec. 31, 1999",60.20M
"Sept. 30, 1999",58.60M
"June 30, 1999",60.30M
"March 31, 1999",60.20M
"Dec. 31, 1998",56.40M
"Sept. 30, 1998",54.90M
"June 30, 1998",58.30M
"March 31, 1998",54.30M
"Dec. 31, 1997",53.70M
"Sept. 30, 1997",48.40M
"June 30, 1997",49.90M
"March 31, 1997",50.00M
"Dec. 31, 1996",47.50M
"Sept. 30, 1996",45.90M
"June 30, 1996",46.80M
"March 31, 1996",46.50M
"Dec. 31, 1995",42.30M
"Sept. 30, 1995",41.00M
"June 30, 1995",40.50M
"March 31, 1995",40.40M
"Dec. 31, 1994",37.10M
"Sept. 30, 1994",36.50M
"June 30, 1994",37.30M
"March 31, 1994",38.00M
