date,shares_outstanding
"Feb. 20, 2020",16.41M
"Dec. 31, 2019",16.40M
"Oct. 31, 2019",16.40M
"Sept. 30, 2019",16.40M
"July 31, 2019",16.40M
"June 30, 2019",16.40M
"April 30, 2019",16.40M
"March 31, 2019",16.40M
"March 11, 2019",16.40M
"Feb. 15, 2019",16.38M
"Dec. 31, 2018",16.38M
"Oct. 31, 2018",16.38M
"Sept. 30, 2018",16.38M
"July 31, 2018",16.38M
"June 30, 2018",16.38M
"April 30, 2018",16.36M
"March 31, 2018",16.36M
"March 12, 2018",16.36M
"Feb. 20, 2018",16.34M
"Dec. 31, 2017",16.34M
"Oct. 31, 2017",16.34M
"Sept. 30, 2017",16.34M
"July 31, 2017",16.34M
"June 30, 2017",16.34M
"April 30, 2017",16.34M
"March 31, 2017",16.33M
"March 10, 2017",16.33M
"Feb. 20, 2017",16.31M
"Dec. 31, 2016",16.30M
"Oct. 31, 2016",16.30M
"Sept. 30, 2016",16.30M
"July 31, 2016",15.32M
"June 30, 2016",15.32M
"April 30, 2016",15.31M
"March 31, 2016",15.30M
"March 10, 2016",15.30M
"Feb. 17, 2016",15.28M
"Dec. 31, 2015",15.27M
"Oct. 31, 2015",15.27M
"Sept. 30, 2015",15.26M
"July 31, 2015",15.26M
"June 30, 2015",15.24M
"April 30, 2015",15.23M
"March 31, 2015",14.63M
"March 17, 2015",14.63M
"Feb. 28, 2015",14.59M
"Dec. 31, 2014",14.59M
"Oct. 31, 2014",14.58M
"Sept. 30, 2014",14.58M
"July 31, 2014",14.57M
"June 30, 2014",14.57M
"April 30, 2014",14.55M
"March 31, 2014",14.53M
"March 19, 2014",14.53M
"Feb. 28, 2014",14.50M
"Dec. 31, 2013",14.46M
"Oct. 31, 2013",14.45M
"Sept. 30, 2013",14.44M
"July 31, 2013",14.44M
"June 30, 2013",14.44M
"April 30, 2013",14.42M
"March 31, 2013",14.42M
"March 20, 2013",14.42M
"Feb. 28, 2013",14.40M
"Dec. 31, 2012",14.40M
"Oct. 31, 2012",14.39M
"Sept. 30, 2012",14.39M
"July 31, 2012",14.39M
"June 30, 2012",14.39M
"April 30, 2012",14.37M
"March 31, 2012",14.37M
"March 15, 2012",14.37M
"Feb. 29, 2012",14.37M
"Dec. 31, 2011",14.35M
"Oct. 31, 2011",14.35M
"Sept. 30, 2011",14.35M
"July 31, 2011",14.35M
"June 30, 2011",14.34M
"April 30, 2011",14.33M
"March 31, 2011",14.32M
"March 17, 2011",14.32M
"Feb. 28, 2011",14.29M
"Dec. 31, 2010",14.29M
"Oct. 31, 2010",14.27M
"Sept. 30, 2010",14.25M
"July 31, 2010",14.24M
"June 30, 2010",14.21M
"April 30, 2010",14.19M
"March 31, 2010",14.16M
"March 15, 2010",14.16M
"Feb. 28, 2010",14.15M
"Dec. 31, 2009",14.09M
"Oct. 28, 2009",14.08M
"Sept. 30, 2009",10.33M
"July 31, 2009",10.32M
"June 30, 2009",10.31M
"April 30, 2009",10.28M
"Feb. 28, 2009",10.25M
"Oct. 31, 2008",10.23M
"Sept. 30, 2008",10.23M
"July 31, 2008",10.22M
"June 30, 2008",10.22M
"April 30, 2008",10.21M
"March 31, 2008",10.21M
"Feb. 29, 2008",10.21M
"Dec. 31, 2007",10.21M
"Sept. 30, 2007",10.16M
"June 30, 2007",10.13M
"March 31, 2007",10.10M
"March 8, 2007",10.08M
"Dec. 31, 2006",10.03M
"Oct. 31, 2006",8.986M
"Sept. 30, 2006",8.970M
"July 31, 2006",8.957M
"June 30, 2006",8.936M
"April 30, 2006",8.921M
"March 31, 2006",8.921M
"March 2, 2006",8.889M
"Dec. 31, 2005",8.824M
"Sept. 30, 2005",8.788M
"June 30, 2005",8.753M
"March 31, 2005",8.700M
"March 11, 2005",8.636M
"Dec. 31, 2004",8.668M
"Sept. 30, 2004",8.568M
"June 30, 2004",8.588M
"March 31, 2004",8.562M
"March 10, 2004",8.559M
"Dec. 31, 2003",8.491M
"Sept. 30, 2003",8.454M
"June 30, 2003",8.414M
"March 31, 2003",8.365M
"March 24, 2003",8.365M
"Dec. 31, 2002",8.307M
"Sept. 30, 2002",8.267M
"June 30, 2002",8.227M
"March 31, 2002",8.185M
"March 25, 2002",8.185M
"Dec. 31, 2001",8.084M
"Sept. 30, 2001",8.084M
"June 30, 2001",8.046M
"March 31, 2001",7.994M
"March 23, 2001",7.994M
"Dec. 31, 2000",7.907M
"Sept. 30, 2000",7.907M
"June 30, 2000",7.870M
"March 31, 2000",7.826M
"March 27, 2000",7.83M
"Dec. 31, 1999",7.780M
"Sept. 30, 1999",7.744M
"June 30, 1999",7.71M
"March 31, 1999",7.674M
"March 26, 1999",7.674M
"Dec. 31, 1998",7.641M
"Sept. 30, 1998",7.616M
"June 30, 1998",7.588M
"March 31, 1998",6.855M
"March 20, 1998",6.816M
"Dec. 31, 1997",6.756M
"Sept. 30, 1997",6.722M
"June 30, 1997",6.700M
"March 31, 1997",6.680M
"March 14, 1997",6.679M
"Dec. 31, 1996",5.702M
"Sept. 30, 1996",5.682M
"June 30, 1996",5.660M
"March 31, 1996",5.637M
"March 22, 1996",5.637M
"Dec. 31, 1995",5.583M
"Sept. 30, 1995",5.565M
"June 30, 1995",5.546M
"March 31, 1995",5.505M
"March 30, 1995",5.521M
"Dec. 31, 1994",5.504M
"Sept. 30, 1994",5.440M
"June 30, 1994",5.440M
"March 31, 1994",5.427M
"Dec. 31, 1993",5.328M
"Sept. 30, 1993",5.348M
"June 30, 1993",5.332M
"March 31, 1993",5.324M
"Dec. 31, 1992",5.232M
"Sept. 30, 1992",5.226M
"June 30, 1992",5.222M
"March 31, 1992",5.217M
"Dec. 31, 1991",5.157M
"Sept. 30, 1991",5.152M
"June 30, 1991",5.150M
"March 31, 1991",5.126M
"Dec. 31, 1990",5.122M
"Sept. 30, 1990",5.118M
"June 30, 1990",5.115M
"March 31, 1990",5.108M
"Dec. 31, 1989",5.108M
"Sept. 30, 1989",5.102M
"June 30, 1989",5.102M
"March 31, 1989",4.983M
"Dec. 31, 1988",3.864M
"Sept. 30, 1988",2.428M
"June 30, 1988",2.427M
"March 31, 1988",2.421M
"Dec. 31, 1987",3.555M
"Sept. 30, 1987",3.550M
"June 30, 1987",3.550M
"March 31, 1987",3.550M
"Dec. 31, 1986",3.550M
"Sept. 30, 1986",3.544M
"June 30, 1986",3.544M
"March 31, 1986",3.54M
"Dec. 31, 1985",3.54M
"Sept. 30, 1985",3.537M
"June 30, 1985",3.537M
"March 31, 1985",3.537M
"Dec. 31, 1984",3.537M
"Sept. 30, 1984",3.526M
"June 30, 1984",3.524M
"March 31, 1984",3.486M
