date,return_on_equity
"Dec. 31, 2019",12.01%
"Sept. 30, 2019",11.35%
"June 30, 2019",11.50%
"March 31, 2019",11.30%
"Dec. 31, 2018",11.20%
"Sept. 30, 2018",13.13%
"June 30, 2018",13.64%
"March 31, 2018",13.84%
"Dec. 31, 2017",12.53%
"Sept. 30, 2017",9.66%
"June 30, 2017",9.48%
"March 31, 2017",10.35%
"Dec. 31, 2016",11.19%
"Sept. 30, 2016",10.88%
"June 30, 2016",11.60%
"March 31, 2016",11.51%
"Dec. 31, 2015",12.24%
"Sept. 30, 2015",13.16%
"June 30, 2015",13.02%
"March 31, 2015",13.14%
"Dec. 31, 2014",12.32%
"Sept. 30, 2014",12.44%
"June 30, 2014",12.92%
"March 31, 2014",12.91%
"Dec. 31, 2013",12.21%
"Sept. 30, 2013",12.54%
"June 30, 2013",12.48%
"March 31, 2013",12.96%
"Dec. 31, 2012",11.58%
"Sept. 30, 2012",10.98%
"June 30, 2012",10.76%
"March 31, 2012",10.24%
"Dec. 31, 2011",11.71%
"Sept. 30, 2011",11.53%
"June 30, 2011",11.35%
"March 31, 2011",11.44%
"Dec. 31, 2010",11.82%
"Sept. 30, 2010",12.51%
"June 30, 2010",13.05%
"March 31, 2010",12.97%
"Dec. 31, 2009",11.01%
"Sept. 30, 2009",11.11%
"June 30, 2009",10.77%
"March 31, 2009",11.66%
"Dec. 31, 2008",11.03%
"Sept. 30, 2008",10.86%
"June 30, 2008",10.81%
"March 31, 2008",10.66%
"Dec. 31, 2007",11.27%
"Sept. 30, 2007",11.77%
"June 30, 2007",12.08%
"March 31, 2007",12.42%
"Dec. 31, 2006",11.28%
"Sept. 30, 2006",12.27%
"June 30, 2006",12.38%
"March 31, 2006",12.20%
"Dec. 31, 2005",12.74%
"Sept. 30, 2005",12.51%
"June 30, 2005",12.68%
"March 31, 2005",12.64%
"Dec. 31, 2004",12.34%
"Sept. 30, 2004",11.27%
"June 30, 2004",11.08%
"March 31, 2004",11.65%
"Dec. 31, 2003",13.03%
"Sept. 30, 2003",11.01%
"June 30, 2003",10.98%
"March 31, 2003",10.51%
"Dec. 31, 2002",5.50%
"Sept. 30, 2002",5.77%
"June 30, 2002",6.13%
"March 31, 2002",6.34%
"Dec. 31, 2001",10.02%
"Sept. 30, 2001",12.00%
"June 30, 2001",11.51%
"March 31, 2001",11.08%
"Dec. 31, 2000",11.85%
"Sept. 30, 2000",13.27%
"June 30, 2000",13.76%
"March 31, 2000",14.74%
"Dec. 31, 1999",13.87%
"Sept. 30, 1999",12.40%
"June 30, 1999",11.55%
"March 31, 1999",10.91%
"Dec. 31, 1998",9.55%
"Sept. 30, 1998",10.20%
"June 30, 1998",11.34%
"March 31, 1998",12.49%
"Dec. 31, 1997",11.62%
"Sept. 30, 1997",11.17%
"June 30, 1997",11.45%
"March 31, 1997",11.20%
"Dec. 31, 1996",17.25%
"Sept. 30, 1996",17.98%
"June 30, 1996",22.34%
"March 31, 1996",23.73%
"Dec. 31, 1995",19.13%
"Sept. 30, 1995",16.88%
"June 30, 1995",13.82%
"March 31, 1995",11.62%
"Dec. 31, 1994",11.82%
"Sept. 30, 1994",13.42%
