Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Interest Income,-91.00M,-93.80M,-92.90M,-93.50M,-85.70M,-82.00M,-87.60M,-91.40M,-91.00M,-86.50M,-86.80M,-85.20M,-84.60M,-85.00M,-86.00M,-90.50M,-93.50M,-94.90M,-98.20M,-92.80M,-88.30M,-94.70M,-109.10M,-109.10M,-67.50M,-103.70M,-102.00M,-98.60M,-103.90M,-107.90M,-103.20M,-103.30M,-92.50M,-95.70M,-94.40M,-89.80M,-97.50M,-97.60M,-98.40M,-98.80M,-91.80M,-105.00M,-105.30M,-90.40M,-85.50M,-100.10M,-87.40M,-91.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,-136.80M,-3.60M,369.10M,277.90M,-165.40M,-434.00M,30.00M,338.80M,165.00M,16.50M,-71.00M,332.50M,143.70M,32.20M,46.10M,291.60M,131.00M,20.60M,-108.70M,297.00M,134.80M,-17.90M,118.00M,429.10M,-187.50M,77.40M,105.30M,334.40M,199.10M,25.80M,104.60M,294.70M,31.40M,53.30M,71.70M,319.90M,28.20M,27.80M,43.40M,307.20M,142.80M,-9.00M,5.20M,257.00M,202.30M,26.00M,28.30M,301.60M,83.80M,9.60M,45.40M,328.40M,174.80M,39.50M,35.90M,267.80M,92.50M,-11.70M,21.90M,333.20M,246.90M,28.50M,57.70M,342.30M,209.80M,36.60M,65.70M,349.70M,199.40M,37.50M,30.90M,388.70M,105.60M,-15.40M,-7.50M,306.50M,24.40M,94.80M,36.32M,125.60M,38.28M,41.74M,34.60M,121.50M,80.40M,64.60M,44.80M,93.00M,87.70M,56.10M,45.20M,109.90M,83.60M,53.30M,39.00M,109.00M,72.70M,61.10M,45.70M,97.90M,74.20M,47.70M,37.00M,102.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,2.50M,-10.20M,72.20M,59.00M,-153.70M,-94.50M,5.50M,62.70M,217.40M,2.50M,-26.60M,121.20M,51.50M,8.50M,17.10M,105.00M,66.60M,5.80M,-35.60M,104.50M,55.30M,-0.70M,39.50M,162.70M,-70.60M,27.90M,32.90M,118.40M,67.00M,9.20M,36.30M,102.20M,8.00M,17.00M,30.90M,110.80M,10.20M,-5.60M,15.40M,109.80M,54.30M,4.20M,9.20M,97.60M,71.10M,-5.10M,8.60M,112.10M,24.30M,1.70M,16.50M,121.90M,62.10M,13.50M,13.80M,94.80M,19.50M,-5.80M,12.50M,123.40M,87.90M,6.80M,22.20M,125.70M,68.00M,13.10M,26.40M,127.40M,64.90M,14.30M,10.10M,144.90M,51.70M,4.30M,2.40M,122.30M,24.60M,48.00M,12.90M,46.50M,11.84M,13.78M,11.66M,44.90M,25.10M,21.50M,15.40M,32.30M,31.80M,20.20M,17.00M,39.10M,32.20M,18.90M,15.60M,41.50M,20.80M,24.70M,18.80M,37.60M,25.20M,19.20M,15.50M,37.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,-139.30M,6.60M,296.90M,218.90M,-11.70M,-339.50M,24.50M,276.10M,-52.40M,14.00M,-44.40M,211.30M,92.20M,23.70M,29.00M,186.60M,64.40M,14.80M,-73.10M,192.50M,79.50M,-17.20M,78.50M,266.40M,-116.90M,49.50M,72.40M,216.00M,132.10M,16.60M,68.30M,192.50M,23.40M,36.30M,40.80M,209.10M,18.00M,33.40M,28.00M,197.40M,88.50M,-13.20M,-4.00M,159.40M,131.20M,31.10M,19.70M,189.50M,59.50M,7.90M,28.90M,206.50M,112.70M,26.00M,22.10M,173.00M,73.00M,-5.90M,9.40M,209.80M,159.00M,21.70M,35.50M,216.60M,141.80M,23.50M,39.30M,222.30M,134.50M,23.20M,20.80M,243.80M,53.90M,-19.70M,-9.90M,184.20M,-0.20M,46.80M,23.41M,79.10M,26.44M,27.96M,22.94M,76.60M,55.30M,43.10M,29.40M,60.70M,55.90M,35.90M,28.20M,70.80M,51.40M,34.40M,23.40M,67.50M,51.90M,36.40M,26.90M,60.30M,49.00M,28.50M,21.50M,65.00M,48.60M,27.30M,21.70M,58.60M,49.00M,20.80M,18.60M,48.20M,41.70M,25.30M,20.30M,46.10M,30.70M,27.90M,21.10M,45.70M,40.90M,23.30M,21.30M,48.30M,43.10M,22.30M,19.10M,38.40M,15.00M,14.00M,13.00M,23.00M,22.10M,-86.70M,16.20M,34.30M,33.20M,22.70M,18.10M,33.10M,28.70M,27.00M,33.30M,51.50M
Income from Discontinued Operations,,,,,,,,,,,,,,3.50M,-0.10M,,-5.00M,-19.70M,45.40M,82.80M,74.70M,48.60M,-0.30M,-0.20M,268.70M,-1.40M,-0.70M,44.50M,1.90M,2.70M,1.10M,0.90M,-8.70M,-1.60M,-0.60M,0.40M,6.00M,-0.20M,0.10M,-0.10M,1.00M,-2.20M,-0.80M,-11.00M,30.80M,-11.10M,-222.00M,-90.20M,7.50M,3.10M,-2.20M,10.20M,-50.20M,-0.20M,-1.10M,-0.50M,-4.70M,-0.90M,30.70M,-2.40M,2.40M,7.10M,-0.90M,-3.10M,-2.00M,-8.10M,-364.20M,44.80M,-52.40M,,4.20M,-1.60M,1.60M,-0.40M,-1.70M,0.60M,2.10M,5.20M,,0.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.40M,,,,,,,,,0.00,,,-8.80M,,,,,0.00,,,4.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,0.00,,-8.70M,-6.90M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.10M,-1.10M,-1.10M,3.40M,-1.10M,-1.10M,-2.50M,0.40M,-6.90M,-5.10M,-5.10M,-12.60M,-5.10M,-7.10M,-7.00M,-12.90M,-5.20M,-5.00M,-7.00M,-5.597M,-7.634M,-5.668M,-2.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,13.70M,13.80M,13.80M,13.80M,8.10M,5.60M,1.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10M,1.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.10M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,0.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,-139.30M,6.60M,296.90M,218.90M,-11.70M,-339.50M,24.50M,276.10M,-52.40M,14.00M,-44.40M,211.30M,88.80M,27.20M,28.90M,186.60M,59.40M,-4.90M,-36.40M,268.40M,154.20M,31.40M,78.20M,266.20M,151.80M,48.10M,71.70M,260.50M,134.00M,19.30M,69.40M,193.40M,14.70M,34.70M,40.20M,209.50M,24.00M,33.20M,28.10M,197.30M,89.50M,-15.40M,-4.80M,148.40M,162.00M,20.00M,-202.30M,99.30M,67.00M,11.00M,26.70M,216.70M,62.50M,25.80M,21.00M,172.90M,68.00M,-6.80M,40.10M,207.40M,161.40M,28.80M,34.60M,213.50M,139.80M,15.40M,-324.90M,258.30M,82.10M,23.20M,25.00M,242.20M,55.50M,-20.10M,-11.60M,188.80M,1.90M,52.00M,23.41M,79.60M,32.94M,27.96M,22.94M,76.60M,60.60M,43.10M,29.40M,60.70M,55.90M,35.90M,28.20M,70.80M,51.40M,34.40M,23.40M,67.50M,51.90M,36.40M,26.90M,60.30M,49.00M,28.50M,21.50M,65.00M,48.60M,27.30M,21.70M,58.60M,49.00M,20.80M,18.60M,48.20M,41.70M,25.30M,20.30M,46.10M,30.70M,27.90M,21.10M,45.70M,40.90M,23.30M,21.30M,48.30M,43.10M,22.30M,19.10M,38.40M,15.00M,14.00M,13.00M,23.00M,22.10M,-86.70M,16.20M,34.30M,33.20M,22.70M,18.10M,33.10M,28.70M,27.00M,33.30M,51.50M
Normalized Income,164.16M,7.257M,296.82M,219.06M,-6.444M,-304.47M,34.71M,258.58M,-39.20M,14.68M,25.22M,211.30M,94.70M,23.63M,28.87M,186.54M,67.52M,15.59M,-16.62M,185.79M,87.69M,-17.10M,78.03M,256.65M,-104.74M,43.23M,72.26M,215.87M,132.10M,16.15M,67.32M,191.46M,79.37M,35.48M,40.41M,207.40M,84.89M,32.75M,26.32M,195.79M,104.74M,-9.82M,-2.70M,158.78M,149.55M,17.52M,18.17M,189.50M,61.63M,4.773M,26.61M,207.38M,120.63M,25.93M,23.70M,176.04M,86.26M,-7.28M,7.24M,210.11M,163.64M,20.94M,35.44M,215.27M,125.78M,21.96M,35.88M,221.16M,114.80M,21.10M,21.07M,228.75M,44.90M,-13.34M,-15.24M,181.50M,1.30M,17.16M,21.79M,77.59M,34.14M,37.52M,24.48M,72.12M,55.92M,41.17M,29.99M,55.22M,55.65M,33.79M,25.77M,64.74M,48.63M,30.98M,22.08M,67.19M,49.26M,37.12M,26.96M,60.79M,45.63M,27.90M,22.64M,65.70M,48.60M,27.30M,21.70M,58.60M,49.00M,20.80M,18.60M,48.20M,41.70M,25.30M,20.30M,46.10M,30.70M,27.90M,21.10M,45.70M,40.90M,23.30M,21.30M,,,,,,,,,,,,,,,,,,,,,
