Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
EBITDA,130.80M,274.50M,641.10M,548.60M,96.10M,-202.10M,263.30M,576.60M,409.50M,247.40M,158.90M,561.00M,379.20M,253.50M,269.00M,514.90M,352.80M,248.00M,123.00M,514.80M,339.70M,200.60M,376.20M,686.90M,-91.80M,325.60M,350.60M,576.60M,426.40M,259.00M,355.10M,543.40M,270.00M,279.20M,297.70M,538.40M,281.00M,274.00M,290.40M,545.90M,379.70M,244.80M,258.70M,491.10M,453.70M,267.00M,263.30M,529.00M,325.50M,244.30M,284.90M,565.00M,431.20M,274.00M,271.70M,506.70M,331.10M,235.40M,264.30M,579.10M,473.20M,260.70M,291.60M,575.90M,423.50M,281.30M,313.20M,598.00M,502.40M,305.50M,271.50M,647.20M,418.20M,318.00M,303.10M,633.40M,342.00M,181.50M,178.32M,254.80M,157.59M,184.08M,162.57M,228.88M,163.60M,160.20M,141.50M,179.40M,181.80M,150.40M,137.50M,185.90M,167.60M,133.90M,122.90M,188.80M,154.10M,138.10M,120.70M,171.80M,142.20M,119.80M,110.70M,176.50M,464.90M,342.50M,348.80M,521.60M,462.60M,316.50M,329.30M,474.00M,429.00M,323.40M,320.40M,462.30M,423.70M,317.80M,325.90M,453.60M,451.70M,318.50M,322.80M,466.70M,425.50M,318.00M,315.40M,465.30M,392.60M,324.60M,313.40M,421.00M,399.00M,321.80M,365.80M,539.50M,522.80M,391.00M,389.80M,604.90M,512.60M,417.80M,453.40M,617.30M
Reconciled Depreciation,182.20M,182.20M,177.90M,175.10M,161.80M,148.50M,144.60M,144.70M,141.80M,143.00M,142.20M,143.30M,141.10M,136.30M,136.90M,132.80M,133.40M,132.50M,133.50M,125.00M,123.80M,65.30M,149.10M,148.70M,39.00M,144.50M,143.30M,143.60M,143.90M,125.30M,147.30M,145.40M,132.00M,134.90M,134.50M,134.30M,140.30M,153.10M,151.60M,149.80M,148.60M,148.80M,148.20M,143.70M,143.20M,140.70M,147.50M,135.60M,135.00M,124.40M,144.70M,136.10M,139.80M,138.40M,139.80M,138.90M,132.90M,142.90M,144.50M,141.40M,131.40M,132.60M,133.80M,132.40M,121.70M,132.40M,137.20M,124.60M,195.90M,127.40M,101.30M,149.40M,176.00M,171.60M,163.00M,161.10M,121.03M,84.10M,88.97M,80.10M,64.55M,78.05M,77.50M,72.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,-51.40M,92.30M,463.20M,373.50M,-65.70M,-350.60M,118.70M,431.90M,267.70M,104.40M,16.70M,417.70M,238.10M,117.20M,132.10M,382.10M,219.40M,115.50M,-10.50M,389.80M,215.90M,76.80M,227.10M,538.20M,-130.80M,181.10M,207.30M,433.00M,282.50M,133.70M,207.80M,398.00M,138.00M,144.30M,163.20M,404.10M,140.70M,120.90M,138.80M,396.10M,231.10M,96.00M,110.50M,347.40M,310.50M,126.10M,115.70M,393.40M,190.50M,106.90M,140.20M,428.90M,291.40M,135.60M,131.90M,367.80M,193.80M,92.50M,119.80M,437.70M,341.80M,128.10M,157.80M,443.50M,300.40M,148.90M,176.00M,473.40M,306.50M,178.10M,158.60M,497.80M,242.20M,146.40M,140.10M,472.20M,207.70M,97.40M,89.35M,174.70M,91.05M,106.02M,84.98M,155.98M,113.10M,95.80M,77.90M,116.10M,119.50M,85.70M,73.10M,127.60M,107.20M,75.50M,64.20M,135.30M,96.70M,87.40M,71.00M,122.70M,92.70M,71.20M,62.10M,128.90M,464.90M,342.50M,348.80M,521.60M,462.60M,316.50M,329.30M,474.00M,429.00M,323.40M,320.40M,462.30M,423.70M,317.80M,325.90M,453.60M,451.70M,318.50M,322.80M,466.70M,425.50M,318.00M,315.40M,465.30M,392.60M,324.60M,313.40M,421.00M,399.00M,321.80M,365.80M,539.50M,522.80M,391.00M,389.80M,604.90M,512.60M,417.80M,453.40M,617.30M
EPS Basic from Continuing Operations,-0.41,-0.02,0.76,0.55,-0.05,-0.95,0.07,0.82,-0.16,0.04,-0.14,0.65,0.29,0.07,0.09,0.58,0.20,0.05,-0.23,0.61,0.25,-0.05,0.25,0.85,-0.37,0.16,0.23,0.69,0.43,0.05,0.25,0.68,0.08,0.13,0.14,0.75,0.07,0.12,0.10,0.71,0.32,-0.05,-0.01,0.58,0.48,0.11,0.07,0.69,0.21,0.03,0.11,0.75,0.34,0.10,0.08,0.63,0.27,-0.02,0.03,0.77,0.59,0.08,0.13,0.83,0.54,0.09,0.15,0.88,0.61,0.11,0.10,1.19,0.16,-0.10,-0.05,0.90,-0.30,0.39,0.19,0.64,0.22,0.22,0.18,0.62,0.47,0.36,0.24,0.49,0.44,0.29,0.22,0.59,0.43,0.28,0.19,0.54,0.41,0.28,0.21,0.46,0.37,0.22,0.16,0.49,0.36,0.20,0.16,0.44,0.36,0.15,0.13,0.35,0.30,0.19,0.15,0.33,0.28,0.18,0.13,0.31,-0.09,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,0.01,0.00,,-0.01,-0.07,0.12,0.24,0.24,0.15,0.00,0.00,0.85,0.00,0.00,0.15,0.01,0.01,0.00,0.00,-0.03,-0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.11,-0.03,-0.81,-0.33,0.03,0.01,-0.01,0.04,-0.11,0.00,0.00,0.00,-0.02,-0.01,0.12,-0.01,0.00,0.03,0.00,-0.02,0.00,-0.03,-1.39,0.16,-0.25,0.00,0.02,-0.01,0.11,0.00,-0.01,0.00,0.15,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,0.00,,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.3949,-0.0182,0.7598,0.5504,-0.0358,-0.8537,0.0988,0.7682,-0.1209,0.0420,0.0742,0.65,0.2977,0.0698,0.0896,0.5798,0.2098,0.0525,-0.0247,0.6106,0.2759,-0.0497,0.2485,0.8190,-0.3312,0.1399,0.2296,0.6896,0.43,0.0484,0.2466,0.6763,0.2790,0.1271,0.1386,0.7439,0.3100,0.1177,0.0940,0.7042,0.3788,-0.0377,-0.0053,0.5777,0.5470,0.0604,0.0644,0.69,0.2178,0.0186,0.1016,0.7532,0.3690,0.0998,0.0859,0.6412,0.3188,-0.0251,0.0220,0.7712,0.6073,0.0771,0.1298,0.8249,0.4774,0.0841,0.1369,0.8755,0.5225,0.0998,0.1013,1.117,0.1167,-0.0690,-0.0760,0.8868,-0.2877,0.1441,0.1766,0.6278,0.2828,0.2953,0.1921,0.5838,0.4753,0.3438,0.2448,0.4457,0.4380,0.2729,0.2010,0.5395,0.4067,0.2522,0.1793,0.5375,0.3887,0.2857,0.2105,0.4638,0.3442,0.2152,0.1688,0.4953,0.36,0.20,0.16,0.44,0.36,0.15,0.13,0.35,0.30,0.19,0.15,0.33,0.28,0.18,0.13,0.31,-0.09,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
EPS Basic,-0.41,-0.02,0.76,0.55,-0.05,-0.95,0.07,0.82,-0.16,0.04,-0.14,0.65,0.27,0.08,0.09,0.58,0.19,-0.02,-0.11,0.85,0.49,0.10,0.25,0.85,0.48,0.16,0.23,0.84,0.44,0.06,0.25,0.68,0.05,0.12,0.14,0.75,0.09,0.12,0.10,0.71,0.32,-0.05,-0.01,0.54,0.59,0.08,-0.74,0.36,0.24,0.04,0.10,0.79,0.23,0.10,0.08,0.63,0.25,-0.03,0.15,0.76,0.59,0.11,0.13,0.81,0.54,0.06,-1.24,1.00,0.36,0.11,0.12,1.18,0.27,-0.10,-0.06,0.92,-0.15,0.43,0.19,0.64,0.27,0.22,0.18,0.62,0.51,0.36,0.24,0.49,0.44,0.29,0.22,0.59,0.43,0.28,0.19,0.54,0.41,0.28,0.21,0.46,0.37,0.22,0.16,0.49,0.36,0.20,0.16,0.44,0.36,0.15,0.13,0.35,0.30,0.19,0.15,0.33,0.28,0.18,0.13,0.31,-0.09,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
EPS Diluted from Continuing Operations,-0.41,-0.02,0.75,0.55,-0.05,-0.95,0.07,0.81,-0.16,0.04,-0.14,0.65,0.28,0.07,0.09,0.58,0.20,0.05,-0.23,0.61,0.25,-0.05,0.25,0.85,-0.37,0.16,0.23,0.69,0.43,0.05,0.23,0.66,0.07,0.13,0.14,0.73,0.06,0.12,0.10,0.71,0.32,-0.05,-0.01,0.58,0.48,0.10,0.07,0.69,0.21,0.03,0.11,0.75,0.33,0.10,0.08,0.63,0.27,-0.02,0.03,0.77,0.59,0.08,0.13,0.82,0.54,0.09,0.15,0.87,0.61,0.11,0.10,1.17,0.15,-0.10,-0.05,0.88,-0.30,0.38,0.18,0.62,0.20,0.22,0.18,0.62,0.47,0.35,0.24,0.48,0.43,0.29,0.22,0.59,0.42,0.28,0.19,0.54,0.40,0.28,0.21,0.46,0.36,0.22,0.16,0.49,0.36,0.20,0.16,0.44,0.35,0.15,0.13,0.35,0.29,0.19,0.15,0.33,0.27,0.18,0.13,0.31,-0.10,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,0.01,0.00,,-0.01,-0.07,0.12,0.24,0.23,0.15,0.00,0.00,0.85,0.00,0.00,0.14,0.01,0.01,0.00,0.00,-0.03,-0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.11,-0.03,-0.81,-0.33,0.03,0.01,-0.01,0.04,-0.11,0.00,0.00,0.00,-0.02,-0.01,0.11,-0.01,0.00,0.03,0.00,-0.02,0.00,-0.03,-1.39,0.16,-0.26,0.00,0.02,-0.01,0.11,0.00,-0.01,0.00,0.15,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0000,,,0.0015,,,,,,,,,-0.0001,,,-0.0347,,,,,-0.0001,,,0.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,0.3920,-0.0182,0.7498,0.5504,-0.0358,-0.8537,0.0988,0.7583,-0.1211,0.0420,0.0742,0.65,0.2877,0.0698,0.0896,0.5798,0.2098,0.0525,-0.0247,0.6106,0.2757,-0.0497,0.2485,0.8191,-0.3315,0.1400,0.2296,0.6896,0.43,0.0485,0.2267,0.6564,0.2618,0.1272,0.1386,0.7240,0.2958,0.1177,0.0940,0.7042,0.3788,-0.0377,-0.0053,0.5778,0.5466,0.0507,0.0644,0.69,0.2178,0.0186,0.1017,0.7532,0.3589,0.0998,0.0859,0.6411,0.3185,-0.0250,0.0221,0.7712,0.6073,0.0771,0.1298,0.8150,0.4774,0.0842,0.1370,0.8655,0.5226,0.0999,0.1013,1.098,0.1075,-0.0690,-0.0760,0.8671,-0.2877,0.1398,0.1666,0.6078,0.2591,0.2953,0.1921,0.5838,0.4753,0.3343,0.2448,0.4366,0.4281,0.2729,0.2010,0.5395,0.3973,0.2522,0.1793,0.5375,0.3793,0.2857,0.2105,0.4638,0.3350,0.2152,0.1688,0.4953,0.36,0.20,0.16,0.44,0.35,0.15,0.13,0.35,0.29,0.19,0.15,0.33,0.27,0.18,0.13,0.31,-0.10,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
EPS Diluted,-0.41,-0.02,0.75,0.55,-0.05,-0.95,0.07,0.81,-0.16,0.04,-0.14,0.65,0.27,0.08,0.09,0.58,0.19,-0.02,-0.11,0.85,0.48,0.10,0.25,0.85,0.48,0.16,0.23,0.83,0.44,0.06,0.23,0.66,0.04,0.12,0.14,0.73,0.08,0.12,0.10,0.71,0.32,-0.05,-0.01,0.54,0.59,0.07,-0.74,0.36,0.24,0.04,0.10,0.79,0.22,0.10,0.08,0.63,0.25,-0.03,0.14,0.76,0.59,0.11,0.13,0.81,0.54,0.06,-1.24,0.99,0.36,0.11,0.12,1.16,0.26,-0.10,-0.06,0.90,-0.15,0.42,0.18,0.62,0.25,0.22,0.18,0.62,0.51,0.35,0.24,0.48,0.43,0.29,0.22,0.59,0.42,0.28,0.19,0.54,0.40,0.28,0.21,0.46,0.36,0.22,0.16,0.49,0.36,0.20,0.16,0.44,0.35,0.15,0.13,0.35,0.29,0.19,0.15,0.33,0.27,0.18,0.13,0.31,-0.10,0.14,0.12,0.33,,0.15,0.09,0.22,,0.05,0.05,0.11,,-0.59,0.07,0.19,,0.11,0.08,0.19,,0.14,0.19,0.33
Average Basic Shares Outstanding,377.00M,374.10M,373.90M,373.40M,369.70M,363.90M,354.20M,338.00M,337.50M,331.10M,325.10M,323.70M,323.00M,322.30M,321.70M,320.30M,318.60M,318.10M,317.50M,316.60M,315.70M,315.40M,315.00M,314.20M,313.30M,312.80M,312.20M,311.10M,309.90M,290.30M,284.40M,282.90M,281.30M,280.80M,280.20M,279.30M,278.70M,278.10M,277.60M,276.90M,276.00M,275.40M,274.70M,274.20M,274.00M,274.00M,274.00M,273.90M,273.80M,273.90M,273.80M,273.60M,273.20M,272.50M,272.40M,272.30M,271.90M,271.70M,271.20M,270.30M,267.30M,262.70M,262.50M,262.30M,256.03M,261.40M,261.30M,253.80M,225.01M,205.70M,205.60M,205.50M,208.02M,205.40M,205.30M,205.00M,121.51M,120.56M,120.57M,124.30M,122.49M,127.07M,127.47M,123.55M,117.87M,119.72M,122.50M,123.88M,127.68M,123.79M,128.18M,120.00M,118.67M,122.86M,123.16M,124.81M,124.01M,127.14M,124.29M,129.35M,130.41M,125.91M,129.38M,131.02M,132.68M,132.50M,130.62M,131.36M,134.16M,133.33M,136.92M,135.43M,137.02M,128.95M,130.00M,137.27M,88.23M,137.22M,137.69M,137.10M,145.76M,142.14M,148.33M,146.62M,146.62M,146.56M,146.56M,146.49M,146.49M,146.42M,146.42M,146.42M,146.34M,146.26M,146.09M,146.09M,146.09M,142.10M,140.54M,139.03M,139.03M,135.92M,134.71M,134.71M
Average Diluted Shares Outstanding,378.40M,374.10M,375.20M,374.70M,369.70M,363.90M,355.20M,339.00M,339.20M,332.40M,325.10M,325.30M,324.40M,323.90M,323.20M,322.50M,318.60M,321.50M,317.50M,317.40M,318.40M,315.40M,316.10M,315.10M,315.40M,313.80M,313.20M,312.10M,311.50M,300.00M,295.80M,293.10M,291.80M,289.00M,287.10M,285.00M,283.70M,279.90M,278.40M,277.50M,276.00M,275.40M,274.70M,276.70M,275.40M,275.50M,275.40M,275.40M,274.70M,274.70M,274.90M,274.80M,274.00M,273.30M,273.20M,273.10M,273.30M,273.70M,273.10M,272.10M,268.50M,264.60M,264.50M,264.30M,256.03M,263.40M,263.10M,256.20M,225.33M,208.10M,208.20M,208.20M,211.71M,205.40M,205.30M,209.40M,121.51M,123.41M,120.57M,124.30M,130.32M,127.07M,127.47M,123.55M,117.87M,123.14M,122.50M,126.46M,130.91M,123.79M,128.18M,120.00M,122.10M,122.86M,123.16M,124.81M,127.76M,127.14M,124.29M,129.35M,134.63M,125.91M,129.38M,131.02M,132.68M,132.50M,130.62M,131.36M,139.55M,133.33M,136.92M,135.43M,142.62M,128.95M,130.00M,137.27M,93.84M,137.22M,137.69M,137.10M,145.76M,142.14M,148.33M,146.62M,146.62M,146.56M,146.56M,146.49M,146.49M,146.42M,146.42M,146.42M,146.34M,146.26M,146.09M,146.09M,146.09M,142.10M,140.54M,139.03M,139.03M,135.92M,134.71M,134.71M
Dividend Per Share,0.20,0.20,0.20,0.20,0.195,0.195,0.195,0.195,0.175,0.175,0.175,0.175,0.165,0.165,0.155,0.155,0.155,0.155,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.255,0.255,0.255,0.255,0.24,0.24,0.24,0.24,0.225,0.225,0.225,0.225,0.21,0.21,0.21,0.21,0.195,0.195,0.195,0.195,0.18,0.18,0.18,0.18,0.165,0.165,0.165,0.165,0.155,0.155,0.155,0.155,0.145,0.145,0.145,0.145,0.13,0.13,0.13,0.13,0.105,0.105,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
