Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,139.30M,28.00M,23.70M,151.00M,112.80M,41.80M,68.20M,35.00M,29.00M,19.30M,17.90M,28.40M,26.40M,16.10M,15.70M,23.70M,15.50M,31.70M,496.60M,42.00M,24.90M,17.70M,18.00M,38.00M,26.80M,14.90M,44.50M,101.40M,36.30M,12.30M,52.80M,38.50M,11.50M,22.20M,59.90M,62.50M,9.20M,10.90M,7.40M,110.60M,16.40M,83.80M,248.90M,135.20M,20.60M,269.00M,47.20M,81.20M,92.30M,113.70M,89.90M,163.40M,175.60M,225.80M,129.60M,141.30M,103.30M,932.50M,258.20M,588.00M,29.50M,40.40M,16.40M,44.50M,27.30M,71.00M,34.70M,69.60M,55.30M,64.90M,54.80M,69.90M,127.90M,117.70M,142.70M,111.80M,193.00M,51.03M,50.90M,78.15M,41.50M,23.70M,49.80M,64.50M,60.80M,32.50M,36.70M,40.40M,30.80M,28.30M,29.40M,92.30M,26.30M,62.90M,31.30M,41.30M,28.50M,18.50M,48.70M,36.20M,40.40M,36.70M,36.80M,53.90M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,139.30M,28.00M,23.70M,151.00M,112.80M,41.80M,68.20M,35.00M,29.00M,19.30M,17.90M,28.40M,26.40M,16.10M,15.70M,23.70M,15.50M,31.70M,496.60M,42.00M,24.90M,17.70M,18.00M,38.00M,26.80M,14.90M,44.50M,101.40M,36.30M,12.30M,52.80M,38.50M,11.50M,22.20M,59.90M,62.50M,9.20M,10.90M,7.40M,110.60M,16.40M,83.80M,248.90M,135.20M,20.60M,269.00M,47.20M,81.20M,92.30M,113.70M,89.90M,163.40M,175.60M,225.80M,129.60M,141.30M,103.30M,932.50M,258.20M,588.00M,29.50M,40.40M,16.40M,44.50M,27.30M,71.00M,34.70M,69.60M,55.30M,64.90M,54.80M,69.90M,127.90M,117.70M,142.70M,111.80M,193.00M,51.03M,50.90M,78.15M,41.50M,23.70M,49.80M,64.50M,60.80M,32.50M,36.70M,40.40M,30.80M,28.30M,29.40M,92.30M,26.30M,62.90M,31.30M,41.30M,28.50M,18.50M,48.70M,36.20M,40.40M,36.70M,36.80M,53.90M
Accounts Receivable,856.90M,539.30M,870.20M,1.132B,1.058B,500.40M,584.80M,973.80M,898.90M,480.00M,545.20M,813.80M,847.00M,471.00M,474.10M,647.90M,660.00M,500.50M,672.70M,1.152B,920.80M,639.30M,824.00M,1.271B,1.006B,591.00M,716.50M,1.070B,907.30M,526.20M,553.30M,730.30M,850.60M,512.50M,638.30M,1.063B,1.079B,517.80M,568.90M,949.90M,808.60M,442.30M,544.70M,910.70M,1.143B,586.80M,737.00M,1.086B,900.30M,571.50M,1.067B,954.00M,866.30M,478.30M,472.10M,1.162B,1.255B,438.60M,474.30M,610.00M,536.40M,318.30M,311.10M,731.00M,511.10M,370.70M,542.10M,1.287B,545.50M,478.70M,556.50M,1.036B,1.135B,786.70M,1.490B,2.493B,2.130B,425.22M,479.45M,462.43M,383.80M,363.30M,345.40M,412.20M,293.80M,231.80M,264.30M,371.80M,338.80M,252.90M,286.60M,262.60M,207.60M,59.60M,79.80M,165.40M,120.40M,55.20M,64.40M,117.30M,86.30M,43.20M,78.10M,151.90M
Other Receivables,48.50M,30.30M,41.50M,72.10M,88.40M,37.30M,29.60M,53.60M,45.80M,42.90M,35.10M,18.80M,5.40M,16.90M,16.20M,26.40M,21.00M,19.70M,57.10M,77.00M,28.30M,80.90M,135.70M,161.40M,70.60M,84.30M,81.10M,71.10M,51.30M,30.90M,42.70M,76.40M,64.90M,92.70M,118.20M,65.50M,62.70M,73.20M,109.10M,71.30M,72.50M,79.00M,163.70M,257.40M,393.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,905.40M,569.60M,911.70M,1.204B,1.147B,537.70M,614.40M,1.027B,944.70M,522.90M,580.30M,832.60M,852.40M,487.90M,490.30M,674.30M,681.00M,520.20M,729.80M,1.229B,949.10M,720.20M,959.70M,1.437B,1.076B,681.70M,804.00M,1.222B,1.090B,613.10M,596.70M,807.40M,916.40M,606.40M,757.70M,1.149B,1.241B,688.60M,704.40M,1.024B,906.00M,817.00M,708.40M,1.168B,1.537B,586.80M,737.00M,1.086B,900.30M,571.50M,1.067B,954.00M,866.30M,478.30M,472.10M,1.162B,1.255B,438.60M,474.30M,892.80M,889.10M,394.90M,431.90M,961.50M,940.50M,497.20M,667.40M,1.516B,850.70M,478.70M,556.50M,1.036B,1.135B,786.70M,1.490B,2.493B,2.130B,425.22M,479.45M,462.43M,383.80M,363.30M,345.40M,412.20M,293.80M,231.80M,264.30M,371.80M,338.80M,252.90M,286.60M,262.60M,207.60M,59.60M,79.80M,165.40M,120.40M,55.20M,64.40M,117.30M,86.30M,43.20M,78.10M,151.90M
Other Inventory,304.50M,333.60M,206.70M,108.40M,321.50M,369.20M,236.60M,141.00M,365.20M,409.20M,296.50M,178.00M,392.70M,433.60M,312.10M,223.60M,449.80M,480.00M,355.70M,209.90M,505.10M,561.20M,363.10M,120.80M,399.20M,494.60M,304.80M,129.30M,398.30M,,,,478.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,424.70M,448.70M,318.60M,215.70M,422.50M,466.90M,336.50M,245.30M,471.10M,511.50M,393.20M,275.50M,494.40M,533.70M,414.70M,318.40M,536.60M,571.30M,471.60M,344.40M,618.20M,722.30M,544.80M,339.90M,546.80M,610.90M,420.30M,257.60M,540.70M,573.20M,430.00M,369.20M,585.80M,653.00M,434.60M,242.30M,548.70M,706.60M,493.20M,344.30M,587.20M,703.00M,428.40M,259.80M,850.90M,1.103B,745.00M,458.60M,746.70M,927.20M,562.80M,444.10M,866.60M,821.30M,458.50M,283.50M,623.80M,1.039B,405.70M,173.80M,552.70M,653.50M,333.10M,102.00M,100.50M,661.70M,327.80M,333.90M,359.80M,681.60M,295.70M,202.20M,231.90M,602.90M,290.90M,212.10M,406.80M,281.20M,193.47M,144.69M,248.60M,208.10M,172.20M,138.20M,164.80M,151.20M,114.70M,104.30M,140.30M,151.00M,126.40M,104.50M,151.50M,173.60M,122.40M,96.20M,140.20M,158.40M,127.90M,116.60M,162.50M,176.40M,136.20M,109.10M
Prepaid Expenses,149.70M,85.40M,103.10M,144.20M,129.50M,89.70M,109.10M,155.50M,132.80M,65.80M,91.30M,139.10M,130.60M,64.10M,89.80M,133.50M,107.50M,75.90M,133.20M,187.30M,106.50M,103.60M,320.90M,321.10M,183.10M,246.10M,224.40M,228.10M,357.20M,280.80M,274.20M,277.40M,261.80M,119.70M,100.40M,119.70M,120.80M,103.00M,118.60M,136.70M,126.30M,131.60M,180.30M,291.00M,249.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,9.10M,9.00M,8.70M,9.80M,8.30M,12.00M,12.90M,9.70M,9.40M,9.00M,14.90M,10.80M,9.60M,13.80M,12.30M,19.40M,29.70M,27.90M,25.20M,21.60M,24.90M,16.00M,9.80M,10.90M,8.00M,18.30M,29.30M,23.10M,46.80M,65.10M,85.00M,149.70M,160.60M,180.10M,154.60M,164.90M,202.90M,276.50M,212.70M,220.80M,174.70M,64.50M,64.20M,316.80M,286.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
