date,total_long_term_debt
"Dec. 31, 2019",4.76B
"Sept. 30, 2019",4.758B
"June 30, 2019",5.057B
"March 31, 2019",5.056B
"Dec. 31, 2018",5.055B
"Sept. 30, 2018",5.053B
"June 30, 2018",5.052B
"March 31, 2018",5.051B
"Dec. 31, 2017",5.05B
"Sept. 30, 2017",5.049B
"June 30, 2017",5.047B
"March 31, 2017",5.337B
"Dec. 31, 2016",5.335B
"Sept. 30, 2016",5.334B
"June 30, 2016",5.333B
"March 31, 2016",5.332B
"Dec. 31, 2015",5.33B
"Sept. 30, 2015",5.334B
"June 30, 2015",5.333B
"March 31, 2015",5.331B
"Dec. 31, 2014",5.325B
"Sept. 30, 2014",4.737B
"June 30, 2014",4.736B
"March 31, 2014",4.735B
"Dec. 31, 2013",4.734B
"Sept. 30, 2013",4.733B
"June 30, 2013",4.732B
"March 31, 2013",4.731B
"Dec. 31, 2012",4.731B
"Sept. 30, 2012",4.609B
"June 30, 2012",4.607B
"March 31, 2012",4.606B
"Dec. 31, 2011",4.605B
"Sept. 30, 2011",3.612B
"June 30, 2011",3.612B
"March 31, 2011",3.611B
"Dec. 31, 2010",3.61B
"Sept. 30, 2010",2.326B
"June 30, 2010",2.327B
"March 31, 2010",2.328B
"Dec. 31, 2009",2.329B
"Sept. 30, 2009",2.293B
"June 30, 2009",2.295B
"March 31, 2009",2.297B
"Dec. 31, 2008",2.309B
"Sept. 30, 2008",2.273B
"June 30, 2008",2.269B
"March 31, 2008",2.288B
"Dec. 31, 2007",2.268B
"Sept. 30, 2007",2.368B
"June 30, 2007",2.919B
"March 31, 2007",3.969B
"Dec. 31, 2006",3.965B
"Sept. 30, 2006",3.983B
"June 30, 2006",4.036B
"March 31, 2006",4.418B
"Dec. 31, 2005",4.456B
"Sept. 30, 2005",5.05B
"June 30, 2005",5.095B
"March 31, 2005",5.555B
"Dec. 31, 2004",5.153B
"Sept. 30, 2004",6.428B
"June 30, 2004",6.542B
"March 31, 2004",7.41B
"Dec. 31, 2003",7.391B
"Sept. 30, 2003",7.261B
"June 30, 2003",7.714B
"March 31, 2003",8.223B
"Dec. 31, 2002",7.433B
"Sept. 30, 2002",6.864B
"June 30, 2002",7.821B
"March 31, 2002",7.787B
"Dec. 31, 2001",8.237B
"Sept. 30, 2001",9.346B
"June 30, 2001",8.82B
"March 31, 2001",10.04B
"Dec. 31, 2000",9.931B
"Sept. 30, 2000",10.02B
"June 30, 2000",10.48B
"March 31, 2000",10.15B
"Dec. 31, 1999",9.769B
"Sept. 30, 1999",11.24B
"June 30, 1999",10.81B
"March 31, 1999",10.64B
"Dec. 31, 1998",10.24B
"Sept. 30, 1998",10.03B
"June 30, 1998",10.42B
"March 31, 1998",10.90B
