date,revenue_per_employee_annual
"Dec. 31, 2019",425927.0
"Dec. 31, 2018",413099.2
"Dec. 31, 2017",399181.1
"Dec. 31, 2016",389096.8
"Dec. 31, 2015",382311.5
"Dec. 31, 2014",368161.3
"Dec. 31, 2013",362477.1
"Dec. 31, 2012",351786.7
"Dec. 31, 2011",346727.3
"Dec. 31, 2010",342176.9
"Dec. 31, 2009",336229.7
"Dec. 31, 2008",319421.1
"Dec. 31, 2007",280092.0
"Dec. 31, 2006",246337.5
"Dec. 31, 2005",239471.7
"Dec. 31, 2004",257898.1
"Dec. 31, 2003",234572.5
"Dec. 31, 2002",204890.0
"Dec. 31, 2001",177081.3
"Dec. 31, 2000",169799.0
"Dec. 31, 1999",161133.5
"Dec. 31, 1998",152751.3
