date,quality_ratio
"Dec. 31, 2019",0.2369
"Sept. 30, 2019",0.2422
"June 30, 2019",0.245
"March 31, 2019",0.2443
"Dec. 31, 2018",0.2416
"Sept. 30, 2018",0.2399
"June 30, 2018",0.2358
"March 31, 2018",0.2343
"Dec. 31, 2017",0.2313
"Sept. 30, 2017",0.2419
"June 30, 2017",0.2345
"March 31, 2017",0.2336
"Dec. 31, 2016",0.2252
"Sept. 30, 2016",0.21
"June 30, 2016",0.2058
"March 31, 2016",0.1957
"Dec. 31, 2015",0.2005
"Sept. 30, 2015",0.2019
"June 30, 2015",0.2035
"March 31, 2015",0.2093
"Dec. 31, 2014",0.2081
"Sept. 30, 2014",0.20
"June 30, 2014",0.2001
"March 31, 2014",0.1982
"Dec. 31, 2013",0.1953
"Sept. 30, 2013",0.2001
"June 30, 2013",0.2045
"March 31, 2013",0.2049
"Dec. 31, 2012",0.2064
"Sept. 30, 2012",0.2128
"June 30, 2012",0.2134
"March 31, 2012",0.2114
"Dec. 31, 2011",0.2084
"Sept. 30, 2011",0.2124
"June 30, 2011",0.2137
"March 31, 2011",0.2002
"Dec. 31, 2010",0.2067
"Sept. 30, 2010",0.2083
"June 30, 2010",0.2086
"March 31, 2010",0.2244
"Dec. 31, 2009",0.2222
"Sept. 30, 2009",0.2146
"June 30, 2009",0.2085
"March 31, 2009",0.205
"Dec. 31, 2008",0.2004
"Sept. 30, 2008",0.1989
"June 30, 2008",0.1925
"March 31, 2008",0.1849
"Dec. 31, 2007",0.1753
"Sept. 30, 2007",0.1684
"June 30, 2007",0.1599
"March 31, 2007",0.1538
"Dec. 31, 2006",0.1508
"Sept. 30, 2006",0.134
"June 30, 2006",0.1348
"March 31, 2006",0.134
"Dec. 31, 2005",0.1334
"Sept. 30, 2005",0.1488
"June 30, 2005",0.1456
"March 31, 2005",0.1414
"Dec. 31, 2004",0.136
"Sept. 30, 2004",0.1348
"June 30, 2004",0.126
"March 31, 2004",0.1279
"Dec. 31, 2003",0.1289
"Sept. 30, 2003",0.128
"June 30, 2003",0.1362
"March 31, 2003",0.1358
"Dec. 31, 2002",0.1344
"Sept. 30, 2002",0.1276
"June 30, 2002",0.0941
"March 31, 2002",0.0905
"Dec. 31, 2001",0.0958
"Sept. 30, 2001",0.081
"June 30, 2001",0.1181
"March 31, 2001",0.1252
"Dec. 31, 2000",0.1248
"Sept. 30, 2000",0.1464
"June 30, 2000",0.1329
"March 31, 2000",0.1419
"Dec. 31, 1999",0.1494
"Sept. 30, 1999",0.1651
"June 30, 1999",0.1758
"March 31, 1999",0.177
"Dec. 31, 1998",0.1779
