date,shares_outstanding
"Feb. 10, 2020",278.44M
"Dec. 31, 2019",278.40M
"Oct. 21, 2019",278.48M
"Sept. 29, 2019",278.00M
"Sept. 10, 2019",278.49M
"Aug. 29, 2019",278.49M
"July 22, 2019",278.53M
"June 30, 2019",278.00M
"June 5, 2019",278.54M
"April 22, 2019",279.87M
"April 2, 2019",280.22M
"March 31, 2019",280.00M
"Feb. 11, 2019",282.24M
"Dec. 31, 2018",282.00M
"Oct. 22, 2018",284.58M
"Sept. 30, 2018",285.00M
"July 23, 2018",285.26M
"July 1, 2018",285.00M
"April 23, 2018",287.25M
"April 2, 2018",287.26M
"April 1, 2018",287.00M
"Feb. 12, 2018",288.51M
"Dec. 31, 2017",288.00M
"Oct. 23, 2017",289.09M
"Oct. 1, 2017",289.00M
"July 24, 2017",290.25M
"July 2, 2017",290.00M
"April 24, 2017",291.07M
"April 4, 2017",291.08M
"April 2, 2017",291.00M
"Feb. 13, 2017",292.88M
"Dec. 31, 2016",293.00M
"Oct. 24, 2016",293.65M
"Oct. 2, 2016",294.00M
"July 25, 2016",295.10M
"July 3, 2016",295.00M
"April 25, 2016",296.98M
"April 5, 2016",296.99M
"April 3, 2016",297.00M
"Feb. 8, 2016",299.00M
"Dec. 31, 2015",299.00M
"Oct. 19, 2015",301.10M
"Sept. 27, 2015",301.00M
"July 20, 2015",303.55M
"June 28, 2015",304.00M
"April 20, 2015",305.14M
"April 7, 2015",305.94M
"March 29, 2015",306.00M
"Feb. 9, 2015",307.32M
"Dec. 31, 2014",307.00M
"Oct. 20, 2014",308.37M
"Sept. 28, 2014",308.00M
"July 21, 2014",310.72M
"June 29, 2014",311.00M
"April 21, 2014",312.86M
"April 8, 2014",312.86M
"March 30, 2014",313.00M
"Feb. 10, 2014",314.51M
"Dec. 31, 2013",315.00M
"Oct. 21, 2013",319.47M
"Sept. 29, 2013",319.00M
"July 22, 2013",322.49M
"June 30, 2013",322.00M
"April 22, 2013",324.61M
"April 9, 2013",324.57M
"March 31, 2013",324.00M
"Feb. 11, 2013",326.36M
"Dec. 31, 2012",328.00M
"Oct. 22, 2012",329.87M
"Sept. 30, 2012",330.00M
"July 23, 2012",332.02M
"July 1, 2012",332.00M
"April 23, 2012",333.34M
"April 9, 2012",332.92M
"April 1, 2012",333.00M
"Feb. 17, 2012",339.88M
"Dec. 31, 2011",339.00M
"Oct. 24, 2011",346.10M
"Oct. 2, 2011",346.00M
"July 13, 2011",353.61M
"July 3, 2011",353.00M
"April 13, 2011",356.18M
"April 3, 2011",355.00M
"April 1, 2011",354.60M
"Feb. 11, 2011",359.69M
"Dec. 31, 2010",359.00M
"Oct. 13, 2010",364.54M
"Sept. 26, 2010",364.00M
"July 14, 2010",374.11M
"June 27, 2010",374.00M
"April 14, 2010",381.06M
"April 2, 2010",378.82M
"March 28, 2010",378.00M
"Feb. 16, 2010",379.08M
"Dec. 31, 2009",378.00M
"Oct. 14, 2009",383.22M
"Sept. 27, 2009",383.00M
"July 17, 2009",389.39M
"June 28, 2009",389.00M
"April 17, 2009",394.07M
"Feb. 20, 2009",400.12M
"Oct. 17, 2008",414.07M
"July 18, 2008",416.90M
"June 30, 2008",419.86M
"April 18, 2008",423.00M
"March 31, 2008",423.00M
"Dec. 31, 2007",426.39M
"Sept. 30, 2007",429.31M
"Sept. 23, 2007",429.31M
"June 30, 2007",437.10M
"June 24, 2007",437.34M
"March 31, 2007",443.70M
"March 25, 2007",443.86M
"Jan. 19, 2007",446.19M
"Dec. 31, 2006",445.87M
"Oct. 13, 2006",444.63M
"Sept. 30, 2006",444.30M
"July 14, 2006",448.72M
"June 30, 2006",448.72M
"April 14, 2006",446.18M
"March 31, 2006",446.18M
"Feb. 19, 2006",446.12M
"Dec. 31, 2005",446.37M
"Oct. 3, 2005",446.72M
"Sept. 30, 2005",447.10M
"June 30, 2005",451.30M
"June 26, 2005",451.34M
"March 31, 2005",452.22M
"March 27, 2005",452.22M
"Dec. 31, 2004",453.10M
"Sept. 30, 2004",452.10M
"Sept. 26, 2004",452.06M
"June 30, 2004",451.09M
"June 27, 2004",451.09M
"March 31, 2004",420.70M
"March 28, 2004",420.65M
"Dec. 31, 2003",418.14M
"Sept. 30, 2003",416.20M
"Sept. 28, 2003",416.23M
"June 30, 2003",413.99M
"June 29, 2003",413.99M
"March 31, 2003",410.60M
"March 30, 2003",410.56M
"Jan. 26, 2003",408.67M
"Dec. 31, 2002",408.21M
"Sept. 30, 2002",405.89M
"Sept. 29, 2002",405.89M
"June 30, 2002",402.89M
"March 31, 2002",398.21M
"Feb. 24, 2002",396.74M
"Dec. 31, 2001",395.43M
"Sept. 30, 2001",361.92M
"July 1, 2001",359.38M
"June 30, 2001",359.38M
"April 1, 2001",342.95M
"March 31, 2001",342.95M
"Jan. 28, 2001",341.01M
"Dec. 31, 2000",340.62M
"Oct. 1, 2000",339.91M
"Sept. 30, 2000",339.91M
"July 2, 2000",340.01M
"June 30, 2000",340.01M
"April 2, 2000",339.84M
"March 31, 2000",339.84M
"Feb. 27, 2000",337.65M
"Dec. 31, 1999",338.76M
"Sept. 30, 1999",338.42M
"June 30, 1999",337.67M
"March 31, 1999",336.13M
"Feb. 28, 1999",336.18M
"Dec. 31, 1998",336.80M
"Sept. 30, 1998",336.97M
"June 30, 1998",338.24M
"March 31, 1998",338.58M
"Feb. 22, 1998",338.81M
"Dec. 31, 1997",338.56M
